1. CAG’s Standing order on Auditing in IT Environment was issued in ,(a) August 2020 ,(b) August 2019 ,(c) April 2020 ,(d) April 2019,A ,,,
2. CAG’s Standing order on Auditing in IT Environment ,(a) supplements the Chapter 22 of MSO (Audit) 2002 and Manual of Information Technology Audit issued in 2006 ,(b) replaces the Chapter 22 of MSO (Audit) 2002 and Manual of Information Technology Audit issued in 2006 ,(c) replaces the some parts of Chapter 22 of MSO (Audit) 2002 and Manual of Information Technology Audit issued in 2006 and supplements the others. ,(d) has no effect on Chapter 22 of MSO (Audit) 2002 and Manual of Information Technology Audit issued in 2006,B ,,,
3. CAG’s Standing order on Auditing in IT Environment was effective ,(a) 1st April 2019 ,(b) 1st April 2020 ,(c) 6th August 2020 ,(d) 6th August 2019,C ,,,
4. Which of the following is not a type of audit? ,(a) Compliance Audit ,(b) Performance Audit ,(c) Financial Audit ,(d) Concurrent Audit,D ,,,
5. Audits in an IT environment cover ,(a) Audit of IT systems or ‘IT Audits ,"(b) Financial, compliance or performance audits (or combined audits) using various IT tools for supporting the achievement of the audit objectives – also referred to as “IT assisted audits”. ",(c) Either or Both of the above ,(d) Neither or none of the above,C ,,,
6. Pick the correct one ,"(a) Audit of IT systems is the process of deriving assurance on whether the development, implementation and maintenance of IT systems meets organizational goals, safeguards information assets and maintains data integrity. ","(b) It is an examination of the implementation of IT systems and IT controls to ensure that the systems meet the organisation’s business needs without compromising security, privacy, cost, and other critical business elements. ","(c) It crucially also determines areas such as whether, and to what extent, the data can be relied upon as a single source of truth, for purposes of audit.",(d) All of the above,D ,,,
7. State whether true or false Government of India has issued detailed Frameworks and Approaches to IT Governance & Management ,(a) True ,(b) False,,,B ,,,
8. CoBIT stands for ,(a) Control Objectives for Information & Related Technology ,(b) Control Objective for Business Information and Related Technology ,(c) Common Objectives for Information and Technology ,(d) Common Objectives for Information & Related Technology,A ,,,
9. CoBIT is Framework version (4.1/5.0) prepared by ,(a) ISC ,(b) ISACA ,(c) IAS ,(d) ICSA,B ,,,
"10. With regard to Frameworks and Approaches to IT Governance & Management, references have been drawn from ",(a) CoBIT version 4.1 and CoBIT version 5.0 ,(b) ISO/ IEC 38500:2015 ,(c) WGITA?IDI Handbook on IT Audit for SAIs (October 2013) ,(d) All of the above,D ,,,
11. value creation through IT means ,(a) realising benefits at an optimal resource cost ,(b) realising benefits at an optimal resource cost while optimising risk ,(c) realising benefits at an maximum resource cost ,(d) realising benefits at an maximum resource cost while maximising risk,B ,,,
12. How many principles were set out by ISO/ IEC 38500: 2013 for good governance of IT ,(a) six principles ,(b) five principles ,(c) seven principles ,(d) ten principles,A ,,,
13. Pick out the principles set out by the ISO/ IEC 38500: 2013 for good governance of IT ,"(a) Responsibility, Strategy, Acquisition, Confidentiality, Integrity and Human Behaviour ","(b) Responsibility, Strategy, Acquisition, Performance, Integrity and Availability ","(c) Responsibility, Strategy, Acquisition, Performance, Conformance and Human Behaviour ","(d) Responsibility, Strategy, Acquisition, Confidentiality, Integrity and Availability",C ,,,
"14. The use of IT complies with all mandatory legislation and regulations, Policies and practices are clearly defined, implemented and enforced denotes ",(a) Responsibility ,(b) Integrity ,(c) Performance ,(d) Conformance,D ,,,
"15. IT is fit for purpose in supporting the organization, providing the services, levels of service and service quality required to meet current and future business requirements. It reflects ",(a) Responsibility ,(b) Integrity ,(c) Performance ,(d) Conformance,C ,,,
16. Which of the following is not a component of Acquisition Principles? ,(a) The organization’s business strategy takes into account the current and future capabilities of IT ,"(b) IT acquisitions are made for valid reasons, on the basis of appropriate and on?going analysis, with clear and transparent decision?making. ",(c) Both A&B ,(d) None of the given,A ,,,
"17. State whether true or false: Development includes procurement, as the development, implementation and maintenance could be done through in-house or outsourced resources. ",(a) True ,(b) False,,,A ,,,
18. IGTI is an arm of ISACA and stands for ,(a) IT Governance Training Institute ,(b) IT Governance of India ,(c) International Institute of IT Governance,(d) IT Governance Institute,D ,,,
19. ISO/ IEC 38500 recommends a three task model. Pick the incorrect one ,(a) Evaluate ,(b) Execute ,(c) Direct ,(d) Monitor,B ,,,
20. Pick the incorrect one regarding the task modules recommended by ISO/IEC 38500 ,(a) Evaluate-the current and future use of IT ,(b) Direct- preparation and implementation of strategies and policies to ensure that use of IT meets business objectives ,"(c) Monitor- conformance to policies, and performance against strategies.",(d) None of the given,D ,,,
"21. To satisfy business objectives, information needs to conform to certain control criteria or attributes. Such criteria/attributes are ",(a) seven ,(b) five ,(c) eight ,(d) ten,C ,,,
"22. Attribute that deals with information being relevant and pertinent to the business process as well as being delivered in a timely, correct, consistent and usable manner is ",(a) Efficiency ,(b) Effectiveness ,(c) Reliability ,(d) Integrity,B ,,,
23. Attribute that concerns the provision of information through the optimal (most productive and economical) use of resources is ,(a) Efficiency ,(b) Effectiveness ,(c) Reliability ,(d) Integrity,A ,,,
24. Attributes that relates to the accuracy and completeness of information as well as to its validity in accordance with business values and expectations is ,(a) Efficiency ,(b) Non?repudiability ,(c) Reliability ,(d) Integrity,D ,,,
25. It is the assurance that a party cannot later deny originating data and is based on provision of proof of the integrity and origin of the data that can be verified by a third party ,(a) Efficiency ,(b) Non?repudiability ,(c) Reliability ,(d) Integrity,B ,,,
26. IT resources or assets5 can be categorized into ,(a) two classes ,(b) three classes ,(c) four classes ,(d) six classes,C ,,,
27. IT resources ,(a) includes only in-house resources ,(b) includes only out-sourced resources ,(c) included both in-house and out-sourced resources ,(d) includes neither in-house nor out-sourced resources,C ,,,
28. Properly designed control represents ,(a) Adequacy of control ,(b) Effectiveness of control ,(c) Non?repudiability of control ,(d) All of the above,A ,,,
29. Whether controls are functioning as planned helps determining ,(a) Adequacy of control ,(b) Conformance of control ,(c) Non?repudiability of control ,(d) Effectiveness of control,D ,,,
30. IT Controls are classified into ,(a) two categories ,(b) five categories ,(c) four categories ,(d) three categories,A ,,,
31. Pick the correct one ,"(a) General Controls are controls which relate to the environment within which computer?based application systems are developed, maintained and operated, and which are therefore applicable to all applications. ",(b) Application Controls are specific controls unique to each computerised application. ,(c) Both A&B ,(d) None of the given,C ,,,
"32. Development and implementation of an IT Strategy and an IT Security Policy, and setting up of an IT Steering Committee are examples of ",(a) General IT Control ,(b) Application Control ,(c) Both A&B ,(d) Neither A nor B,A ,,,
33. Which of the following is not an examples of General IT Control ,(a) Planning for disaster prevention and recovery ,(b) System development life cycle controls ,(c) Change management controls ,(d) Controls over transaction processing,D ,,,
34. Which of the following is not a part of Application Control? ,(a) Controls over input (data origination and data entry) ,(b) Computer operations controls ,(c) Controls over outputs (distribution of results) ,(d) Controls over application security.,B ,,,
35. Absence of which would also make it difficult to ensure the efficient and effective functioning of a computerised system for an auditor? ,(a) audit trails ,(b) system trails ,(c) log book ,(d) All of the above,A ,,,
"36. State whether true or false in organisations where IT systems are operated, on contract, by outside agencies that employ their own standards and controls, absence of controls could also make the system vulnerable to remote and unauthorised access. ",(a) True ,(b) False,,,A ,,,
37. BPR is an abbreviation of ,(a) Business Process Restructuring ,(b) Business Project Restructuring ,(c) Business Project Re-engineering ,(d) Business Process Re-engineering,D ,,,
38. Moving from a manual/ paper?based environment to an automated environment in Government Entities is known as ,(a) Business Process Restructuring ,(b) Business Project Restructuring ,(c) Business Process Re-engineering ,(d) Business Project Re-engineering,C ,,,
39. Pick the incorrect one ,"(a) In order to achieve effectiveness through an IT system, it may be necessary to not just replicate manual processes but conduct a review of the existing manual processes and consider which manual processes are either not necessary or need to be amended in an automated environment. ",(b) Such a BPR exercise helps to maximize automation of ineffective/ inefficient paper?based processes. ,(c) None of the above ,(d) Both of the above,B ,,,
40. Requirements of IT security management systems are drawn largely from ,(a) ISO/ IEC 38500 series ,(b) ISO/ IEC 27000 series ,(c) ISO/ IEC 28000 series ,(d) ISO/ IEC 39500 series,B ,,,
"41. It consists of the policies, procedures, guidelines and associated resources and activities, collectively managed by an organization in the pursuit of protecting its information assets ",(a) ISMS ,(b) IBMS ,(c) IMSS ,(d) IBMS,A ,,,
42. ISMS stands for ,(a) Indian Security Management System ,(b) Indian Security Management Series ,(c) Information System Management Series ,(d) Information Security Management System,D ,,,
