1. The term ‘Computer’ is derived from.......... ,(a) Latin ,(b) German ,(c) French,(d) Arabic,A,
2. Who is the inventor of “Difference Engine”? ,(a) Allen Turing ,(b) Charles Babbage ,(c) Simur Cray,(d) Augusta Adaming,B,
3. Who is the father of Computer? ,(a) Allen Turing ,(b) Charles Babbage ,(c) Simur Cray,(d) Augusta Adaming,B,
4. Who is the father of Computer science? ,(a) Allen Turing ,(b) Charles Babbage ,(c) Simur Cray,(d) Augusta Adaming,A,
5. Who is the father of personal computer? ,(a) Edward Robert ,(b) Allen Turing ,(c) Charles Babbage,(d) None of these,A,
6. A CPU contains ,(a) a card reader and a printing device ,(b) an analytical engine and a control unit ,(c) a control unit and an arithmetic logic unit,(d) an arithmetic logic unit and a card reader,C,
7. Which of the following controls the process of interaction between the user and the operating system? ,(a) User interface ,(b) Language translator ,(c) Platform,(d) Screen saver,A,
8. The first computers were programmed using ,(a) assembly language ,(b) machine language ,(c) source code,(d) object code,B,
9. ..........is a combination of hardware and software that facilitates the sharing of information between computing devices. ,(a) network ,(b) peripheral ,(c) expansion board,(d) digital device,A,
10. Coded entries which are used to gain access to a computer system are called ,(a) Entry codes ,(b) Passwords ,(c) Security commands,(d) Code words,B,
11. Which of the following statements is true ? ,(a) Minicomputer works faster than Microcomputer ,(b) Microcomputer works faster than Minicomputer ,(c) Speed of both the computers is the same,(d) The speeds of both these computers cannot be compared with the speed of advanced,A,
12. You organize files by storing them in ,(a) archives ,(b) folders ,(c) indexes,(d) lists,B,
13. What type of resource is most likely to be a shared common resource in a computer Network? ,(a) Printers ,(b) Speakers ,(c) Floppy disk drives,(d) Keyboards,A,
14. Which device is required for the Internet connection? ,(a) Joystick ,(b) Modem ,(c) CD Drive,(d) NIC Card,B,
15. What is a light pen?,(a) A Mechanical Input device ,(b) Optical input device ,(c) Electronic input device,(d) Optical output device,B,
