1. The view of total database content is ,(A) Conceptual view ,(B) Internal view. ,(C) External view ,(D) Physical View. ,A,,,,,
2. DML is provided for ,(A) Description of logical structure of database. ,(B) Addition of new structures in the database system. ,(C) Manipulation & processing of database. ,(D) Definition of physical structure of database system.,C,,,,,
3. ODBC stands for ,(A) Object Database Connectivity ,(B) Oral Database Connectivity. ,(C) Oracle Database Connectivity ,(D) Open Database Connectivity. ,D,,,,,
4. Architecture of the database can be viewed as ,(A) two levels ,(B) four levels. ,(C) three levels ,(D) one level. ,C,,,,,
"5. In a relational model, relations are termed as ",(A) Tuples ,(B) Attributes ,(C) Tables ,(D) Rows ,C,,,,,
6. The database schema is written in ,(A) HLL ,(B) DML ,(C) DDL ,(D) DCL ,C,,,,,
7. In the architecture of a database system external level is the ,(A) physical level ,(B) logical level. ,(C) conceptual level ,(D) view level. ,D,,,,,
8. An entity set that does not have sufficient attributes to form a primary key is a ,(A) strong entity set ,(B) weak entity set. ,(C) simple entity set ,(D) primary entity set. ,B,,,,,
9. In a Hierarchical model records are organized as ,(A) Graph ,(B) List. ,(C) Links ,(D) Tree. ,D,,,,,
10. The language used in application programs to request data from the DBMS is referred to as the ,(A) DML ,(B) DDL ,(C) VDL ,(D) SDL ,A,,,,,
11. A logical schema ,(A) is the entire database. ,(B) is a standard way of organizing information into accessible parts. ,(C) describes how data is actually stored on disk. ,(D) both (A) and (C) ,A,,,,,
12. Related fields in a database are grouped to form a ,(A) data file ,(B) data record. ,(C) menu ,(D) bank. ,B,,,,,
13. The database environment has all of the following components except: ,(A) users ,(B) separate files. ,(C) database ,(D) database administrator. ,A,,,,,
14. The language which has recently become the de-facto standard for interfacing application programs with relational database system is ,(A) Oracle ,(B) SQL. ,(C) DBase ,(D) 4GL ,B,,,,,
15. The way a particular application views the data from the database that the application uses is a ,(A) module ,(B) relational model. ,(C) schema ,(D) sub schema.,D,,,,,
15A. A report generator is used to ,(A) update file ,(B) print files on paper. ,(C) data entry ,(D) delete files. ,B,,,,,
16. The property / properties of a database is / are : ,(A) It is an integrated collection of logically related records. ,(B) It consolidates separate files into a common pool of data records. ,(C) Data stored in a database is independent of the application programs using it. ,(D) All of the above. ,D,,,,,
17. The DBMS language component which can be embedded in a program is ,(A) The data definition language (DDL). ,(B) The data manipulation language (DML). ,(C) The database administrator (DBA). ,(D) A query language. ,B,,,,,
18. A relational database developer refers to a record as ,(A) a criteria ,(B) a relation. ,(C) a tuple ,(D) an attribute. ,C,,,,,
