1. Relational calculus is a ,(a) Procedural language. ,(b) None- Procedural language. ,(c) Data definition language. ,(d) High level language.,B
2. The view of total database content is ,(a) Conceptual view ,(b) Internal view. ,(c) External view. ,(d) Physical view.,A
3. DML is provided for ,(a) Description of logical structure of database. ,(b) Addition of new structure in the database system. ,(c) Manipulation &processing of database. ,(d) Definition of physical structure of database system.,C
4. ODBC stands for ,(a) Object Database Connectivity. ,(b) Oral Database Connectivity ,(c) Oracle Database Connectivity. ,(d) Open Database Connectivity.,D
5. Architecture of the database can be viewed as ,(a) Two levels. ,(b) Four levels. ,(c) Three levels. ,(d) One level.,C
6. The database schema is written in ,(a) HLL ,(b) DML ,(c) DDL ,(d) DCL,C
7. In the architecture of a database system external level is the ,(a) Physical level. ,(b) Logical level. ,(c) Conceptual level ,(d) View level.,D
8. In a Hierarchical level model records are organized as ,(a) Graph. ,(b) List . ,(c) Links. ,(d) Tree.,D
9. The language used in application programs to request data from the DBMS is referred to as the ,(a) DML ,(b) DDL ,(c) VDL ,(d) SDL,A
10. The DBMS language component which can be embedded in a program is ,(a) The data definition language (DDL) ,(b) The data manipulation language(DML) ,(c) The database administrator(DBA) ,(d) A query language.,B
11. Which one of the following statement is false? ,(a) The data dictionary is normally maintained by the database administrator. ,(b) Data elements in the database can be modified by changing the data dictionary. ,(c) The data dictionary contains the name and description of each data element. ,(d) The data dictionary is a tool used exclusively by the database administrator.,B
12. An advantage of the database management approach is ,(a) Data is dependent on programs. ,(b) Data redundancy increase. ,(c) Data is integrated and can be accessed by multiple programs. ,(d) None of the above.,C
13. A DBMS query language is designed to ,(a) Support end users who use English-like commands. ,(b) Support in the development of complex applications software. ,(c) Specify the structure of a database. ,(d) All of the above.,D
14. Key to represent relationship between tables is called ,(a) Primary key ,(b) Secondary Key ,(c) Foreign Key ,(d) None of these,C
15. The full form of DDL ,(a) Dynamic Data Language ,(b) Detailed Data Language ,(c) Data Definition Language ,(d) Data Derivation Language,C
16. Which database level is closest to the users? ,(a) External ,(b) Internal ,(c) Physical ,(d) Conceptual,A
17. Hierarchical model is also called ,(a) Tree structure ,(b) Plex Stucture ,(c) Normalize Structure ,(d) Table Structure,A
18. Information system that monitor the elementary activities and transactions of the organizations are ,(a) Management-level system ,(b) Operational-level system ,(c) Knowledge-level system ,(d) Strategic level system,A
19. Information systems that monitor the elementary activities and transactions of the organizations are: ,(a) Management-level system ,(b) Operation-level system ,(c) Knowlwdge-leve system ,(d) Strategic level system,A
20. Projections and responses to queries are information output characteristics associated with a (n) ,(a) DSS ,(b) MIS ,(c) ESS ,(d) TPS,C
"21. Summary transaction data, high-volume data, and simple models are information inputs characteristic of a (n): ",(a) DSS ,(b) MIS ,(c) ESS ,(d) TPS,B
"22. Which of the following individuals typically have less formal, advanced educational degrees and tend to process rather than create information? ",(a) Knowledge workers ,(b) Executives ,(c) System analysts ,(d) Data workers,D
23. Management information systems usually: ,"(a) Serve managers interested in weekly, monthly, and yearly results, not day-to-day activities. ","(b) Help managers make decisions that are unique, rapidly changing, and not easily specified in advance. ",(c) Provide mangers with a generalized computing and telecommunications capacity that can be applied to a changing array of problems. ,(d) Perform and record the daily routine transactions necessary to the conduct of business,A
24. Decision support systems usually: ,"(a) Serve managers interested in weekly, monthly, and yearly results, not day-to-day activities. ","(b) Help managers make decisions that are unique, rapidly changing, and not easily specified in advance. ",(c) Provide managers with a generalized computing and telecommunications capacity that can be applied to a changing array of problems. ,(d) Perform and record the daily routine transactions necessary to the conduct of business.,B
"25. Identifying customers and markets using data on demographics, markets, consumer behavior, and trends is an example of a (n): ",(a) Operational-level sales and marketing information system. ,(b) Knowledge-level sales and marketing information system. ,(c) Management-level sales and marketing information system. ,(d) Strategic-level sales and marketing information system.,B
26. Deciding where to locate new production facilities is a(n) example of a manufacturing and production information system operating at the: ,(a) Operational level ,(b) Strategic Operational level ,(c) Management level ,(d) Knowledge level,D
27. Preparing short-term budgets is an example of a finance and accounting information system operating at the: ,(a) Operational level ,(b) Management level ,(c) Knowledge level ,(d) Strategic level,B
"28. Tracking employee training, skills, and performance appraisals is an example of a human resource information system operating at the: ",(a) Operational level ,(b) Management level ,(c) Knowledge level ,(d) Strategic level,A
"29. Assembling a product, identifying customers and hiring employees are : ",(a) Transactions ,(b) Phases ,(c) Business processes ,(d) Business functions,C
"30. Which of the followwing is a network of facilities for procuring materials, transforming raw materials inti intermediate and finished products, and distributing the finished products to customers? ",(a) Production Chain ,(b) Primary Chain ,(c) Supply Chain ,(d) Distribution Chain,C
31. Information systems can facilitate supply chain management by: ,(a) Tracking the status ,(b) Rapidly communicating orders ,(c) Providing product specifications ,(d) Doing all of the above,D
32. Enterprise systems support ,(a) Manufacturing processes ,(b) Financial and accounting processes ,(c) Human resource processes ,(d) All of the above,D
33. A computer security protocol for logging in would be an example of the __________________ component of an information system. ,(a) Software ,(b) Hardware ,(c) Data ,(d) Procedure,D
34. Customer numbers and their names would be an example of the ______________ component of an order management information system. ,(a) Software ,(b) Hardware ,(c) Data ,(d) Procedure,C
35. No routine cognitive skills include : ,(a) Communication ,(b) Problem – solving ,(c) Abstract reasoning ,(d) All of the above,D
36. The quality of your ___________________is a large part of the quality of your information system. ,(a) Computer Thinking ,(b) Time ,(c) Challenges,,B
37. Which of the following is not a characteristic of good information? ,(a) Interchangeability ,(b) Relevance ,(c) Cost effectiveness ,(d) Timeliness,A
"38. If you are a _____________ recipients of sensitive information, such as might be overheard or contained in a misdirected email, this would not be illegal, but might be unethical to use it. ",(a) Active ,(b) Passive ,(c) Proper ,(d) Business,B
39. A human order taker can be bypassed when using a (n) ____________________ ,(a) Office automation system ,(b) Management information system ,(c) Transaction processing system ,(d) Decision support system,C
