1. National e-Governance Plan (NeGP) 2.0 is also known as ,(a) e-kranti ,(b) Digital India ,(c) e-Sarkar ,(d) Digital Governance,A
2. National e-Governance Plan 2.0 has been approved in ,(a) 2014 ,(b) 2015 ,(c) 2016 ,(d) 2017,B
3. The first meeting of the Apex Committee on the Digital India programme held in ,(a) November 2016 ,(b) November 2017 ,(c) November 2014 ,(d) November 2015,C
4. How many Mission Mode Projects (MMPs) were approved under Digital India/e-Kranti ,(a) 31 ,(b) 27 ,(c) 47 ,(d) 44,D
5. E-kranti is regarded as Pillar of Digital India ,(a) Pillar 5 ,(b) Pillar 1 ,(c) Pillar 4 ,(d) Pillar 3,A
6. Which of the following is regarded the 4th Pillar of Digital India? ,(a) e-kranti-Electronically Delivery of Services ,(b) e-Governance-Reforming Government through Technology ,(c) e-Power-Empowering citizen through ICT ,(d) None of the given,B
7. This Digital India programme has been envisaged by the ,(a) Niti Aayog ,(b) Department of Electronics and Information Technology (DeitY) ,(c) Apex Committee on the Digital India ,(d) All of the above,B
8. Objectives of `e-Kranti` include i. To redefine NeGP with transformational and outcome oriented e-Governance initiatives. ii. To enhance the portfolio of citizen centric services. iii. To enhance the citizen participation in Governance iv. To ensure optimum usage of core Information & Communication Technology (ICT). v. To promote rapid replication and integration of e-Gov applications ,"(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, ii, iv and v ",(d) All of the above,C
9. Objectives of `e-Kranti` include ,(a) To leverage emerging technologies ,(b) To make use of more agile implementation models ,(c) Both A&B ,(d) None of the given,C
10. The key principles of e-Kranti include i. Translation and not Transformation ii. Integrated Services and not Individual Services. iii. Government Process Reengineering (GPR) to be mandatory in every MMP. iv. ICT Infrastructure on Demand. v. Cloud by Default. ,"(a) ii, iii, iv and v ","(b) i, ii, iii and iv ","(c) i, iii, iv and v ",(d) All of the above,A
11. The key principles of e-Kranti include i. Mobile First. ii. Fast Tracking Approvals. iii. Mandating Standards and Protocols. iv. Language Localization. v. National GIS (Geo-Spatial Information System). vi. Security and Electronic Data Preservation ,"(a) ii, iii, iv, v and vi ","(b) i, ii, iii, iv and v ","(c) i, iii, iv, v and vi ",(d) All of the above,D
12. e-Kranti is an important pillar of the ,(a) Digital India programme ,(b) Fast India Programme ,(c) Cardinal India Programme ,(d) All of the above,A
13. The Vision of e-Kranti is ,(a) Transforming Governance for Transforming e-Governance ,(b) Transforming e-Governance for Transforming Governance ,(c) Transforming e-India for Transforming Governance ,(d) Transforming India for Transforming e-Governance,B
14. The Mission of e-Kranti is to ensure a Government wide transformation by delivering ,"(a) important Government services electronically to citizens through integrated and interoperable systems via multiple modes, while ensuring efficiency, transparency and reliability of such services at free of cost. ","(b) important Government services electronically to citizens through integrated and interoperable systems via multiple modes, while ensuring efficiency, transparency and reliability of such services at affordable costs. ","(c) all Government services electronically to citizens through integrated and interoperable systems via multiple modes, while ensuring efficiency, transparency and reliability of such services at free of cost.","(d) all Government services electronically to citizens through integrated and interoperable systems via multiple modes, while ensuring efficiency, transparency and reliability of such services at affordable costs",D
15. Pick the correct one ,(a) The approach and methodology of e-Kranti are fully aligned with the Digital India programme. ,"(b) The programme management structure approved for Digital India programme would be used for monitoring the implementation of e-Kranti and also for providing a forum to ascertain views of all stakeholders, overseeing implementation, resolving inter-Ministerial issues and ensuring speedy sanction of projects ",(c) Both A&B ,(d) None of the above,C
16. Key components of the management structure of e-kranti would consist of the i. Cabinet Committee on Economic Affairs (CCEA) ii. Monitoring Committee on Digital India iii. Digital India Advisory Group iv. an Apex Committee ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D
17. Which of the following body accords approval to e-kranti projects according to financial provisions? ,(a) Cabinet Committee on Economic Affairs (CCEA) ,(b) Monitoring Committee on Digital India ,(c) Apex Committee ,(d) Digital India Advisory Group,A
"18. With respect to e-kranti, which of the following is chaired by the Prime Minister? ",(a) Apex Committee ,(b) Monitoring Committee on Digital India ,(c) Digital India Advisory Group ,(d) All of the above,B
19. Digital India Advisory Group is chaired by the ,(a) Prime Minister ,(b) Dy. Chairman of Niti Aayog ,(c) Minister of Communications and IT ,(d) Cabinet Secretary,C
20. Apex Committee is headed by the ,(a) Prime Minister ,(b) Dy. Chairman of Niti Aayog ,(c) Minister of Communications and IT ,(d) Cabinet Secretary,D
21. Which of the following structure of e-kranti would undertake addition / deletion of Mission Mode Projects (MMPs) which are considered to be appropriate and resolve inter-Ministerial issues? ,(a) Cabinet Committee on Economic Affairs (CCEA) ,(b) Monitoring Committee on Digital India ,(c) Apex Committee ,(d) Digital India Advisory Group,C
22. The overall responsibility for implementation of the MMPs would rest with ,(a) Central Ministries/ Departments and State Governments concerned ,(b) Department of Electronics and Information Technology (DeitY) ,(c) Monitoring Committee on Digital India ,(d) All of the above,A
"23. The thrust areas of the e-Kranti – electronic delivery of services under the Digital India programme are i. Technology for Education (e-Education) ii. Health (e-Healthcare) iii. Farmers iv, Financial Inclusion v. Cyber Security. ","(a) ii, iii, iv and v ","(b) i, ii, iii and iv ","(c) i, iii iv and v ",(d) All of the above,D
1. Sugamya Bharat Abhiyaan or Accessible India Campaign is a nation-wide flagship campaign for achieving universal accessibility that enables ,"(a) people with disabilities to gain access for equal opportunity, live independently and participate fully in all aspects of life in an inclusive society ","(b) People underprivileged to gain access for equal opportunity, live independently and participate fully in all aspects of life in an inclusive society ","(c) People of the weaker sections including economically underprivileged people to gain access for equal opportunity, live independently and participate fully in all aspects of life in an inclusive society",(d) All of the above,A
2. Pick the correct one ,"(a) Sugamya Bharat Abhiyaan or Accessible India Campaign targets at enhancing the accessibility of built environment, transport system and Information and communication ecosystem. ",(b) The mobile application is a crowd sourcing platform to comprehensively obtain information on inaccessible places across the country. ,(c) Both A&B ,(d) None of the above,C
3. Sugamya Bharat Abhiyaan or Accessible India Campaign comes under ,(a) Ministry of Social Justice and Empowerment ,(b) Prime Minister Office ,(c) Niti Aayog ,(d) All of the above,A
4. Sugamya Bharat Abhiyaan or Accessible India Campaign was launched by Prime Minister Narendra Modi on ,(a) 3rd November 2015 ,(b) 3rd December 2015 ,(c) 3rd January 2016 ,(d) 3rd February 2016,B
5. 3rd December is also commemorated with ,(a) International Day of Social Justice ,(b) International Day of Equality ,(c) International Day of People with Disabilities ,(d) International Day of Human Rights,C
