1. Guidelines for Indian Government Website is an integral part of ,(a) Central Secretariat Manual of Office Procedure ,(b) Business Rule ,(c) IT Act ,(d) Official Secret Act,A 
2. Guidelines for Indian Government Website has been prepared by ,(a) National Informatics Centre (NIC) ,(b) National Informatics Centre (NIC) and Ministry of Electronics and Information Technology (MeiTY) ,"(c) Ministry of Personnel, Public Grievances & Pension ",(d) All of the above,B 
3. Guidelines for Indian Government Website has been adopted by ,(a) Department of Administrative Reforms and Public Grievances (DARPG) ,"(b) Ministry of Personnel, Public Grievances & Pension ",(c) Both A&B ,(d) All the Ministry and Department of Union and State Government.,C 
4. The first edition of Guidelines for Indian Government Website was issued in ,(a) 2014 ,(b) 2008 ,(c) 2015 ,(d) 2009,D 
5. The Second and present edition of Guidelines for Indian Government Website was issued in ,(a) 2019 ,(b) 2018 ,(c) 2021 ,(d) 2020,B 
6. National Informatics Centre has developed these Guidelines as an initiative under the ,(a) National Portal of India Project ,(b) Digital India Project ,(c) e-Governance Project ,(d) All of the above,A 
"7. Guidelines for Indian Government Website recommends policies and guidelines for Indian Government websites and Portals, at any organisational level and belonging to ",(a) Central Government ,(b) State Government ,(c) Both Central Government and State/UT Government including District Administrations to Village Panchayats ,(d) Both Central Government and State/UT Government excluding District Administrations to Village Panchayats,C 
8. These guidelines address ,(a) common policy issues and practical challenges that Government Departments face during development and management of their websites. ,(b) specific policy issues and practical challenges that a particular Government Departments face during development and management of their websites. ,(c) both common and specific policy issues and practical challenges that a particular Government Departments face during development and management of their websites,(d) None of the given,A 
9. UUU trilogy means ,"(a) Usable, Unified and Universally Accessible ","(b) Usefulness, User Centric and Universally Accessible ","(c) Utility, Unified and Universally Accessible ","(d) Usable, User-Centric and Universally Accessible",D 
"10. Standardisation Testing Quality Certification (STQC) an organisation, which provides certification, is located under ",(a) National Informatics Centre (NIC) ,(b) Ministry of Electronics and Information Technology (MeiTY) ,(c) Cabinet Secretariat (CS) ,(d) Prime Minister Office (PMO),B 
11. Guidelines for Indian Government Website are based on ,"(a) International Standards including ISO 23026, W3C’s ",(b) Web Content Accessibility Guidelines (WCAG2.0) ,(c) Rights of Persons with Disabilities Act 2016 and Information Technology Act of India.,(d) All of the above,D 
12. Guidelines for Indian Government Website are divided into ,(a) two categories ,(b) three categories ,(c) four categories ,(d) five categories,B 
13. A website where the user can avail the guidelines online has been set up under the domain address ,(a) http://web.guidelines.gov.in ,(b) http://webportal.guodelines.gov.in ,(c) http://webportal.guidelines.nic.in ,(d) http://web.guidelines.nic.in,A 
14. Pick the correct regarding Accessibility aspects of Indian Government Websites ,"(a) Web accessibility means that people with all types of disabilities can also perceive, understand, navigate and interact with the Web, and that they can contribute to the Web. ","(b) The Website and apps should be designed and developed in such way that they are accessible by all people, whatever may be their hardware, software, language, culture, location, or physical or mental ability. ",(c) Both A&B ,(d) None of the given,C 
15. Pick the correct one ,"(a) The United Nations General Assembly adopted its Convention on the Rights of Persons with Disabilities on the 13th day of December, 2013 and India is a signatory to the Convention and has ratified the Convention on the 1st day of October, 2014. ","(b) To implement the Convention India has enacted the Rights of Persons With Disabilities Act, 2016 on 8th March 2015. ",(c) Both A&B ,(d) None of the given,D 
16. WCAG stands for ,(a) Web Content Accessibility Guidelines ,(b) Web Content Availability Guidelines ,(c) Web-portal Content Accessibility Guidelines ,(d) Web-portal Content Availability Guidelines,A 
"17. The WCAG are organized around the four principles, which lay the foundation necessary for anyone to access and use Web content. Pick the incorrect principle ",(a) Operable ,(b) Robust ,(c) Understandable ,(d) Presentable,D 
18. Under each principle of WCAG there is a list of guidelines. How many guidelines are there ,(a) 10 ,(b) 12 ,(c) 15 ,(d) 14,B 
19. GIGAW stands for ,(a) Guidelines for Indian Government App. And Websites ,(b) Guidelines for International Government App. And Websites ,(c) General Instruction for Government App. And Websites ,(d) Government Instruction for Government App. And Websites,A 
20. GIGAW has been developed in accordance with ,(a) W3C’s Web Content Accessibility Guidelines 2.0 ,(b) W2C’s Web Content Accessibility Guidelines 3.0 ,(c) W3C’s Web Content Accessibility Guidelines 2.0 ,(d) W3C’s Web Content Accessibility Guidelines 3.0,C 
21. W3C is the short form of ,(a) World Wide Web Community ,(b) World Wide Web Consortium ,(c) World Wide Web Confederation ,(d) World Wide Web Conglomerate,B 
22. Pick the incorrect one ,(a) State Emblem of India MUST be displayed on the Homepage of the websites of Central Government Ministries/Departments. ,"(b) The usage of State Emblem of India on an Indian Government website must comply with the directives as per the ‘State Emblem of India (Prohibition of improper use) Act, 2010’. ",(c) the State Governments should also display their Emblems or the State Emblem of India in case the State has adopted it as its official Emblem.,(d) None of the given,B 
23. Public Sector organisations and autonomous bodies ,(a) must display State Emblem of India on the Homepage of the website to reinforce their identity. ,(b) should display State Emblem of India on the Homepage of the website to reinforce their identity. ,(c) should display their official logo on the Homepage of the website to reinforce their identity. ,(d) must display State Emblem of India and on their official logo the Homepage of the website to reinforce their identity.,C 
24. Pick the incorrect one ,"(a) The Homepage and all important entry pages of the website MUST display the ownership information, either in the header or footer. ",(b) The lineage of the Department should also be indicated at the bottom of the Homepage and all important entry pages of the website. ,(c) Both A&B ,(d) None of the given,D 
25. The domain exclusively allotted and restricted to Government websites. ,(a) ‘gov.in’ ,(b) ‘nic.in’ ,(c) both A&B ,(d) either A or B,D 
26. Excluding extension “. gov.in/nic.in” the minimum and maximum character permissible for a domain is ,"(a) Minimum 3, Maximum 63 ",(b) Minimum 3 Maximum 36 ,"(c) Minimum 2, Maximum 63 ",(d) Minimum 4 Maximum 36,A 
27. State whether true or false For composition of domain names under .IN generic names are allowed ,(a) True ,(b) False,,,B 
28. Pick the CORRECT one regarding the domain name under .IN ,"(a) Departments can also use hyphens, but hyphens cannot begin or end a domain name. Also, two hyphens together are usually not permitted, and hyphens cannot appear in both the third and fourth positions. ","(b) Spaces and special characters (such as !, $, &, _ and so on) are permitted. ",(c) Domain names are case-sensitive. ,(d) All of the above,A 
29. The exclusive Registrar for GOV.IN domain names is ,(a) MeiTY ,(b) NIC ,(c) NSDL ,(d) UTI,B 
30. The Portal an aggregator of all Indian Government websites belonging to different entities of the Government is ,(a) bharat.gov.in ,(b) india.nic.in ,(c) india.gov.in ,(d) bharat.nic.in,C 
31. Pick the correct one ,"(a) Since the National Portal is the official single entry Portal of the Indian Government, all Indian Government websites MUST provide a prominent link to the National Portal from the Homepage and other important pages of citizen’s interest. ",(b) The pages belonging to the National Portal MUST load into a newly opened browser window of the user. This will also help visitors find information or service they could not get on that particular website. ,(c) Both A&B ,(d) None of the given,C 
32. Pick the INCORRECT one ,"(a) As per linking Policy of the National Portal, prior permission is required to link ‘india.gov.in’ from any Indian Government website. ","(b) The Department providing a link to The National Portal is required to inform the National Portal Secretariat about the various sections of the National Portal that they have linked to, so that they can be informed of any changes, updations/additions therein. ","(c) Also, it is not permitted that the National Portal Pages be loaded into frames on any site. These must be loaded into a new browser window. ",d. None of the given,A 
33. It is a form of protection provided to the owners of “original works of authorship” in any form or media ,(a) Patent ,(b) Copyright ,(c) Manifest ,(d) Charter,B 
34. The copyright policy of a Department could be ,(a) liberal ,(b) moderate ,(c) conservative ,(d) any of the above,D 
"35. Since it is a duty of a Government Department to provide all the information in the public domain freely to the citizens, the Departments should aim to have a ",(a) liberal copyright policy ,(b) moderate copyright policy. ,(c) conservative copyright policy ,(d) zero tolerant copyright policy,A 
36. Pick the correct one ,(a) The hyperlinking policy enumerating the criteria and guidelines with respect to hyperlinks with other sites may be made available under the common heading of ‘Hyperlinking Policy’ ,(b) Hyperlinking policy should be displayed at a common point on the Homepage of all sites under the ownership of a State/Ministry. ,(c) Both A&B ,(d) None of the given,C 
37. To create a visual distinction for links that lead offsite some control mechanism should be used. One of such control is ,(a) Navigation Style Sheets (CSS) controls ,(b) Cascading Style Sheets (CSS) controls ,(c) Transition Style Sheets (CSS) controls ,(d) Shifting Style Sheets (CSS) controls,B 
38. Pick the incorrect one ,"(a) all Indian Government websites should make sure that the external hyperlinks, wherever present on the site, MUST be verified and checked on a regular basis to ensure that the information being provided ‘through’ them is up-to-date, accurate and relevant. ",(b) Broken links’ or those leading to ‘Page Not Found’ errors MUST be checked on a regular basis and are rectified or removed from the site immediately upon discovery. ,(c) Both A&B ,(d) None of the given,D 
39. Every Indian Government website MUST have a clearly defined Terms and Conditions that shall address the aspects EXCEPT ,(a) Ownership Details ,(b) Usage Policy of Content ,(c) Legal Aspects ,(d) Financial Aspects,D 
"40. State whether true or false Since it is the responsibility of all Indian Government Departments to uphold and maintain the trust imposed in them by the visitors to the sites, the Government websites should out-rightly ‘disclaim’ the content of another Government website. ",(a) True ,(b) False,,,B 
