1. IT Rules 2011 has been made in terms with ,(a) Section 87 and Section 43 of IT Act 2000 ,(b) Section 88 and Section 43 of IT Act 2000 ,(c) Section 87 and Section 88 of IT Act 2000 ,(d) Section 43 and Section 44 of IT Act 2000,A
2. IT Rules 2011 has come into effect on ,(a) 1st January 2011 ,(b) 1st April 2011 ,(c) 11th April 2011 ,(d) 11th January 2011,C
"3. Body corporate"" means the body corporate as defined in clause (i) of explanation to section ",(a) 43 of the IT Act 2000 ,(b) 43A of the IT Act 2000 ,(c) 87A of the IT Act 2000 ,(d) 87 of the IT Act 2000,B
"4. Any real or suspected adverse event in relation to cyber security that violates an explicitly or implicitly applicable security policy resulting in unauthorised access, denial of service or disruption, unauthorised use of a computer resource for processing or storage of information or changes to data, information without authorisation is called ",(a) Cyber-attack ,(b) Technology-attack ,(c) Technology incident ,(d) Cyber incident,D
"5. Sensitive personal data or information of a person means such personal information which consists of information relating to i. password ii. financial information such as Bank account or credit card or debit card or other payment instrument details iii. physical, physiological and mental health condition iv. sexual orientation v. medical records and history ","(a) i, ii, iii and iv ","(b) i, ii, iii and v ","(c) i, ii, iv and v ",(d) All of the above,D
6. State whether true or false Biometric information is not considered as sensitive personal data. ,(a) True ,(b) False,,,B
"7. Which of the following are not regarded as sensitive personal data or information for the purposes of IT Rules, 2011 ",(a) any information that is freely available or accessible in public domain ,"(b) any information furnished under the Right to Information Act, 2005 or any other law for the time being in force ",(c) Both A&B ,(d) None of the given,C
"8. The body corporate or any person who on behalf of body corporate collects, receives, possess, stores, deals or handle information of provider of information, shall provide ",(a) a privacy policy for handling of or dealing in personal information ,(b) a secret policy for handling of or dealing in personal information ,(c) a comprehensive assurance policy for handling of or dealing in personal information ,(d) All of the above,A
9. Privacy policy shall be ,(a) published in Indian Gazette ,(b) published on website of body corporate or any person on its behalf ,(c) published in at-least two of national newspaper and one local newspaper,(d) All of the above,B
10. Privacy policy should include i. Clear and easily accessible statements of its practices and policies; ii. type of personal or sensitive personal data or information collected iii. purpose of collection and usage of such information iv. destruction of information including sensitive personal data or information v. reasonable security practices and procedures ,"(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, ii, iii and v ",(d) All of the above,C
"11. Which Rule of IT Rules, 2011 deals with Sensitive Personal Information ",(a) Rule 2 ,(b) Rule 5 ,(c) Rule 4 ,(d) Rule 3,D
