1. IT Control are a subset of ,(a) an enterprise's internal control ,(b) an enterprise's external control ,(c) combination of both A&B ,(d) Governmental control,A
2. IT control objectives relate to the ,"(a) confidentiality, integrity, and availability of data ",(b) the overall management of the IT function of the business enterprise. ,(c) Both A&B ,(d) None of the given,C
3. IT controls are often described in two categories. Pick these categories ,(a) Public and Private Control ,(b) General and Application Control ,(c) Permanent and Temporary Control ,(d) Internal and External Control,B
4. ITGC stands for ,(a) Information Technology General Conventions ,(b) Information Technology General Control ,(c) Information Technology Governmental Conventions ,(d) Information Technology Governmental Conventions,B
"5. Controls over the Information Technology (IT) environment, computer operations, access to programs and data, program development and program changes come under the ambit of ",(a) General Control ,(b) Application Control ,(c) Overall IT Control ,(d) Management Control,A
6. Which of the following does not fall under IT General Control? ,(a) Control of IT environment ,(b) control over program development ,(c) control over programme changes ,(d) None of the given,D
"7. IT control that refers to transaction processing controls and sometimes called ""input-processing-output"" controls are ",(a) General Control ,(b) System Control ,(c) Application Control ,(d) Overall IT Control,C
"8. A widely used framework promulgated by the IT Governance Institute, which defines a variety of ITGC and application control objectives and recommended evaluation approaches is ",(a) CIT ,(b) COBIT ,(c) ITCOB ,(d) BITCO,B
9. COBIT stands for ,(a) Control Objectives for Information & Related Technology ,(b) Control Objective for Business Information and Related Technology ,(c) Common Objectives for Information and Technology ,(d) Common Objectives for Information & Related Technology,A
10. IT departments in organizations are often led by ,(a) Chief Executive Officer (CEO) ,(b) Chief Information and Technology Officer (CITO) ,(c) Chief Information Officer (CIO)/Chief Information Security Officer (CISO) ,(d) All of the above,C
11. Pick the incorrect one ,(a) IT General Controls represent the foundation of the IT control structure. ,(b) ITGC help ensure the reliability of data generated by IT systems and support the assertion that systems operate as intended and that output is reliable ,(c) Both A&B ,(d) None of the given,D
12. ITGC usually include the following types of controls EXCEPT ,"(a) Control environment, or those controls designed to shape the corporate culture or ""tone at the top. ","(b) Hardware/software configuration, installation, testing, management standards, policies and procedures. ","(c) Disaster recovery/backup and recovery procedures, to enable continued processing despite adverse conditions. ",(d) Authorization - controls that ensure only approved business users have access to the application system.,D
13. IT application or program controls are ,(a) fully automated ,(b) Partially automated ,(c) fully manual ,(d) partially manual,A
14. Pick the correct one ,"(a) IT application or program controls are designed to ensure the complete and accurate processing of data, from input through output. ",(b) These controls may also help ensure the privacy and security of data transmitted between applications. ,(c) Both A&B ,(d) None of the given,C
15. Categories of IT application controls may include ,(a) Completeness checks - controls that ensure all records were processed from initiation to completion. ,(b) Validity checks - controls that ensure only valid data is input or processed. ,(c) Identification - controls that ensure all users are uniquely and irrefutably identified.,(d) All of the above,D
16. Forensic controls comes under ,(a) ITGC ,(b) Application Control ,(c) Both A&B ,(d) None of the given,B
17. Forensic Control means control that ensure ,(a) data is scientifically correct and mathematically correct based on inputs and outputs. ,(b) data retrieval is correct and complete ,(c) data availability even after project is complete/abandoned. ,(d) All of the above,A
18. Pick the correct one ,(a) COBIT defines the design factors that should be considered by the enterprise to build a best-fit governance system. ,(b) COBIT addresses governance issues by grouping relevant governance components into governance and management objectives that can be managed to the required capability levels ,(c) Both A&B ,(d) None of the given,C
19. Abbreviation for Committee of Sponsoring Organizations of the Treadway Commission is ,(a) CSOTC ,(b) COSO ,(c) COSOT ,(d) CSTC,B
20. Pick the correct regarding COSO ,"(a) COSO, a joint initiative to combat corporate fraud, was established in USA by the five private sector organisations in 1985. ",(b) COSO has established a common internal control model against which companies and organisations can evaluate their control system. ,"(c) COSA has the support of five support organisations i.e. American Institute of Certified Public Accountants (AICPA), American Accounting Association (AAA), Financial Executives International (FEI), Institute of Internal Auditors (IIA) and Institute of Management Accountants (IMA).",(d) All of the above,D
21. COSO identifies five components of internal control that need to be in place to achieve financial reporting and disclosure objectives EXCEPT ,(a) control environment ,(b) Material control ,(c) control activities ,(d) risk assessment,B
22. The major domains under COBIT are ,(a) four ,(b) five ,(c) two ,(d) three,A
