1 Which of the following is not an scripting language ? ,(A) HTML ,(B) XML ,(C) Postscript ,(D) Javascript,C
2. Which of the following is a platform free language ,(A) Fortran ,(B) Assembly ,(C) C ,(D) Java,D
3. A digital signature is ,(A) scanned signature ,(B) signature in binary form ,(C) encrypting information ,(D) handwritten signature,C
4. Mechanism to protect private networks from outside attack is ,(A) Firewall ,(B) Antivirus ,(C) Digital signature ,(D) Formatting,A
5. A computer system that permits multiple users to run programs at same time ,(A) Real time system ,(B) Multi programming system ,(C) Time sharing system ,(D) Multi tasking system,D
6. A computer communication technology that provides a way to interconnect multiple computer across short distance is ,(A) LAN ,(B) MAN ,(C) WAN ,(D) Wireless network,A
7. Telnet is a service that runs ,(A) Television on net ,(B) Remote program ,(C) Cable TV network ,(D) Telenext,B
8. A device that forwards data packet from one network to another is called a ,(A) Bridge ,(B) Switch ,(C) Hub ,(D) Gateway,B
9. Which of the following is the fastest media of data transfer ,(A) Co-axial Cable ,(B) Untwisted Wire ,(C) Telephone Lines ,(D) Fibre Optic,D
10. Tool that is used to transfer data/files among computers on the Internet ,(A) FTP ,(B) Archie ,(C) TCP ,(D) Gopher,C
11. HTML is a ,(A) Programming Language ,(B) Scripting Language ,(C) Web Browser ,(D) Network Protocol,B
12. Secret-key encryption is also known as ,(A) Asymmetric encryption ,(B) Symmetric encryption ,(C) Secret-encryption ,(D) Private encryption,D
13. The concept of electronic cash is to execute payment by ,(A) Credit Card ,(B) ATM Card ,(C) Using computers over network ,(D) Cheque,C
14. SMTP is a ,(A) Networking Protocol ,(B) Protocol used for transferring message between end user & Mail Server ,(C) Protocol used for smart card message interchange ,(D) Encryption Standard,B
15. Digital Signature is ,(A) Scanned Signature on Computer ,(B) Code number of the sender. ,(C) Public Key Encryption. ,(D) Software to recognize signature.,D
16. Telnet is a ,(A) Network of Telephones ,(B) Television Network ,(C) Remote Login ,(D) Remote Login.,C
17. The internet is ,(A) Network of networks ,(B) Web site. ,(C) Host ,(D) Server,A
