1. OWASP stands for ,(a) Open Web Application Security Project ,(b) Open Web Application Security Programme ,(c) Open Web Authentication Security Project ,(d) Open Web Authentication Security programme,A
2. Pick the correct one ,(a) OWASP is a non-profit organization focused on hardware and software security. ,"(b) Their projects include a number of open-source software development programs and toolkits, local chapters and conferences, among other things. ",(c) Both A&B ,(d) None of the given,B
3. OWASP Top 10 is ,(a) a list of the top 10 used web applications. ,(b) a list of the top 10 searched web applications. ,(c) a list of the top 10 security risks faced by web applications. ,(d) All of the above,C
4. Pick the correct one regarding OWASP Top 10 ,(a) The OWASP Top 10 isn't just a list. ,"(b) It assesses each flaw class using the OWASP Risk Rating methodology and provides guidelines, examples, best practices for preventing attacks, and references for each risk. ","(c) By learning the flaws on the OWASP Top 10 chart and how to resolve them, application developers can take concrete steps toward a more secure application that helps keep users safe when it comes to malicious attacks. ",(d) All of the above,D
"5. When an attacker exploits insecure code to insert/inject their own code into a program, this is known as ",(a) Broken Authentication ,(b) Injection ,(c) Broken Access Control ,(d) Cross-Site Scripting,B
6. Examples of injection include ,(a) SQL injections ,(b) CRLF injections ,(c) LDAP injections. ,(d) All of the above,D
7. Which can reveal injection flaws and suggest remediation techniques such as stripping special characters from user input or writing parameterized SQL queries? ,(a) Application Security Testing ,(b) Multifactor authentication ,(c) Data Encryption ,(d) All of the above,A
8. Incorrectly implemented authentication and session management calls can be a huge security risk known as ,(a) Broken Access Control ,(b) Injection ,(c) Broken Authentication ,(d) Cross-Site Scripting,C
9. Scans to detect and remove issues with implementation errors before code is deployed are ,(a) DAST and SCA Scan ,(b) FAST and MCA Scan ,(c) SAST and MCA Scan ,(d) All of the above,A
10. DAST stands for ,(a) Developing Application Security Testing ,(b) Dynamic Application Security Testing ,(c) Diversified Application Security Testing ,(d) Dynamic Application Software Technology,B
11. SCA stands for ,(a) System Control Application ,(b) System Composition Analysis ,(c) Software Composition Analysis ,(d) Software Control Application,C
12. An application security methodology in which development teams can quickly track and analyse any open source component brought into a project is ,(a) DAST scan ,(b) SAST scan ,(c) MAC scan ,(d) SCA scan,D
13. Pick the correct one ,(a) DAST uses a black-box approach that assumes testers have no knowledge of the inner working of the software being tested ,"(b) Black-box testing needs to dynamic because as an application runs, the number of input and output increases and decreases and the data they consume or release continuously changes ",(c) DAST requires functioning software it can only be used much later in development process than SAST.,(d) All of the above,D
"14. Data encryption, tokenization, proper key management, and disabling response caching can all help reduce the risk of ",(a) sensitive data exposure ,(b) XML External Entities ,(c) Broken Access Control ,(d) Security Misconfiguration,A
"15. This risk of XML External Entities occurs when attackers are able to upload or include hostile XML content due to insecure code, integrations, or dependencies. This can be overdone by ",(a) An SCA scan ,(b) Disabling XML external entity processing also reduces the likelihood of an XML entity attack ,(c) Both A&B ,(d) None of the given,C
16. Pick the correct regarding Broken Control Access ,"(a) If authentication and access restriction are not properly implemented, it's easy for attackers to take whatever they want. With broken access control flaws, unauthenticated or unauthorized users may have access to sensitive files and systems, or even user privilege settings. ",(b) Configuration errors and insecure access control practices are hard to detect as automated processes cannot always test for them. ,"(c) Penetration testing can detect missing authentication, but other methods must be used to determine configuration problems. Weak access controls and issues with credentials management are preventable with secure coding practices, as well as preventative measures like locking down administrative accounts and controls and using multi-factor authentication.",(d) All of the above,D
"17. Just like misconfigured access controls, more general security configuration errors are huge risks that give attackers quick, easy access to sensitive data and site areas. This can be reduced by ",(a) Static Testing ,(b) Dynamic Testing ,(c) SCA Testing ,(d) All of the above,B
18. API stands for ,(a) Application Programming Interface ,(b) Advance Programming Interface ,(c) Application Processing Interface ,(d) Advance Processing Interface,A
"19. When attackers take advantage of APIs and DOM manipulation to retrieve data from or send commands to your application, it is known as ",(a) Insecure Deserialization ,(b) Broken Control Access ,(c) Cross-Site scripting ,(d) Cryptographic Failure,C
20. XSS denotes ,(a) XML External Entities ,(b) Cross-Site scripting ,(c) Server Side Request Forgery ,(d) Identification and Authentication Failures,B
"21. Retrieving data and objects that have been written to disks or otherwise saved, can be used to remotely execute code in your application or as a door to further attacks is called ",(a) Insecure Deserialization ,(b) Identification and Authentication Failures ,(c) Server Side Request Forgery ,(d) Cross-site Scripting,A
22. Pick the correct one ,"(a) Although deserialization is difficult to exploit, penetration testing or the use of application security tools can reduce the risk further. ","(b) Additionally, do not accept serialized objects from untrusted sources and do not use methods that only allow primitive data types ",(c) Both A&B ,(d) None of the given,C
23. Components with Known Vulnerabilities can be located and reduced by ,(a) A static and dynamic analysis ,(b) A static analysis accompanied by a software composition analysis ,(c) A dynamic analysis accompanied by a software composition analysis ,(d) A static and dynamic analysis accompanied by a software composition analysis,B
24. How many new categories were there in OWASP Top 10 of 2021 as compared to Top 10 of 2017? ,(a) Two ,(b) Five ,(c) Four ,(d) Three,D
25. Which of the following was not a new category featured in Top 10 of 2021 edition? ,(a) Insecure Design ,(b) Software and Data Integrity Failures ,(c) Server-side Request Forgery ,(d) Vulnerable and Outdated Components,D
26. Which vulnerability tops the list of 2021? ,(a) Broken Access Control ,(b) Injection ,(c) Insecure Design ,(d) Cryptographic Failure,A
27. Which vulnerability was at bottom in the list of 2021? ,(a) Software and Data Integrity Failures ,(b) Security Logging and Monitoring Failures ,(c) Server-side Request Forgery ,(d) Software and Data Integrity Failures,C
