"1. The IT Act, 2000 contains three provisions on data protection and privacy. Which of the following is not amongst the three ",(a) Section 43A ,(b) Section 72A ,(c) Section 72 ,(d) Section 43,D
"2. Which of the following section of the IT ACT, 2000 provides for compensation in the event one is negligent in using RSPP in protecting SPDI) and this results in a wrongful gain or wrongful loss? ",(a) Section 43A ,(b) Section 43 ,(c) Section 72 ,(d) Section 72A,A
3. RSPP stands for ,(a) Reliable Security Practices and Procedures ,(b) Reasonable Security Practices and Procedures ,(c) Regress Security Practices and Procedures ,(d) Repugnant Security Practices and Procedures,B
4. SPDI stands for ,(a) Sensitive Public Data and Information ,(b) Sensitive Private Data and Information ,(c) Sensitive Personal Data and Information ,(d) Serious and Protective Data and Information,C
5. The law provides ,"(a) only compensation, and only when a wrongful gain or loss results from the failure to observe RSPP ","(b) only imprisonment, and only when a wrongful gain or loss results from the failure to observe RSPP ",(c) Both A&B ,(d) None of the given,A
6. RSPP is defined to mean ,(a) such procedures stated by a law in force ,(b) such procedures as agreed to by the parties ,"(c) in the absence of both, the rules framed by the government. ",(d) All of the above,D
7. Pick the correct one ,(a) There is no statute that prescribes RSPP. ,"(b) If parties agree on the RSPP to be adopted, the rules of the government would not apply. ",(c) Both A&B ,(d) None of the given,C
"8. Which of the following Section of IT Act provides for criminal punishment if, in the course of performing a contract, a service provider discloses personal information without the consent of the person concerned or in breach of a lawful contract and he or she does so with the intention to cause, or knowing he or she is likely to cause, wrongful loss or wrongful gain? ",(a) Section 72 ,(b) Section 72A ,(c) Section 43A ,(d) Section 43,B
9. Which of the following Section of IT Act prescribes criminal punishment if a government official discloses records and information accessed by him or her in the course of his or her duties without the consent of the concerned person or unless permitted by other laws? ,(a) Section 72 ,(b) Section 72A ,(c) Section 43A ,(d) Section 43,A
10. Which authority is responsible for overseeing the data protection law? ,(a) There is no specific data protection authority in India. ,(b) The IT Act provides for an adjudicating officer to be appointed to adjudicate whether a person has contravened the IT Act or its rules where the claim of injury or damages does not exceed 50 million rupees. ,"(c) If the claim exceeds 50 million rupees, the adjudicating authority would be the civil court",(d) All of the above,D
11. Who has been appointed as the Adjudicating Officer? ,(a) The Secretary to the Ministry of Information Technology in each state government ,(b) The Secretary to the Ministry of Law ,(c) The Registrar of the Supreme Court and High Courts of India ,(d) All of the above,A
12. The adjudicating officer ,(a) does not have power of a Civil Courts ,(b) has all powers of a Civil Court. ,(c) has all powers of a High Court. ,(d) Both B&C,B
13. Data protection authority in India is ,(a) Secretary to Ministry of Information and Technology ,(b) Court of Law ,(c) Both A&B ,(d) There is no data protection authority in India.,D
"14. Section 43A of IT Acts provides for compensation, if a breach results in a wrongful gain or wrongful loss that should not exceed ",(a) Rs. 5 lakh ,(b) Rs. 10 lakh ,(c) Rs. 50 lakh ,(d) does not prescribe the maximum compensation,D
"15. Under section 72, the punishment is ",(a) imprisonment of up to three years ,"(b) a fine of up to 100,000 rupees ",(c) either A or B or both ,(d) None of the given,B
"16. Under section 72A, the punishment is ",(a) imprisonment of up to three years ,"(b) a fine of up to 100,000 rupees ",(c) either A or B or both ,(d) None of the given,A
17. Pick the correct one ,"(a) The provisions under the IT Act apply to all sectors, though laws specific to particular sectors would apply concurrently. ",(b) Section 43A covers all types of organisations. Section 72 relates only to a government officer. ,(c) Section 72A relates to a body corporate and the rules issued thereunder exclude government from the meaning of body corporate. ,(d) All of the above,A
"18. State whether true of False The data protection law does not cover interception of communications, electronic marketing or monitoring and surveillance of individuals ",(a) True ,(b) False,,,B
19. Which of the following does not permit the government to engage in surveillance based on certain criteria? ,(a) the Indian Telegraph Act 1885 ,(b) the Information Technology Act 2000 ,"(c) Official Secret Act, 1955 ",(d) None of the given,C
"20. Pick the criteria on which allows the government to engage in surveillance? i. in the interests of the sovereignty and integrity of India ii. security of the state iii. friendly relations with foreign states, iv. public order v. prevention of incitement of the commission of an offence ","(a) i, ii, iv and v ","(b) ii, iii, iv and v ","(c) i, ii, iii and iv ",(d) All of the above,D
21. All surveillance has to be approved except ,(a) in writing by the Home Secretary of the central government ,(b) in writing by the Home Secretary the relevant state government ,(c) Court of law ,(d) None of the given,C
22. Which section of IT Act 2000 covers personal information? ,(a) 72A ,(b) 72 ,(c) 43 ,(d) 43A,A
23. Which section of IT Act 2000 covers SPDI? ,(a) 72A ,(b) 72 ,(c) 43A ,(d) 43,C
24. Personal information means information that relates to a ,(a) natural person ,(b) Artificial person ,(c) Juridical person ,(d) All of the above,A
"25. SPDI covers the i. passwords ii. financial information such as bank account or credit card or debit card or other payment instrument details iii. physical, physiological and mental health conditions iv. sexual orientation; medical records and history v. biometric information. ","(a) I, ii, iii and iv ","(b) i, iii, iv and v ","(c) ii, iii, iv and v ",(d) All of the above,D
26. Pick the incorrect one ,"(a) The laws on Personal Information does not distinguish personal information on the basis of the format of the information, such as electronic as opposed to physical records. ",(b) The laws on SPDI are also applicable to SPDI in electronic as well as physical form. ,(c) Both A&B ,(d) None of the given,B
27. Pick the correct one ,(a) reach of the law restricted to only to a body corporate or person located within India. ,(b) Data processing as a result of a contract between two entities is not covered by the privacy rules ,(c) The law does allow transfer of SPDI out of India only if the recipient ensures the same level of data protection. ,(d) All of the above,D
28. Pick the correct one ,(a) SPDI cannot be collected unless the information is collected for a lawful purpose connected with a function or activity of the party collecting or using the information and the collection of the SPDI is considered necessary for that purpose. ,(b) There are also notice and consent requirements. ,(c) Both A&B ,(d) None of the given,C
"29. While collecting SPDI, the provider must be made aware through reasonable steps of the ",(a) the fact that the information is being collected and the purpose for which it is collected ,(b) the intended recipients of the information ,(c) the name and address of the agency collecting or retaining the information.,(d) All of the above,D
30. Privacy rules ,(a) do apply to the government ,(b) do not apply to the government ,(c) application varies case to case ,(d) do apply to the government partially.,B
31. State whether true or false The privacy rules offer individuals certain degree of choice or control over the use of their information. ,(a) True ,(b) False,,,B
32. Privacy rules ,(a) specify that the SPDI cannot be retained for longer than is required for the purpose for which the information can lawfully be used or is otherwise required under any other law currently in force. ,(b) specify that the SPDI can be retained for longer than is required for the purpose for which the information can lawfully be used or is otherwise required under any other law currently in force ,(c) specify that the SPDI can or cannot be retained for longer than is required for the purpose for which the information can lawfully be used or is otherwise required under any other law currently in force depending upon purpose ,(d) do not specify any thing with regard to retention of the SPDI,A
33. Pick the correct one ,"(a) The privacy rules merely suggest that IS/ISO/IEC 27001 or a code prescribed by an industry association and approved by the government could be used. So far, no code has been approved by the government. ","(b) The banking regulations require banks to follow ISO/IEC 27001 and ISO/IEC 27002. Similarly, the securities exchange regulations require stock exchanges, depositories and clearing corporations to follow standards such as ISO 27001, ISO 27002, COBIT 5, etc. ",(c) Both A&B ,(d) None of the above,C
