1. MRP stands for ,(a) Management Reaction Planning ,(b) Materials Requirements Planning ,(c) Master Resources Production ,(d) Manufacturing Resource Planning,B, 
2. Closed Loop MRP means ,(a) Capacity and resource planning is included in the MRP logic ,(b) Actual inventory is counted regularly and adjustment made to the inventory records. ,(c) Unused materials are returned to stores and recorded back into the system ,(d) Actual sales are netted off the forecasts in the MPS,A, 
3. Balance flow ,(a) True ,(b) False,,,A, 
"4. An hour saved is an hour saved, no matter where in the process ",(a) True ,(b) False,,,B, 
5. Capacity governs both throughput and inventory in the system ,(a) True ,(b) False,,,B, 
6. This is a finite capacity plan because it operates within certain constraints ,(a) Capacity requirements plans (CRPs) ,(b) Rough-cut capacity plans (RCCPs) ,(c) Resource requirements plans (RRPs),,B, 
7. This projects the variable effect on the loading of particular machines or individual workers ,(a) Capacity requirements plans (CRPs) ,(b) Rough-cut capacity plans (RCCPs) ,(c) Resource requirements plans (RRPs),,A, 
8. This assumes an almost infinite ability to step up production if demand warrants it ,(a) Capacity requirements plans (CRPs) ,(b) Rough-cut capacity plans (RCCPs) ,(c) Resource requirements plans (RRPs),,C, 
"9. This structure is typical of operations that have a small number of raw materials and a relatively standard process, but which produce a very wide range of highly customised end products. It is known as ",(a) 'V' shape product structure ,(b) ‘A' shape product structure ,(c) 'X’ shape product structure ,(d) 'T' shape product structure,D, 
10. This structure is used where manufacturers have standardised their designs to consist of a small number of standard modules. It is known as ,(a) 'V' shape product structure ,(b) ‘A' shape product structure ,(c) 'X’ shape product structure ,(d) 'T' shape product structure,C, 
11. This structure is typical of operations that have only one finished product into which a greater number of components go. It is known as ,(a) 'V' shape product structure ,(b) ‘A' shape product structure ,(c) 'X’ shape product structure ,(d) 'T' shape product structure,B, 
12. This structure is typical of operations that have a small number of raw materials to create a wide range of products and by-products dependent on slight changes of mix of the input materials. It is known as ,(a) 'V' shape product structure ,(b) ‘A' shape product structure ,(c) 'X’ shape product structure ,(d) 'T' shape product structure,A, 
13. What does ERP stand for ,(a) Expanse resource project ,(b) Enterprise research planning ,(c) Enterprise resource planning ,(d) Expanse research project,C, 
