1. When IT Act 2000 came into effect?  ,(a) 2000 October 17 ,(b) 2001 October 17 ,(c) 2000 November 11 ,(d) 2001 November 11  ,A
 2. How many schedules are there in IT Act 2000?  ,(a) 3 ,(b) 4 ,(c) 6 ,(d) 2  ,B
 3. Which is the Act which provides legal framework for e-Governance in India  ,(a) IT (amendment) Act 2008 ,(b) Indian Penal Code ,(c) IT Act 2000 ,(d) None of the above  ,C
 4. Which section of IT Act deals with the legal recognition of electronic records?  ,(a) Section 2 ,(b) Section 5 ,(c) Section 6 ,(d) Section 4  ,D
 5. Which section of IT Act deals with the appointment of Controller of certifying authorities   ,(a) Section 17 ,(b) Section 15 ,(c) Section 10 ,(d) Section 5  ,A
 6. Which section of IT Act deals with Hacking of computer systems and its penalties?  ,(a) Section 65 ,(b) Section 66 ,(c) Section 62 ,(d) Section 67  ,B
 7. Which section of IT Act deals with Cyber terrorism?  ,(a) Section 66C ,(b) Section 66B ,(c) Section 66F ,(d) Section 66A  ,C
 8. Which section of IT Act was invalidated by Supreme Court of India  ,(a) Section 66F ,(b) Section 66B ,(c) Section 66D ,(d) Section 66A  ,D
 9. The date on which Supreme Court of India invalidated Section 66A of IT Act 2000:  ,(a) 24.03.2015 ,(b) 31.03.2015 ,(c) 01.01.2015 ,(d) 01.06.2015  ,A
" 10. What is the maximum penalty for damage to Computer, Computer systems, unauthorized access, download of data, infecting with virus, denial of access etc as per Section 43  ",(a) Rs. 50 lakh ,(b) Rs.1 crore ,(c) Rs. 5 crore ,"(d) Rs,75 lakh",B
" 11. Major amendments to IT Act 2000 was introduced in the form of IT amendment) Act 2008, which came into effect on  ",(a) 2009 October 27 ,(b) 2008 October 27 ,(c) 2008 June 1 ,(d) 2009 July 3  ,A
 12. IT Act 2000 amended various sections of which of the following Acts  ,(a) Indian Penal Code 1860 ,(b) Indian Evidence Act 1872 & Bankers Book Evidence Act 1891 ,(c) Reserve Bank of India Act 1934 ,(d) All the above  ,D
" 13. What is the penalty for publishing images of a person's private parts without consent, as per IT Act 2000?  ",(a) Life imprisonment ,(b) 5 years imprisonment or 5 lakh rupees penalty or both ,(c) 3 years imprisonment or 2 lakh rupees penalty or both ,(d) None of the above  ,C
 14. Which section of IT Act deals with Child pornography  ,(a) Section 67D ,(b) Section 67F ,(c) Section 67C ,(d) Section 67B  ,D
 15. The following punishment is mentioned in which section of IT Act 2000  '3 years of imprisonment and/or 5 lakh repees penalty for first conviction & 5 years of imprisonment and/or 10 lakh rupees penalty for second conviction'  ,(a) Section 67 ,(b) Section 65 ,(c) Section 66 ,(d) Section 64  ,A
 16. Which are the sections of IT Act applicable for Cyber pornography?  ,"(a) 66, 66A, 66B ","(b) 67, 67A, 67B ","(c) 67, 67C, 67D ",(d) None of the above  ,B
 17. Which are the section of the IT Act deals with Credit card fraud?  ,"(a) 66, 66C, 66D ","(b) 42,  67, 67A, 67B ","(c) 43, 66, 66C, 66D ",(d) None of the above  ,C
 18. Which Act in India focuses on data privacy and information technology  ,(a) IT Act 2000 ,(b) Banking Regulation Act 1949 ,(c) Indian Penal Code ,(d) IT (amendment) Act 2008  ,D
 19.Which section of IT Act 2000 deals with the punishment for cheating by impersonation by using computer resources?  ,(a) Section 66D ,(b) Section 66C ,(c) Section 66F ,(d) Section 66B  ,A
 20. What is the time limit for filing appeal against the order of Cyber appellate tribunal?  ,(a) 30 days ,(b) 60 days ,(c) 45 days ,(d) 90 days,B
 21. What is the punishment for hacking of computers  ,(a) Life Imprisonment ,(b) Three year imprisonment or 10 lakh rupees penalty or both ,(c) Three year imprisonment or 5 lakh rupees penalty or both ,(d) Three year imprisonment or 2 lakh rupees penalty or both,C
 22. What is the penalty for destroying computer source code  ,(a) Three year imprisonment or 5 lakh rupees penalty or both ,(b) Three year imprisonment or 3 lakh rupees penalty or both ,(c) Two year imprisonment or 2 lakh rupees penalty or both ,(d) Three year imprisonment or 2 lakh rupees penalty or both,D
 23. Which section of IT Act 2000 propose a punishment of life imprisonment  ,(a) Section 66F ,(b) Section 66A ,(c) Section 66C ,(d) Section 66B,A
 24. What is the proposed punishment for Cyber Terrorism in IT Act  ,(a) I crore rupees penalty ,(b) Life Imprisonment ,(c) 6 year imprisonment ,(d) 10 year imprisonment,B
 25. What is the punishment for identity theft in IT Act  ,(a) Three year imprisonment or 2 lakh rupees penalty or both ,(b) Two year imprisonment or 1 lakh rupees penalty or both ,(c) Three year imprisonment or 1 lakh rupees penalty or both ,(d) None of the above,C
 26. Which is the appeal court on the orders issued by Cyber appellate tribunal? ,(a) Supreme Court ,(b) District Court ,(c) High Court ,(d) Munsiff Court,C
