"1. The controls that provide assurance that all transactions are valid, authorised, complete and recorded are ",(a) General Controls ,(b) Application Controls ,(c) Utility Controls ,(d) All of the above,B,
2. Application controls are ,(a) general to computer system and does not have a direct impact on the processing of an individual transactions ,(b) particular to an application and but does not have a direct impact on the processing of individual transactions ,(c) general to computer system and have a direct impact on the processing of an individual transactions ,(d) particular to an application and have a direct impact on the processing of individual transactions,D,
"3. Before getting on to evaluation of application controls, it will be necessary for an IT auditor to secure a reasonable understanding of the system by preparing a brief including the following i. indicating the major transactions ii. describing the transaction flow and main output iii. list of the IT personnel given with logical access to application iv. indicating the major data files maintained ","(a) i, ii and iv ","(b) i, ii and iii ","(c) ii, iii and iv ",(d) All of the above,A,In addition it should provide approximate figures for transaction volumes
4. Application controls may be divided into i. Start-up controls ii. Processing controls iii. Finish controls iv. Master/Standing Data File controls ,(a) iii and iv ,(b) i and iii ,(c) ii and iv ,(d) All of the above,C,Application controls are categorised into (i) Input controls (ii) Processing controls (iii) Output controls (iv) Master/Standing Data File controls
"5. The objective of Input control is to ensure that the procedures and controls reasonably guarantee that i. the data received for processing are genuine, complete, not previously processed, accurate and properly authorised ii. data are entered accurately and without duplication. iii. data are entered timely and punctually. iv. data entered are duly filtered by IT Steering Committee ",(a) i and ii ,(b) iii and iv ,"(c) i, ii and iii ",(d) All of the above,A,
6. Weak input control may increase the risk of i. entry of unauthorised data ii. data entered in to the application may be irrelevant iii. complete data entry iv. entry of duplicate/redundant data. ,"(a) ii, iii and iv ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above,C,It will be incomplete and not complete data entry.
"7. While evaluating the input control mechanism, the IT auditor should ensure that i. all prime input, including changes to standing data, is appropriately authorised. ii. for on-line systems, the ability to enter data from a terminal is adequately restricted and controlled. iii. if there is a method to prevent and detect duplicate processing of a source document. iv. all authorised input has been submitted or, in an on-line system transmitted and there are procedures for ensuring correction and resubmission of rejected data. ","(a) i, ii and iv ","(b) ii, iii and iv ","(c) i, ii and iii ",(d) All of the above,D,
8. To place reliance on the automated controls the IT auditor would need to determine that the appropriate levels of authority have been set up and that they have been working for the whole accounting period / transaction cycle. This would involve except ,(a) looking at access matrices ,(b) obtaining printout of user permissions ,(c) reviewing audit logs of changes in permissions ,(d) reviewing the output data to determine the genuineness of input data,D,
9. The control mechanism to ensure completeness of input data are i. manual procedures ii. the use of pre-numbered data input forms iii. use of batch totals iv establishing a routine tour to user department to verify the records ,(a) All of the above ,"(b) i, ii and iii ","(c) ii, iii and iv ","(d) i, iii and iv",B,"establishing a routine or expectation of data input e.g. if data entry staff expect to receive input documents from all 10 departments on a particular day and they only receive 9 sets, they would chase up the missing set of input documents."
10. A collection of input documents which are treated as one group is called ,(a) Block ,(b) Batch ,(c) Class ,(d) Bunch,B,
"11. Statement I- Where it is possible to by-pass input control mechanism by entering or altering data from outside the application, there should be automatic application integrity checks which would detect and report on any external changes to data Statement II-The results of the installation review should be reviewed to ensure that the use of system amendment facilities, such as editors, is properly controlled ",(a) Only Statement I is correct ,(b) Only Statement II is correct ,(c) Both Statement I and II are correct ,(d) Neither Statement I nor Statement II is correct,C,
"12. Pick the correct ones i. IT applications may have in-built controls which automatically check that data input is accurate and valid Validation may also be achieved by manual procedures such as double checking input documents or review by a supervisor. ii. The accuracy of data input to a system cannot be controlled by imposing a number of computerised validity checks on the data presented to the system iii. Automated validation checks should be sufficient to ensure that all data accepted into the system is capable of acceptance by all subsequent processes, including acceptance into other systems where there is an automatic transfer of data iv. Validation checks can reduce the risk of an application crashing because of logic errors arising when attempting to process input data with values outside pre-defined limits ","(a) i, iii and iv ","(b) ii, iii and iv ","(c) i, ii and iv ",(d) All of the above,A,The accuracy of data input to a system can be controlled by imposing a number of computerised validity checks on the data presented to the system.
"13. Format checks, validity checks, range checks, limit checks, check digits, compatibility checks, etc. are some of programmed application controls pertaining to ",(a) Authorisation of input data ,(b) Completeness of data input ,(c) validation of input data ,(d) Matching of input data,C,
14. Exception Report is ,(a) a computer report when one transaction record against data contained in another related transaction is mismatched. ,(b) a manual report when one transaction record against data contained in another related transaction is mismatched. ,(c) a computer report when one transaction record against data contained in another related transaction is matched. ,(d) a manual report when one transaction record against data contained in another related transaction is matched,A,
"15. While checking the rejected input, the IT auditor should ensure i. that all data rejected will be subsequently corrected, re-input to and accepted by the system. ii. that whether individual transactions or complete batches should be rejected will be determined by IT auditor during the course of the audit. iii. that placing of rejected items in suspense is in existence as it overcomes the possibility of rejected items being lost iv. Where items are held in suspense the auditor should review the procedures for identifying, correcting and clearing these transactions. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above,B,It is system rules and not the auditor will determine whether individual transactions or complete batches should be rejected
"16. Processing controls ensure complete and accurate processing of input and generated data. This objective is achieved by providing controls for i. adequately validating input and generated data, ii. processing correct files iii. detecting and rejecting errors during processing and thrashing them iv. proper transfer of data from one processing stage to another ","(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above,C,detecting and rejecting errors during processing and referring them back to the originators for re-processing and not thrashing them.; There should checking control totals (established prior to processing) during or after processing
17. The objectives for processing controls are to ensure that i. transaction’s processing is accurate ii. Transaction’s processing is complete iii. transactions are unique (no duplicates) iv. all transactions are valid and the computer processes are auditable. ,"(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above,D,
