1. The term ICT stands for ,(a) Information and Computer Technology ,(b) International Communication Technology ,(c) International Communication Technology ,(d) Information and Communication Technology,D,ICT is the core of e-Governance and clouding.,
2. IT Audit is a process of collecting and evaluating evidence to determine whether a computer system has been designed to ,(a) maintain data integrity ,(b) safeguard assets ,(c) allows organisational goals to be achieved effectively and uses resources efficiently ,(d) All of the above,D,,
"3. While evaluating the effectiveness of any system, IT auditors must know i. his/her professional acquaintance ii. the characteristics of users of the information system iii. the decision making environment in the auditee organisation iv. target group of the computer system ",(a) i and ii ,(b) ii and iii ,(c) ii and iv ,(d) All of the above,B,,
4. Pick the incorrect one regarding ,"(a) Use of computer facilities has brought about radically different ways of processing, recording and controlling information and has combined many previously separated functions. ",(b) The potential for material systems error has thereby been greatly decreased resulting into saving great costs ,(c) Increasing use of computers for processing organisational data has added new scope to the review and evaluation of internal controls for audit purposes ,"(d) IT auditors need to evaluate the adequacy of internal controls in computer systems to mitigate the risk of loss due to errors, fraud and other acts and disasters or incidents that cause the system to be unavailable",B,Potential for material error has been increased and resulting in costing more.,
5. Management’s goals and objectives in utilising technology to support business processes include i. Confidentiality ii. Integrity iii. Applicability iv. Reliability ,"(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above,C,5 goals and objectives are-1.Confidentiality 2. Integrity 3. Availability 4. Reliability and 5. Compliance,
6. The protection of sensitive information from unauthorised disclosure is known ,(a) Confidentiality ,(b) Reliability ,(c) Integrity ,(d) Compliance,A,"Reliability refers to the degree of consistency of a system or the ability of a system (or component) to perform its required function under stated conditions; Integrity refers to ‘the accuracy and completeness of information as well as to its validity in accordance with business values and expectations; Availability relates to information being available when required by the business process now and in the future; Compliance deals with complying with those laws, regulations and contractual obligations to which the business process is subject, that is, externally imposed business criteria",
7. Stringent controls over access to the computer system depends upon ,(a) level of sensitivity to the data ,(b) level of integrity of the data ,(c) both a&b ,(d) None of the given,A,Integrity refers to ‘the accuracy and completeness of information as well as to its validity in accordance with business values and expectations,
"8. Pick the correct one i. Integrity refers to ‘the accuracy and completeness of information as well as to its validity in accordance with business values and expectations ii. Availability relates to information being available when required by the business process now and in the future iii. Reliability refers to the degree of consistency of a system or the ability of a system (or component) to perform its required function under stated condition iv. Compliance deals with complying with those laws, regulations and contractual obligations to which the business process is subject, that is, externally imposed business criteria. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D,,
9. There is a potential risk that the organisation could incur penalties should ,(a) confidentiality of data not protected ,(b) integrity of data not observed ,(c) legal and regulatory procedures not be enforced. ,(d) in all the cases stated above.,C,,
10. A framework for all audits and auditors and define the mandatory requirements of the audit is provided by the ,(a) professional standards ,(b) auditors professional knowledge ,(c) legal and professional mandate ,(d) computer system,A,,
"11. Pick the correct one i. The professional standards are a broad statement of auditors’ responsibilities and ensure that auditors have the competence, integrity, objectivity and independence in planning, conducting and reporting on their work. ii. The guidelines supporting the professional standards assist the auditor to apply the standards and provide examples that an IT Auditor might follow to meet these standards. Iii. In addition to IT auditing standards, IT auditors need to be alert to other laws, regulations, or other authoritative sources that may impact upon the conduct of an IT audit iv. When determining the scope of issues to be addressed in any review of computer related controls, IT auditors should consider issues of electronic data confidentiality, integrity, availability and reliability ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,C,"IT auditors need to be alert to other laws, regulations, or other authoritative sources that may impact upon the conduct of an IT audit.",
12. In the context of IT Audit CIS stands for ,(a) Centralised Information System ,(b) Central Information System ,(c) Computerised Information system ,(d) Computerised Inquiry System,B,,
