1. What is “Trend Micro”? ,(a) It is anti-virus software ,(b) It is just a program ,(c) It is virus program ,(d) None of the above PC-3 Threats and Viruses,A,,,
2. What is the name of the viruses that fool a user into downloading and/or executing them by pretending to be useful applications? ,(a) Cracker ,(b) Worm ,(c) Trojan horses ,(d) Keylogger,C,,,
3. The virus that spread in application software is called as ,(a) Boot virus ,(b) Macro virus ,(c) File virus ,(d) Anti virus,B,,,
4. How does a Le-Hard virus come into existence? ,(a) Hardware ,(b) Software ,(c) FRIDAY 13 ,(d) Command.Com,D,,,
5. What is the virus that spread in computer? ,(a) It is hardware ,(b) It is system software ,(c) It is a computer program ,(d) It is a windows tool,C,,,
6. What kind of attempts is made by individuals to obtain confidential information from a person by falsifying their identity? ,(a) Computer viruses ,(b) Spyware scams ,(c) Phishing scams ,(d) None of the above,C,,,
7. When does the time bomb occur? ,(a) During a particular logic and data ,(b) During a particular time ,(c) During a particular data or time ,(d) None of the above,A,,,
8. Delayed payload of some viruses is also called as ,(a) Time ,(b) Bomb ,(c) Anti-virus ,(d) None of the above,B,,,
9. What is the first boot sector virus? ,(a) Brain ,(b) Mind ,(c) ELK cloner ,(d) None of the above.,A,,,
10. What is the name of first computer virus? ,(a) The Famous ,(b) HARLIE ,(c) PARAM ,(d) Creeper,D,,,
11. The difference between a virus and a self-replicating program which is like a virus is that rather than creating copies of itself on only one system it propagate through computer network. What is the self-replicating program called? ,(a) Keylogger ,(b) Cracker ,(c) Worm ,(d) All of the above,C,,,
12. What is anti-virus? ,(a) It is a computer ,(b) It is a program code ,(c) It is a company name ,(d) It is an application,B,,,
"13. Which of the following is a type of program that either pretends to have, or is described as having, a set of useful or desirable features but actually contains damaging code. ",(a) Trojans ,(b) Viruses ,(c) Worm ,(d) Adware E. Bots,A,,,
14. Which of the following is the type of software that has self-replicating software that causes damage to files and system? ,(a) Viruses ,(b) Trojan horses ,(c) Bots ,(d) Worms E. Backdoors,D,,,
15. Which of the following is a program capable of continually replicating with little or no user intervention? ,(a) Virus ,(b) Trojan horses ,(c) Rootkit ,(d) Worms E. Bots,A,,,
"16. Which of the following is a software that, once installed on your computer, tracks your internet browsing habits and sends you popups containing advertisements related to the sites and topics you’ve visited? ",(a) Backdoors ,(b) Adware ,(c) Malware ,(d) Bots E. Spyware,B,,,
"17. What is the software called that’s designed to exploit a computer user and is a broad term covering computer viruses, worms, Trojan, adware, etc.? ",(a) Backdoors ,(b) Key-logger ,(c) Malware ,(d) Bots E. Spyware,C,,,
18. What is the software called which when get downloaded on computer scans your hard drive for personal information and your internet browsing habits? ,(a) Backdoors ,(b) Key-logger ,(c) Malware ,(d) Antiware E. Spyware,E,,,
19. are computer programs that are designed by attackers to gain root or administrative access to your computer. ,(a) Backdoors ,(b) Rootkits ,(c) Malware ,(d) Antiware E. Spyware,B,,,
20. The attack that focuses on capturing small packets from the network transmitted by other computers and reading the data content in search of any type of information is ,(a) Phishing ,(b) Eavesdropping ,(c) Scams ,(d) Exploits E. Denial of service,B,,,
"21. is the action of recording the keys struck on a keyboard, typically covertly, so that the person using the keyboard is unaware that their actions are being monitored. ",(a) Denial of service ,(b) Exploits ,(c) Scams ,(d) Keylogging E. Spamming,D,,,
"22. is the part of malware such as worms or viruses which performs the malicious action; deleting data, sending spam or encrypting data. ",(a) Denial of service ,(b) Exploits ,(c) Scams ,(d) Payload E. Spamming,D,,,
23. Which virus infects program files like having an .EXE extensions? ,(a) Boot Virus ,(b) Trojan Horse ,(c) Program Virus ,(d) Malware,C,,,
24. When virus attacks the computer applications runs normal? ,(a) True ,(b) False,,,B,,,
25. Which program spreads itself by means of network? ,(a) Worms ,(b) Trojan Horse ,(c) Spyware ,(d) Spybots,A,,,
26. What is another name of Tracking Software? ,(a) Spybots ,(b) Spyware ,(c) None of them ,(d) Both i & ii,D,,,
27. Which virus is actually programmed to pass the user's data to someone else? ,(a) Worms ,(b) Trojan Horse ,(c) Spyware ,(d) Spybots,B,,,
28. The database of viruses that antivirus software scans for ,(a) Computer virus ,(b) Virus Definitions ,(c) Program virus ,(d) None of them,B,,,
29. Which type of a virus infects data files? ,(a) Macro Virus ,(b) Program Virus ,(c) Boot Virus ,(d) Spam,A,,,
30. Virus cannot infect files that are saved in ,(a) USB ,(b) CD-ROMs ,(c) Memory card ,(d) All of them,D,,,
"31. Which refers to unsolicited, unwanted mail? ",(a) Spybot ,(b) Spam ,(c) Drafts ,(d) Inbox,B,,,
