1. There shall be a Governor for each State in terms of ,(a) Article 153 ,(b) Article 152 ,(c) Article 154,(d) Article 156,A,,,
"2. If a Governor is of the opinion that the Anglo-Indian Community needs representation in the Assembly, he has ",(a) the power to nominate one member from the Anglo-Indian Community ,(b) the power to nominate two members from the Anglo-Indian Community ,(c) the power to nominate three members from the Anglo-Indian Community,(d) no power to nominate any member from the Anglo-Indian Community,A,,,
3. Governor has the power to nominate ,(a) one / sixth of the members of the Legislative Council of State. ,(b) one / twelfth of the members of the Legislative Council of State. ,(c) one / third of the members of the Legislative Council of State.,(d) one / fourth of the members of the Legislative Council of State.,B,,,
4. Which part of Indian Constitution deals with Union and its territory? ,(a) Part I ,(b) Part XX ,(c) Part XXII,(d) Part II,A,,,
5. Forms of Oaths or Affirmations have been given there in ,(a) Schedule I ,(b) Schedule II ,(c) Schedule III,(d) Schedule IV,C,,,
"6. A public work divisions has spent Rs. 50 lakh on construction of a road, the audit of the same will be conducted in accordance with the provision given there in ",(a) Section 16 of the DPC Act ,(b) Section 14 of the DPC Act ,(c) Section 15 of the DPC Act,(d) Section 13 of the DPC Act,D,,,
7. The Article of the Indian Constitution that deals with the All India Service is ,(a) Article 311 ,(b) Article 312 ,(c) Article 312,(d) Article 309,B,,,
"8. If the Appropriation Bill seeking authorization of the Parliament to make expenditure in consonance with the Budget proposal is likely to be passed after the start of the financial year to which it corresponds then pending the completion of the procedure prescribed in Article 113 of the Constitution for the passing of the Budget, to cover expenditure for a brief period the Finance Ministry may need to obtain a ",(a) Vote on Credit ,(b) Vote on Demand ,(c) Vote on Account,(d) Credit on Demand,C,,,
9. Pick the incorrect one ,(a) Article 112-Annual Financial Statement ,(b) Article 113- Procedure in Parliament with respect to estimates. ,(c) Article 114- Appropriation Bill,"(d) Article 115- Votes on account, votes of credit and exceptional grants.",D,,,
10. The audit office shall as far as possible give advance intimation to the officer in charge of the office to be audited ,(a) of a minimum period of two weeks ,(b) of a minimum period of three weeks ,(c) of a minimum period of one week,(d) of a minimum period of four weeks,B,,,
11. Pick the incorrect one regarding Languages in context of Indian Constitution ,(a) The Official languages are mentioned in the 8th Schedule and Part XVIII of the Constitution. ,(b) In the original constitution only 14 languages were mentioned. ,(c) At present the number of languages mentioned in the 8th schedule is 22.,(d) Sindhi was the 15th language added through 21st amendment in the year 1971.,A,,,
12. The last four languages were added to the official languages through 92nd amendment in 2003 except ,(a) Santhali ,(b) Maithali ,(c) Bodo,(d) Bhojpuri,D,,,
13. Pick the incorrect one ,(a) Second Schedule- Provisions as to the President and the Governors of States. ,(b) Fourth Schedule- Allocation of seats in the Council of States. ,"(c) Sixth Schedule-Union List, State List and Concurrent List",(d) None of the given,C,,,
14. The Representation of the People Act (1951) provided that the term of office of a member of the Rajya Sabha shall be ,(a) three years ,(b) six years. ,(c) four years,(d) five years,B,,,
15. The audit office shall as far as possible issue the inspection report or audit notes within ,(a) four weeks from the date of completion of audit ,(b) six weeks from the date of completion of audit ,(c) three weeks from the date of completion of audit,(d) eight weeks from the date of completion of audit,B,,,
16. The CAG shall hold the office for a term of ,(a) 5 years or 65 years of age whichever is earlier ,(b) 5 years or 67 years of age whichever is earlier ,(c) 6 years or 65 years of age whichever is earlier,(d) 6 years or 67 years of age whichever is earlier,C,,,
17. The CAG may resign from his office by writing under his hand to the ,(a) Central Government ,(b) President ,(c) the Chief Justice of India,(d) Deputy CAG,B,,,
18. The CAG is entitled to salary and pension amounting ,(a) ? 200000 and ? 100000 respectively ,(b) ? 250000 and ? 125000 respectively ,(c) ? 180000 and ? 90000 respectively,(d) ? 90000 and ? 45000 respectively,B,,,
19. The Accounts and Entitlement functions and the Audit functions are discharged by separate Accountants General w.e.f ,(a) 1st March 1984 ,(b) 1st April 1984 ,(c) 1st April 1982,(d) 1st March 1983,A,,,
20. The C&AG’s (D.P.C.S.) Act was passed by Parliament in 1971 to regulate the duties powers and conditions of service of the C&AG of India under Articles ,(a) 148 to 152 ,(b) 148 to 151 ,(c) 148 (3) and 149 ,(d) 148 and 149 (3),C,,,
"21. DPC Act, 1971 came into force effective from ",(a) 1st April 1971 ,(b) 1st April 1972 ,(c) 25th December 1971,(d) 15th December 1971,D,,,
"22. DPC Act, 1971 has been amended ",(a) two time ,(b) three time ,(c) four time,(d) never,C,,,
23. The responsibility of Comptroller and Auditor General in relation to compilation of accounts of the Union and the States has been enshrined in ,(a) Section 8 to 10 of the DPC Act ,(b) Section 12 to 14 of the DPC Act ,(c) Section 10 to 12 of the DPC Act,(d) Section 6 to 8 of the DPC Act,C,,,
"24. CAG has to prepare and submit accounts to the President, Governor of States and Administrators of the UTs having legislative assembly under Section ",(a) Section 8 of the DPC Act ,(b) Section 11 of the DPC Act ,(c) Section 10 of the DPC Act,(d) Section 9 of the DPC Act,B,,,
25. Which Section of the DPC Act deals with compilation of accounts of the Union and the States by the CAG? ,(a) Section 8 of the DPC Act ,(b) Section 11 of the DPC Act ,(c) Section 10 of the DPC Act,(d) Section 9 of the DPC Act,C,,,
26. CAG has to give information and render assistance to the Union and States under Section ,(a) 9 of the DPC Act ,(b) 10 of the DPC Act ,(c) 11 of the DPC Act,(d) 12 of the DPC Act,D,,,
"27. Audit of all the expenditure from Consolidated Fund, Contingency Fund and Public Accounts is governed by which Section of the DPC Act, 1971? ",(a) Section 11 ,(b) Section 13 ,(c) Section 15,(d) Section 16,B,,,
