"01. For transactions on account of supplies made or services rendered by one Government to another, no monetary claims will be resorted to when the claims of the amount do not exceed ",(a) Rs. 1000 ,(b) Rs. 2000 ,(c) Rs. 5000 ,(d) Rs. 10000  ,A,[Rule: 40]
"02. For transactions on account of supplies made or services rendered by one Government to another, no monetary claims will be resorted to for a claim amounting to a prescribed limit will not be applicable to the following except ","(a) claims relating to commercial departments/undertakings of a Government which are required to work to a financial result, for services rendered or supplies made to or by them. ",(b) Between the State Governments inter se ,"(c) Between a State Government and Central Government Department (including Defence, Railways, Postal and Telecommunications Departments besides Civil). ",(d) None of the above  ,D,[Rule: 40]
03. State whether true or false        Services shall not be rendered without being paid for to any foreign Government or non- government body or institution or to a separate fund constituted as such. Any relief in respect of payment for services rendered or supplies made to any outside body or fund should ordinarily be given through remission of dues rather than by a grant-in-aid. ,(a) True ,(b) False  ,,,B,[Rule: 41. Shall be given through Grants-in-aid rather than remission of revenue]
"04. For purposes of inter-departmental payments, the departments of a Government shall be divided into ",(a) Service and Commercial departments ,(b) General and Specific departments ,(c) Government and Non-Government departments ,(d) Central and State departments  ,A,[Rule: 42]
05. A service department shall not make charges against another department for services or supplies which fall within the class of duties for which the former Departments is constituted. Pick the incorrect one amongst the following exceptions to this rule: ,"(a) The Forest Department shall charge any other department for vegetable, animal or mineral products extracted from a forest area. ",(b) No payment shall be made for convict labour in the case of works undertaken by the Public Works Department either for the work which are treated as Jail Works or other Government works. ,"(c) The cost of additional Police Guards supplied to an Irrigation or other project while under construction shall be debited to the project concerned and the Central Industrial Security Force functioning under the Ministry of Home Affairs shall charge any other department for the cost of force provided, on such terms as may be settled in each case. ",(d) The Film Division of the Government of India shall charge any other department for the cost of production of films and other services on such terms as may be settled in each case. ,B,[Rule: 43]
06. The Central Water Commission and the Central Electricity Authority shall charge commercial departments in respect of advice tendered or services rendered except in the following eases except ,(a) Where the advice tendered is based on the data already collected by the Commission or the Authority as part of its normal functions. ,(b) Where the amount of recovery does not exceed Rs. 100/-provided that the work involved is not of a recurring nature. ,(c) Both ,(d) Neither ,C,[Rule: 44 (a) & (b)]
07. The cost of land acquired by a Civil Department on behalf of the Public Works Department shall be debitable in the accounts of the  ,(a) Civil Department concerned ,(b) Public Work Department ,(c) both jointly ,(d) either as decided by the Government in each case ,B,[Rule: Note 1 below 45. Debit to cost of work for which land is taken up]
"08. When land is taken up for two or more service departments conjointly, cost shall be wholly debitable to the ",(a) All the departments equally ,(b) All the departments according to their share ,(c) Department for which the major portion of expenditure was incurred unless there are special orders to the contrary. ,(d) Public Works department ,C,[Rule: Note 1 below 45]
"09. When a special officer is employed for the acquisition of land of any department, the expenditure on pay, allowances etc. of the Special Officer and the establishment and any expenditure on contingencies is debitable to ",(a) the department to which special officer belongs ,(b) that departments as part of the cost of land. ,(c) that departments as work contingent expenditure ,(d) that departments as an office contingent expenditure ,B,[Rule: Note 2 below 45]
"10. When the land is taken by a Civil Officer, not specially employed for the work, only special charges incurred in connection with the acquisition of the land on establishment, contingencies etc. shall be borne by ",(a) the department to which special officer belongs ,(b) that departments as part of the cost of land. ,(c) that departments as work contingent expenditure ,(d) that departments as an office contingent expenditure ,C,[Rule: Note 2 below 45]
