1. All proposals for additions to establishment shall be submitted to sanctioning authority in accordance with the instructions contained in,GFR,R&P Rule,GAR,Delegation of Financial Powers Rules,D,[Rule: 284 (1). Rule 11 of DFPR 1978]
2. Continuation of an existing post based on functional justification beyond the specified duration will be with explicit approval of,Ministry of Finance,concerned Admin. Min/Dept,President,Parliament,A,[Rule: 284 (3)]
3. All proposals for increase in emoluments for an existing post(s) shall be referred for approval to the,Head of the Department,concerned Admin. Min/Deptt,Ministry of Finance,Principal Accounts Officer,C,[Rule: 284 (4)]
"4. The form in which a report of transfer of a Gazetted Government servant is made and signed both by the relieved and relieving Government servants, shall be sent on the same day to the Head of the Department or other Controlling Officers concerned",GFR 18,GFR 14,GFR 20,GFR 16,D,[Rule: 286 (1)]
"5. Every Government servant shall, at the time of the appointment, declare the date of birth by the Christian era with confirmatory documentary. Pick the incorrect confirmatory documentary evidence for the purpose",Matriculation Certificate,Municipal Birth Certificate,Certificate from the recognised school last attended,Certificate from a Gazetted Officer,D,[Rule: 287]
Service Books maintained in the establishment should be verified every year by the, Head of Office,Head of Department,Accounts Officer,Person concerned,A,[Rule: 288 (1)]
7. Pick the incorrect one,The service book of a government servant shall be maintained in duplicate. First copy shall be retained and maintained by the Head of the Office and the second copy should be given to the government servant for safe custody,"the second copy should be given to the existing government servant- within six months of the date on which these rules become effective, if not already given and to new appointees within one month of the date of appointment.",In April each year the Government servant shall handover his copy of the Service Book to his office for up-date.,The office shall update and return it to the Government Servant within thirty days of its receipt.,C,[Rule: 288 (2) & (3). In January and not in April]
"8. In case the Government servants’ copy of Service Book is lost by the government servant, it shall be replaced on payment of a sum of",Rs 100/-.,Rs 1000/-,Rs 200/-,Rs. 500/-,D,[Rule: 288 (4)]
9. The travelling allowance claim shall be submitted from date it becomes due within,30 Days,60 days,90 Days,one year,B,[Rule: 290]
10. State whether true or false: Retired Government servants become eligible for reimbursement of Travelling expenses in respect of travel(s) for appearing in court of law for defending himself only when the judgement relating to his honorable acquittal is pronounced by the court. In such cases the date of pronouncements of the judgement shall be the reference point for submission and reimbursement of his T.A claim.,TRUE,FALSE,,,A,[Rule: 291]
11. The time limit for submission of the claims shall be,In case advance drawn within 30 days and in case advance not drawn within 60 days of the due date.,In case advance drawn within 30 days and in case advance not drawn within 90 days of the due date., In case advance drawn within 60 days and in case advance not drawn within 90 days of the due date.,In case advance drawn within 6 months and in case advance not drawn within one year of the due date.,A,[Rule: 292]
12. A claim for overtime allowance shall fall due for payment on first day of the month following the month to which the overtime allowance relates. The claim shall stand forfeited if not submitted within,30 days of the due date., 60 days of the due date.,90 days of the due date.,120 days of the due date.,B,[Rule: 293]
"13. Withholding an ordinary increment under FR 24 before the date on which it falls due for payment, the period of one year should be counted from the date on which",it falls due,the date on which the Increment Certificate is signed by the competent authority.,the date on which next Financial year ends,the date on which next calendar year ends.,A,[Rule: 294]
"14. Any arrear claim of a Government servant shall be settled by the DDO or Accounts Officer, as the case may be, after usual checks. which is preferred from its becoming due within", 6 months,9 months,1 year,2 years,D,[Rule: 295 (1)]
"15. A claim of a government servant which has been allowed to remain in abeyance for a period exceeding two years, should be investigated by the",Head of the Office,DDO,HOD,PAO Concerned,C,[Rule: 295 (3)]
16. A time barred claim on account of causes and circumstance beyond the control of Government Servant shall be paid with the express sanction of the Government issued with the previous consent of,the Internal Finance Wing of the Ministry or Department concerned.,the Principal Accounts Officer concerned.," the Department of Expenditure, Ministry of Finance",the Chief Controller of Accounts concerned.,A,[Rule: 296 (2)]
