"01. Central Government Account (Receipts and Payments) Rules, 1983 come into force ",(a) 1st January 1983 ,(b) 1st  April 1983 ,(c) 1st June 1983 ,(d) 1st  April 1984  ,C,[Rule: 1]
"02. The custody of the Consolidated Fund of India and the Contingency Fund of India, the payment of moneys into such Funds, the withdrawal of moneys therefrom, the custody of public moneys other than those credited to such Funds received by or on behalf of the Government of India, their payment into the Public Account of India and the withdrawal of moneys from such Account has been mentioned in ",(a) Article 280 (2) ,(b) Article 283 (1) ,(c) Article 284 (1) ,(d) Article 287 (3)  ,B,"[Rule: Preamble of R&P, 1983]"
03. Consolidated Fund of India has been referred to in Constitution under ,(a) 266 (1) ,(b) 266 (2) ,(c) 267 (1) ,(d) 267 (2)  ,A,[Rule: 2 (j)]
04. Contingency Fund of India has been established under the ,"(a) Contingency Fund of India Act, 1949 (49 of 1949) ","(b) Contingency Fund of India Act, 1950 (49 of 1950) ","(c) Contingency Fund of India Act, 1951 (49 of 1951) ","(d) Contingency Fund of India Act, 1952 (49 of 1952)  ",B,[Rule: 2 (k)]
"05. Contingency Fund of India has been established under the Contingency Fund of India Act, 1950 in consistent with the provision of Article ",(a) 266 (1) ,(b) 266 (3) ,(c) 267 (3) ,(d) 267 (1)  ,D,[Rule: 2 (k)]
"06. Responsible for establishing and maintaining a technically sound payment-cum-accounting system in the departmentalized accounts offices and for prescribing the rules for regulating the custody, ayment into and withdrawal of money from the Government Account is ",(a) Chief Accounting Authority ,(b) Accounts Officer ,(c)        CGA ,(d) CAG  ,C,[Rule: 2 (l)]
07. Departmental officer means ,(a) A Gazetted Officer ,(b) Any Government Servant ,(c) An officer who maintains the accounts of Government department ,(d) An officer of the Government authorised to handle Government money  ,D,[Rule: 2 (m)]
08. Public Account of India referred to in ,(a) Article 266 (2) ,(b) Article 266 (3) ,(c) Article 267 (2) ,(d) Article 267 (3)  ,A,[Rule: 2 (p)]
09. Payments relating to certain pensionary benefits of Central Government pensioners are governed by relevant rules ,(a) GAR ,(b) GFR ,(c) Treasury Rules ,(d) Departmental Rules  ,C,"[Rule: Preface to R&P, 1983]"
"10. The system of departmentalization of accounts of all transactions (except payments relating to pensionary benefits) of Central Civil, Ministries and Departments was introduced during ",(a) 1973-74 ,(b) 1974-75 ,(c) 1975-76 ,(d) 1976-77 ,D,"[Rule: Preface to R&P, 1983]"
"11. State whether true or false        The balances in small coin depots, rupee coins, balances in mint and cash balances held in Post Offices or other departmental offices are reckoned as part of the General Cash balance of the Government.  ",(a) True ,(b) False  ,,,B,[Rule: Note below 3 (2)]
"12. Apart from the Officers in charge of Military Treasure Chests, office(s) authorised to perform all or any prescribed part of the duties of a Treasury Officer is/are ",(a) Posts and Telegraphs Department ,(b) Ministry of Railway ,(c) Ministry of Finance ,(d) All of the above  ,A,[Rule: 4]
13. The procedure for the safe custody of moneys in the hands of Government officers shall be regulated by the provisions contained ,(a) GAR ,(b) GFR ,(c) R&P ,(d) Treasury Rules  ,D,[Rule: 5]
14. All moneys received by or tendered to Government officers on account of revenues or receipts or dues of the Government shall be paid in full into the accredited bank for inclusion in Government Account ,(a) same day ,(b) next day ,(c)         next working day ,(d) without undue delay  ,D,[Rule: 6 (1)]
15. Pay-in-slip is to be maintained in Form,(a) GAR 1,(b)GAR 2,(c) GAR 1A,(d)GAR 2A ,A,[Rule: 6 (1)]
16. Moneys received by or tendered to Government officers on account of revenues or receipts or dues of the Government shall not be utilised to meet departmental expenditure under any circumstances. ,(a) True ,(b) False  ,,,B,[Rule: 6 (In certain cases permissible)]
17. The conditions under which Government moneys may be deposited with a bank other than the Reserve Bank or its agent for the purpose of Government transactions shall be decided by the Government in each case after consultation with the ,(a) President ,(b) RBI ,(c)        CAG ,(d) Parliament  ,C,[Rule: 6 (3)]
