01. The provisions contained in the rules in this section do not apply to personal claims such as pay and allowances of Government Servants working in  ,(a) Railways  ,(b) Defence  ,(c) Post & Telegraph  ,(d) All of the above   ,D,[Rule: 63]
02. Bills for monthly pay and fixed allowances of Government servants may be signed at any time not  ,(a) earlier than 3 days before the last working day of the month  ,(b) earlier than 5 days before the last working day of the month  ,(c) earlier than 7 days before the last working day of the month  ,(d) earlier than 10 days before the last working day of the month   ,B,[Rule: 64 (2)]
03. Working day' shall be deemed to be a day on which         ,(a) the office in which the disbursement is to be made is observing normal working business  ,(b) the Accounts/Pay & Accounts office which has issued the salary cheque is observing normal working business  ,(c) the bank is all open for transacting their respective ordinary business  ,(d) all of the above made are observing their normal working business   ,D,[Rule: Explanation below 64 (2)]
04. The monthly salary bills may be signed and presented earlier than 5 days before the last working day of the month where these are to be presented at the offices of the departmental Pay and Accounts Officers and cheque drawing DDOs may be signed well in time to ensure that they reach the concerned office by the  ,(a) 15th  of the month to which the bills relate  ,(b) 18th  of the month to which the bills relate  ,(c) 20th  of the month to which the bills relate  ,(d) 25th  of the month to which the bills relate   ,C,[Rule: Note 1 (a) below 64 (2)]
"05. Where Government servants are posted at localities remote from the station of the concerned DDO also such bills in respect of Government servants who are on tour and payment is required to be made to them at the station where they are on tour, may be presented to the Accounts Officer, or Cheque Drawing DDO as the case may be, not earlier than  ",(a) the 07th of the month to which the pay and allowances relate  ,(b) the 10th of the month to which the pay and allowances relate  ,(c) the 12th of the month to which the pay and allowances relate  ,(d) the 15th of the month to which the pay and allowances relate  ,D,[Rule: Note 1 (b) below 64 (2)]
06. In above case the necessary outstation bank drafts to arrange for the dispatch so as to reach the claimants  ,(a) within the first 5 working days of the next month  ,(b) within the first 7 working days of the next month  ,(c) within the first 10 working days of the next month  ,(d) within the first 15 working days of the next month   ,B,[Rule: Note 1 (b) below 64 (2)]
07. The recovery of licence fee from Government servants of the Central Government in respect of buildings belonging to a State may be made in accordance with such procedure as may be prescribed by  ,(a) the Central Government  ,(b) the State Government concerned  ,(c) Departmental Regulations  ,(d) any of the above.   ,B,[Rule: 72 (3) (i)]
08. Detailed rules or procedure for recovery of licence fee in respect of State Government’s buildings under the administrative control of a Department of the Central Government may be prescribed by  ,(a) Department of the Central Government after consultation with the Accounts Officer   ,(b) the Accounts Officer after consultation with Department of the Central Government  ,(c) State Government  ,(d) State Government after consultation with Department of the Central Government   ,A,[Rule: 72 (3) (ii)]
"09. State whether true or false        In cases where any general pool accommodation is allotted to Officers whose pay and allowances are drawn from other than Central Government's Civil Estimates i.e. Posts and Telegraphs, Railways, Defence or State Governments and other cash paying departments, licence fee recovered is required to be remitted by the respective Accounts Officer to the Directorate of Estates by cheque or draft duly supported by the detailed schedules.  ",(a) True  ,(b) False   ,,,A,[Rule: 72 (6)]
10. Pick the incorrect one  ,(a) Salary to the extent of the first one thousand rupees and two third of the remainder in execution of any decree other than a decree for maintenance is exempted.  ,(b) One third of the salary in execution of any decree for maintenance is exempted.  ,"(c) Provided that where any part of such portion of the salary as is liable to attachment has been under attachment, whether continuously or intermittently, for a total period of twenty-four months, such portion shall be exempt from attachment until the expiry of further period of twenty-four months  ","(d) where such attachment has been made in execution of one and the same decree, shall, after the attachment has continued for a total period of twenty-four months, be finally exempt from attachment in execution of that decree.   ",C,[Rule: Note 1 (i) below 74 (2) (12 months and 24 months)]
11. Pick the incorrect one  ,(a) 'salary' means the total monthly emoluments excluding any allowance declared exempt from attachment under the provisions derived by a person from his employment whether on duty or on leave.  ,(b) Subsistence grant or allowance made to any Government servant while under suspension is exempted from attachment  ,"(c) All kinds of travelling allowances, all kinds of conveyance allowances, all house-rent allowances, Dearness Allowance, Children's education allowance, all amounts paid by way of reimbursement of medical expenses besides are exempted from court attachment.  ","(d) Dearness pay, which, though, is really a part of the dearness allowance and is treated as pay for certain specific purposes only, is not exempted from attachment by order of a Court.   ",D,[Rule: Note 3 below 74 (2)]
12. If an order of attachment against a Government servant is received before a previous order of attachment against the same Government servant has been fully complied with  ,(a) No recovery be effected till the completion of previous one but decree should be retained by the DDO for future action  ,(b) No recovery be effected till the completion of previous one and the decree shall be returned to the court  ,(c) The recovery shall be effected in normal course  ,(d) The recoveries shall be made by the DDO so long as the total amount recoverable is within the maximum limit prescribed.   ,D,[Rule: 74 (1)]
"13. If a new attachment order has the result of the total attachable amount exceeding the maximum limit prescribed, the disbursing officer shall return the new attachment order to the court concerned with a statement showing except  ",(a) particulars of the existing attachment (s)  ,"(b) particulars of the amount (s) withheld and paid up-to-date into the Court (s) concerned,  ",(c) the amount (s) remaining to be recovered  ,(d) the certificate of the Government servant for staying till completion of the previous attachment order   ,D,[Rule: 75 (2)]
"14. Any deductions which may have to be made on account of subscriptions to provident funds recognised by Government, taxes on income payable by the Government servant, dues of co-operative societies and debts due to Government should be made from   ",(a) the gross salary  ,(b) the non-attachable portion of the Government servant's salary  ,(c) either at the discretion of the Head of the Department  ,(d) either at the request of Government Servant concerned.   ,B,[Rule: 76]
15. Pick the correct one  ,"(a) In the case of an attachment order issued by a Court in India against a Government  servant   whose pay and allowances are to be disbursed outside the local limits to which the Code of Civil Procedure, 1908 extends, the drawing and disbursing officer of the Ministry of External Affair will be responsible for drawing the amount recoverable monthly in compliance with the attachment order and remitting them to the Court concerned  ","(b) In cases in which a judgment-debtor does not sign the acquittance roll and intentionally allows his pay to remain undisbursed in order to evade payment on account of an attachment order issued by a Court of law, the head of the office may draw the pay of the judgment-debtor in satisfaction of the attachment order, subject to the prescribed restrictions, and remit the amount to the court concerned.  ",(c) Both are correct  ,(d) Neither is correct    ,B,[Rule: 77 (2) & (3) (DDO of the concerned Min/Dep and not External Affair)]
"16. The cost, if any, of remittance to a Court of money realised under its attachment order shall be  ",(a) borne by the Government servant concerned  ,(c) borne by the Government servant concerned  ,(c) jointly shared by the Department and Government Servant concerned.  ,(d) deducted from the amount realised and the net amount remitted to the Court.   ,D,[Rule: 78]
17. A certificate of fitness shall be furnished in the first pay bill where the competent authority under any rule or order authorises the drawal of pay and allowances of a newly appointed Government servant without a medical certificate for a period not exceeding  ,(a) 2 months  ,(b) 3 months  ,(c)        6 months  ,(d) 12 months   ,A,[Rule: 80]
"18. In cases where a Government servant is on tour and payment has to be made to him at the station where he is on tour, the drawing officer shall remit the amount to him by bank draft at par or Postal Money Order, the charges involved in sending the bank draft by registered post or in remitting the dues by money order shall be  ",(a) borne by the Government Servant  ,(b) charged to office contingencies  ,(c) borne by Government servant if not requested for exemption  ,(d) charged to office contingencies provided a request is made by the Government servant.   ,B,[Rule: Note below 80]
"19. The pay and allowances due in respect of the old post (on account of a re-fixation of pay and allowances) which could not, be drawn at the time of a transfer, may, be drawn  ",(a) DDO of the old post  ,(b) DDO of the new post  ,(c) DDO of the old post on the basis of a Due & Drawn vetted by the DDO of new post  ,(d) DDO of the new post on the basis of a Due & Drawn vetted by the DDO of old post   ,D,[Rule: 83]
