"1. A bill of Rs. 1,000 was dishonoured. Amount of Rs. 15 was paid for noting charges and it was renewed with Rs. 20 as interest. The amount of new bill will be: ",(a) ? 1000 ,(b) ? 1015 ,(c) ? 1025 ,(d) ? 1035,D,Sum of Bill amount+ noting charge + interest shall be debitable to drawee.
"2. A bill was drawn on 10th Jan, 2009 for 3 months. Its due date will be. Emergency Holiday on 13th April, 2006 ","(a) 14th April, 2009 ","(b) 10th April, 2009 ","(c) 11th April, 2009 ","(d) 12th April, 2009",A,In case of emergent next working and in case of pre-declared it will preceding working day
"3. On 1st October, 2008 Y sends a bill amounting ? 1000/- for 2 months to X. X discounted it with his banker @ 6% p.a. The amount of discount will be debited in X’s Books ",(a) ? 60 ,(b) ? 30 ,(c) ? 15 ,(d) ? 10,D,? 1000*6% = 60. For one month 60/12=? 5 so for 2 month 5*2=? 10.
"4. Manoj sold goods to Sanjay for ? 10,000 at 10% trade discount and draws a bill upon Sanjay for the amount due. Sanjay accepted the bill and returned it to Manoj, On due date the bill was dishonoured and Manoj paid ? 40 as nothing charges. In this case Sanjay’s A/c will be debited by: ","(a) ? 10,040 ","(b) ? 9,040 ","(c) ? 9,960 ","(d) ? 9,000",B,10000-10000*10% = ? 9000+40 (noting charges)= ? 9040/-
"5. Ram paid @ 75 paise in a rupee for ? 5,000. In this case Ram’s A/c will be credited by ","(a) ? 3,750 ","(b) ? 1,250 ","(c) ? 5,000 ","(d) ? 6,250",A,5000*.075 = ? 3750/-
"6. According to ---------- “A Bill to Exchange is an instrument in writing, an unconditional order signed by the maker directing to pay a certain sum of money only to or to the order of a certain person or to the bearer to the instrument.” ","(a) Banking Company Act, 1949 ","(b) Indian Negotiable Instruments Act, 1881 ","(c) Indian Companies Act, 1956 ","(d) Indian Partnership Act, 1932",B,
7. The characteristics of Bills of exchange are: ,(a) It should be in writing ,(b) There is an order for the payment in it ,(c) There should be an acceptance of Debtor in it ,(d) All of the above,D,
8. The parties to a Bills of Exchange are: ,(a) Drawer ,(b) Acceptor or Drawee ,(c) Payee ,(d) All of the above,D,
9. Bill of Exchange are useful for ,(a) Increase the area of the business ,(b) these may be discounted from the bank before the expiry of the period ,(c) Easiness of foreign payments ,(d) All of the above,D,
10. The characteristics of a Promissory Note are: ,(a) It should be in writing ,(b) There should be a promise to pay ,(c) There should be the signature of drawer on it ,(d) All of the above,D,
11. A Promissory Note is an instrument: ,(a) Unconditional ,(b) Conditional ,(c) Unconditional and Conditional ,(d) Neither Unconditional nor Conditional,A,
12. Payment before maturity of a bill is called: ,(a) Discounting of a Bill ,(b) Retiring of a Bill ,(c) Dishonour of a Bill ,(d) Renewal of a Bill,B,
13. Liability of drawer in case of bill discounted by him from the bank is : ,(a) Certain Liability ,(b) Partial Liability ,(c) Contingent Liability ,(d) No Liability,C,"When dishonoured, the contingent lability turns into actual or certain one"
14. By the debtor is written: ,(a) Bill of Exchange ,(b) Journal ,(c) Promissory Note ,(d) Subsidiary Book,C,In case of promissory note drawer is debtor and in case of BOE it is creditor
15. Acceptance is necessary : ,(a) On the cheque/Bank Draft ,(b) On the Promissory Note ,(c) On the bill of Exchange ,(d) B & C,C,For cheque/DD and Promissory note acceptance is not required.
16. Transfer to third party is called: ,(a) Endorsement ,(b) Transfer ,(c) Acceptance ,(d) Dishonour,A,
17. Bill Payable Book is a part of: ,(a) Posting ,(b) Journal ,(c) Cash book ,(d) Trial Balance,B,
18. Bills-Receivable Book is ,(a) Subsidiary Book ,(b) Cash Book ,(c) Ledger ,(d) None of the above,A,
"19. In relation of renewal of a bill, the interest will be calculated: ",(a) For the period of new bill ,(b) For the period of original bill ,(c) For the period of original and new bill ,(d) For the period of 3 months,A,
20. The amount of Promissory-Note is paid by : ,(a) Maker ,(b) Creditor ,(c) Bank ,(d) Acceptor,A,
"21. A three months bill drawn on 5th April, 2006. Its due date will be: ","(a) 5th July, 2006 ","(b) 6th July, 2006 ","(c) 8th July, 2006 ","(d) 4th July, 2006",A,
"22. A bill was drawn on 29th July, 2005 for 2 months. Its due date will be: ","(a) 29th September, 2005 ","(b) 30th September, 2005 ","(c) 1st October, 2005 ","(d) 3rd October, 2005",A,
"23. Shyam paid @ 60 paise in a rupee out of Rs. 10,000. In this case Bad Debts A/c will be debited by : ","(a) ? 4,000 ","(b) ? 6,000 ","(c) ? 10,000 ",(d) None of the above,B,
24. The main contents of specimen of a Bill of Exchange are : ,(a) Date ,(b) Acceptance ,(c) Term ,(d) All of the above,D,
25. The advantages of Bill of Exchange are : ,(a) It can be discounted from the bank ,(b) Helpful in foreign payments ,(c) It can be endorsed,(d) All of the above,D,
26. The essentials of a Promissory Note are : ,(a) In Writing ,(b) Promise to Pay ,(c) Without any conditions ,(d) All of the above,D,
27. The main contents of a Promissory Note are : ,(a) Date ,(b) Payment to a specific person ,(c) Stamped ,(d) All of the above,D,
28. The copies of Foreign Bill of Exchange are prepared : ,(a) One ,(b) Two ,(c) Three ,(d) Four,,
29. Days of grace are considered in the calculation of due date of a bill are : ,(a) One ,(b) Two ,(c) Three ,(d) Four,C,
"30. If Ram’s acceptance which was endorsed by Shyam in favour of Saleem is dishonoured, then the amount will be debited in Shyam books to : ",(a) Saleem ,(b) Ram ,(c) Bills Receivable Account ,(d) Bills Payable Account,B,When ram accepted it account was credited and when endorsed to Saleem its account was debited. Hence reversal of entry will be made.
"31. A Bill of exchange was drawn on 11th July, 2006; its term was one month. The due date of this bill will be: ","(a) 14th August, 2006 ","(b) 11th August, 2006 ","(c) 12th August, 2006 ","(d) 15th August, 2006",B,
"32. A four months bill drawn on 1st January, 2006 will mature for payment on : ","(a) 3rd May, 2006 ","(b) 4th May, 2006 ","(c) 5th May, 2006 ","(d) 6th May, 2006",B,
33. The rebate on a bill shows that : ,(a) It has been dishonoured ,(b) It has been paid before the due date of maturity ,(c) It has been paid after the due date of maturity ,(d) None of the above,B,
34. In case of renewal of a bill interest will be calculated for the period to : ,(a) Original bill ,(b) Fresh bill ,(c) Original and fresh bill ,(d) Six months,B,
35. Discount in case of discounting the bill will be calculated for the period between the date of : ,(a) Drawing and discounting the bill ,(b) Discounting and due date ,(c) April 1 to March 31 ,(d) January 1 to December 31,B,
"36. A bill was drawn on January 1, 2007 for six months. The drawee cleared the bill on 4th March, 2007. The drawee should be allowed rebate for ------------- months ",(a) Six ,(b) Four ,(c) Three ,(d) Two,B,
37. Noting charges are paid to the notary public by : ,(a) Drawer ,(b) Bank ,(c) Endorsee ,(d) Any of the three parties,A,Initially it is borne by the drawer and later debited to drawee account.
38. For Payment of nothing charges to the notary public will be credited: ,(a) Noting Charges Account ,(b) Bank/cash Account ,(c) Notary Public Account ,(d) Cash Book,B,
38A. Bills of exchange is drawn by : ,(a) Debtor ,(b) Creditor ,(c) Purchaser ,(d) Bank,B,
39. Parties to a Bill of exchange are except : ,(a) Drawer ,(b) Acceptor or Drawee ,(c) Payee ,(d) Bank,D,
