"1. Sub-head, detailed head or unit of grant and appropriations in respect of Forest Accounts will be determined by ",(a) CGA ,(b) CA&G ,(C) AG with consultation of State Govt. ,(d) State Government with Consultation of AG,D ,Article: 240,,
 2. Recoveries or payment made in cash should be treated as ,(a) Revenue receipt ,(b) Service payment ,(C) Both ,(d) None,C ,Article: 242,,
 3. How the book transfer entry in the cash book of a Forest Division is effected ,(a) By debiting ,(b) by crediting ,(c) by per contra entry ,(d) by maintaining in subsidiary records,C ,Article: 242,,
 4. Transaction of the Central Government or of Railways or other Governments is shown by a Forest Division as ,(a) By cash/cheque Receipt ,(b) Book transfer ,(c) Advance payment ,(d) Not shown in the cash book,B ,Article: 243,,
 5. Who makes the necessary adjustment regarding transaction of the Central Government or of Railways or other Governments originating in a Forest Division? ,(a) Finance wing of State Govt ,(b) Accountant General of the concerned state ,(C) the governments with whom transaction made ,(d) Reserve bank of India,B ,Article: 243,,
 6. No inter-divisional adjustment should be made except under the special order of: ,(a) The Accountant General ,(b) The Conservator ,(c) State Government ,(d) Can not be made under any circumstances,C ,Article: 244,,
" 7. Charges on account of general services like establishment, Live Stock and tools and plant should be classified under the sub head ",(a) Forest Remittance ,(b) Establishment/Conservancy and Work ,(c) Capital Outlays ,(d) Account of work,B ,Article: 246,,
 8. Charges on account of material purchased for a specific work should be classified under the sub head ,(a) Forest Remittance ,(b) Establishment/Conservancy and Work ,(c) Capital Outlays ,(d) Account of work,D ,Article: 246,,
 9. All sum paid into treasury in cash by a department officer should be debited to Forest Remittance. In case of sum paid into treasury in by cheque by a department officer it should be debited to ,(a) Forest Remittance itself ,(b) Revenue Deposit ,(c) Forest Deposit ,(d) Not be taken into account,A ,Article: 249,,
 10. Value of all cheque drawn should be shown as once in the following manner ,(a) debit to forest remittance ,(b) Credit to forest remittance ,(c) minus credit to forest remittance ,(d) Minus debit to forest remittance,B ,Article: 249,,
 11. Advance given to a disburser should be ………….. to the account of disburser ,(a) Debited ,(b) Credited ,(c) put into suspense ,(d) No action required,A ,Article: 250,,
" 12. When an account of the advance is rendered by the disburser, the amount of expenditure should be credited to forest remittance by…………..to the appropriate sub head of account classification ",(a) Crediting ,(b) Debiting ,(c) Per contra debit ,(d) Minus crediting,C ,Article: 250,,
" 13. Advances to contractors, suppliers and labourers with respect to a work should be accounted as by ",(a) debiting to work advances ,(b) debiting to forest advance ,(c) debiting to work and conservancy ,(d) by crediting to work and conservancy,A ,Article: 251,,
 14. Petty advances to labourer out of the imprest or advance of a subordinate should be classified as ,(a) Work advance ,(b) Forest advance ,(c) Work & Conservancy ,(d) None of the given,D ,Article: 252 (Part of cash) ,,
" 15. Adjustment of overcharge, when account of the pertaining year is open, by deduction from the bill shall be accounted as ",(a) By showing receipt ,(b) by showing expenditure ,(c) by making net amount payable ,(d) per showing receipt and expenditure simultaneously,C ,Article: 253 (a) (1) ,,
" 16. Adjustment of overcharge, when account of the pertaining year is open, other than by deduction from the bill shall be accounted as ",(a) By showing receipt ,(b) by showing expenditure ,(c) by making net amount payable ,(d) per showing receipt and expenditure simultaneously,A ,Article: 253 (a) (2) Recoveries of Service payment ,,
" 17. The amount of adjustment of overcharge, when account of the pertaining year is open, other than by deduction from the bill shall be accounted in the account rendered to the Accountant General ",(a) By showing receipt ,(b) by showing expenditure ,(c) by showing net amount payable ,(d) per showing minus entry under the original entry 1,D ,Article: 253 (a) (2) ,,
" 8. After the close of the account, the adjustment should be treated as ",(a) Reduction in expenditure ,(b) miscellaneous revenue ,(c) Forest deposit ,(d) As advised by the A.G,B ,Article: 253 (b) ,,
 19. Earnest money deposited directly to the treasury by the contractor/purchaser/supplier should be treated as ,(a) Forest remittance ,(b) Revenue Receipt ,(c) Revenue deposit ,(d) Work deposit,C ,Article: 255,,
