" 1. All work of Irrigation, Navigation, Embankment, Drainage and Water Storage are primarily classified into ",(a) two sections ,(b) three sections ,(c) five sections ,(d) four sections,A ,
 2. Water Storage Works is included in ,(a) Drainage Works ,(b) Navigation Works ,(c) Irrigations Works ,(d) Embankment Works,C ,
" 3. The section that includes receipts and charges relating to water ways, navigable canals, embankments and other agricultural and drainage works undertaken primarily not for irrigation purposes but for general improvement of the country or for general administrative purposes ",(a) Irrigation Works ,"(b) Navigation, Embankment and Drainage Works ",(c) Both A&B ,(d) Either A or B,B ,
" 4. All work of Irrigation, Navigation, Embankment, Drainage and Water Storage are classified further into ",(a) Government Works and Non-Government Works ,(b) Permanent Works and Temporary Works ,(c) Major Work and Minor Works ,(d) Productive Works and Unproductive Works,D ,
" 5. An Irrigation, Navigation, Embankment, Drainage and Water Storage is said to be productive ",(a) When project is capable of repaying the annual interest on capital invested within ten years after the probable date of its completion ,(b) When project is capable of recovering cost of capital invested within ten years after the probable date of its completion. ,(c) When project is capable of repaying the annual interest on capital invested within fifteen years after the probable date of its completion ,(b) When project is capable of recovering cost of capital invested within fifteen years after the probable date of its completion,A ,
 6. Capital invested includes ,(a) direct charges ,(b) indirect charges ,(c) all arrears of simple interest ,(d) All of the above,D ,
 7. Arrears of simple interest means ,(a) anticipated excess of revenue over similar interest. ,(b) balance of total interest over total net revenue. ,(c) anticipated excess of expenditure over sanctioned estimate of capital outlay ,(d) None of the above,B ,
 8. Pick the correct one ,"(a) Betterment Levy is taken in reduction of indirect capital expenditure in the Financial Forecasts, Administrative Accounts ",(b) Betterment Levy is etc. although it is treated as indirect receipt for the purpose of proforma account of the project ,(c) Neither of the above ,(d) both of the above,C ,
 9. Every work classified as either Productive or Unproductive will retain its classification unchanged during the ,"(a) eleventh, twelfth and thirteenth years after the closure of its construction estimate. ",(b) eleventh and twelfth years after the closure of its construction estimate ,(c) eleventh to fourteenth years after the closure of its construction estimate. ,(d) eleventh to fifteenth years after the closure of its construction estimate,A ,
 10. Pick the correct one ,"(a) If any irrigation, navigation, embankment or drainage work (commercial) which is classified as productive fail at any time after the expiry of ten years, from the date of the closure of its construction estimate, in five successive years to yield the relevant return prescribed should be transferred to unproductive class. ","(b) If any irrigation, navigation, embankment or drainage work (commercial) which is classified as productive fail at any time after the expiry of ten years, from the date of the closure of its construction estimate, in five years out of next ten years whether successive or not to yield the relevant return prescribed should be transferred to unproductive class ","(c) If any irrigation, navigation, embankment or drainage work (commercial) which is classified as productive fail at any time after the expiry of ten years, from the date of the closure of its construction estimate, in five years out of next ten years whether successive or not to yield the relevant return prescribed should be transferred to unproductive class. ","(d) If any irrigation, navigation, embankment or drainage work (commercial) which is classified as productive fail at any time after the expiry of ten years, from the date of the closure of its construction estimate, in three successive years to yield the relevant return prescribed should be transferred to unproductive class.",D ,
 11. An unproductive work ,(a) Shall remain be categorised as unproductive irrespective of expected return ,"(b) Shall be categorised as Productive one if it succeeds in yielding, in three successive years after the expiry of ten years, from the date of the closure of its construction estimate, the relevant return prescribed for a productive work, ","(c) Shall be categorised as Productive one if it succeeds in yielding, in five successive years after the expiry of ten years, from the date of the closure of its construction estimate, the relevant return prescribed for a productive work ","(d) Shall be categorised as Productive one if it succeeds in yielding, in next ten years after the expiry of ten years, from the date of the closure of its construction estimate, the relevant return prescribed for a productive work",B ,
" 12. If an existing irrigation, navigation, embankment or drainage work be extended or improved, the criterion of productivity shall be applied to ","(a) the whole system, including such extension or improvement ",(b) only to such extension or improvement and not to the whole system ,(c) Either A or B depending upon the cost of such extension or improvement exceeding the one fourth of original project ,(d) None of the given,A ,
 13. An extension should be treated as a Separate Project provided ,"(a) owing either to its nature or magnitude, such as may reasonably be considered to be a separate project ","(b) having clear capital and revenue accounts kept of it, as distinct from those of the project as a whole ",(c) Both A&B ,(d) None of the given,C ,
 14. Postponement the transfer of a work from one class to the other in cases by ,(a) Local Administration when satisfied that its success or failure is due to purely transitory causes. ,(b) Central Administration when satisfied that its success or failure is due to purely transitory causes. ,(c) Central Government when satisfied that its success or failure is due to purely transitory causes. ,(d) All of the above,A ,
 15. When transfer of a work from the productive to the unproductive category or vice versa is made ,(a) No adjustment will be made in the general account as well as Proforma Accounts in respect of past transactions ,(b) Requisite adjustment will be made in the general account as well as Proforma Accounts in respect of past transactions ,(c) No adjustment will be made in the general account in respect of past transactions but the necessary transfer will be effected by the Pay and Accounts Officer in the Proforma Accounts of works in question. ,(d) Requisite adjustment will be made in the general account in respect of past transactions but no adjustment will be effected by the Pay and Accounts Officer in the Proforma Accounts of works in question.,C,
 16. Capital bears ,(a) all charges for the first construction and equipment of a project ,(b) charges for intermediate maintenance of the work while not yet opened for service ,(c) subsequent additions and improvements as may be sanctioned under rules by competent authority. ,(d) All of the above,D ,
" 17. Charges on account of restoration of damages caused by extraordinary casualties, such as flood, fire, etc. and such charges should be recorded under a separate head ",(a) Extraordinary Replacements as Capital Expenditure ,(b) Extraordinary Replacements as Revenue Expenditure ,(c) Unforeseen Replacement as Capital Expenditure ,(d) Unforeseen Replacement as Revenue Expenditure,A ,
" 18. Pick the correct one Revenue bears all charges for maintenance and working expenses which embrace all expenditure for the working and upkeep of the project, as also for such renewals and subsequent replacements, and such additions improvements or extensions, as it may be considered desirable to charge to Revenue, instead of increasing the capital cost of the undertaking. ",(a) True ,(b) False,,,A ,
 19. In the case of renewals and replacements of existing works the cost of the new work should be divided between the Capital and Revenue if ,(a) the cost really represents an increase in the capital value of the system ,"(b) exceeds the cost of the original work by Rs.1,000/ ","(c) the cost really represents an increase in the capital value of the system and exceeds the cost of the original work by Rs.1,000/- ",(d) Either A or B,C ,
