 1. Charges on account of general services like Establishment and ordinary Tools and Plant of a division or office should be classified in the minor heads  ‘Direction and Administration ‘ and  ‘Machinery and Equipment ‘ as the case may be under the Major Head ,(a) 2059 ,(b) 2701 ,(c) 4059 ,(d) 4701,A ,
 2. Pick the incorrect one regarding charging of special establishments ,(a) Work-charged establishment excluding Work-charged staff converted into regular Establishment ,"(b) Purely revenue establishment (zilladars, Amins, etc) employed entirely on the management of irrigation, etc., works and on the assessment etc. of connected revenue to the sub-division  ‘Working Expenses ‘ of the major head 2701 ","(c) Establishment employed for temporary period on famine relief works, to the minor head concerned under the major head  ‘2245 ",(d) None of the given,A ,
 3. Establishment employed in workshops of a quasi-commercial character shall be charged to ,(a) Direction and Administration of the division ,(b) the account of the workshop concerned ,(c) Work-charged Establishment ,(d) Contingency of the division,B ,
" 4. The cost of special tools and plant i.e., tools, plant, machinery, etc., obtained to meet the special requirements of a particular work or project and of a nature not usually to be found in the general stores of the Administration should be treated as ",(a) an indirect charge to Machinery and Equipment of the division ,(b) a direct charge to Machinery and Equipment of the division ,(c) an indirect charge to the work or project ,(d) a direct charge to the work or project,D ,
 5. In case of doubt who will decide whether any item of tools and plant should be classified as ordinary or special? ,"(a) the Executive Engineer, or other competent executive authority ","(b) the Superintendent Engineer, or other competent executive authority ","(c) the Chief Engineer, or other competent executive authority ",(d) Audit or Account officer concerned,C ,
" 6. The  ‘gross expenditure ‘ on the common establishments, of PWD Buildings and Road Branch, will be recorded under the Minor Head ",(a) Direction and Administration below 2059 – Public Works ,(b) Direction and Administration below 4059 – Public Works ,(c) Conservancy below 2059 – Public Works ,(d) Conservancy below 4059 – Public Works,A ,
" 7. The distribution of the charges on account of gross expenditure on the common establishments, of PWD Buildings and Road Branch is made in ",(a) four stages ,(b) three stages ,(c) two stages ,(d) single stage,C ,
" 8. First stage of distribution of the charges on account of gross expenditure on the common establishments, of PWD Buildings and Road Branch means ",(a) such charges in respect of establishment charges relatable to Revenue Major Heads. ,(b) such charges in respect of establishment charges relatable to Capital Major Heads. ,(c) such charges in respect of establishment charges relatable to Government Works ,(d) such charges in respect of establishment charges relatable to Non-Government Works.,B ,
 9. The first stage distribution of establishment charges from the omnibus Public Works major head to these heads will be calculated on percentage basis determined by the Government in such manner as to remain current for ,(a) at least 3 years ,(b) at least 2 years ,(c) at least 5 years ,(d) at least 7 years,A ,
" 10. In respect of establishment charges relatable to works done for other Governments, Local funds and private parties’ etc. recoveries will be made on percentage basis to be determined by Government ",(a) minus debited to the Major Head  ‘2059 as recoveries of expenditure ,(b) credited to the Major Head  ‘0059 as other revenue receipt ,(c) credited to the Major Head  ‘0075 as other miscellaneous receipt ,(d) credited to the Major Head  ‘8443 as other deposit,B,
" 11. Proportionate charges on Establishment apportioned to the Capital Major Heads will be adjusted under the sub-head  ‘Buildings ‘ under the appropriate Programme Minor Heads, against a distinct detailed head (or object classifications)  ‘Establishment ‘ to be opened for the purpose by ",(a) Debiting concerned capital major head and minus debiting 2059 Direction and Administration ,(b) Crediting concerned capital major head and debiting 2059 Direction and Administration ,(c) Crediting concerned capital major head and minus crediting 2059 Direction and Administration ,(d) Debiting concerned capital major head and minus crediting 2059 Direction and Administration,A ,
