 1. Expenditure on the construction or maintenance of a work may be divided broadly into two classes ,(a) Final and Suspense ,(b) Capital and Revenue ,(c) Cash and Stock ,(d) Major and Minor,C,(10.1.1),,
 2. Whether true or False Works accounts are separate accounts maintained in Sub-Divisional /Divisional Offices for recording (i) the cost of individual works and (ii) the transactions of individual contractors/suppliers pertaining to all charges affecting work expenditure ,(a) True ,(b) False,,,A,(10.1.1),,
" 3. The initial records upon which the accounts of works are based on three documents, pick the incorrect one ",(a) Muster Roll including casual labour Roll ,(b) The measurement Books ,(c) Work-charged Establishment Bills ,(d) Budgetary Estimates,D,(10.1.2),,
 4. The measurements of work done by daily rated labourers on a Muster Roll are recorded in the ,(a) Muster Roll ,(b) Measurement Books ,(c) Contractor Ledger ,(d) Works Abstract,B,(10.1.3),,
 5. The payments to contractors and others for the work done or other services rendered are made on the basis of measurements recorded in ,(a) Contractor Ledger ,(b) Works Abstract ,(c) Measurement Books ,(d) Muster Roll,C,(10.1.3),,
 6. The cost of special establishment employed in the acquisition of land when chargeable to the accounts of the works concerned should be treated as a part of the ,(a) Revenue Expenditure ,(b) Works Expenditure ,(c) Office contingency ,(d) Special Contingency,B,(Note 2 below 10.1.5),,
 7. Pick the incorrect one in respect of Cash charges on works consist of payments to ,(a) labourers on Muster Roll and casual labour roll ,(b) members of the work charged establishment ,(c) contractors and others for work ,(d) member of regular establishment,D,(10.2.1),,
 8. Initial accounts and vouchers connected with charges relating to works must invariably specify the following. Pick the incorrect one ,(a) The full name of the work as given in the estimate ,"(b) The name of the component part of it, if separate accounts are kept up for the several component parts ",(c) The charges (if any) which are of the nature of recoverable payments and the names of the contractors or others from whom recoverable. ,(d) Fund position,D,(10.2.2),,
 9. All persons engaged departmentally for the execution of works are considered as day labourers and their wages should be drawn on ,(a) Muster Rolls Form CPWA 21 ,(b) Muster Rolls Form CPWA 22 ,(c) Measurement Book Form CPWA 23 ,(d) Measurement Book Form CPWA 23A,A,(10.2.3),,
 10. Wages to the labourers borne on Muster Roll is charged to ,(a) Work charges establishment ,(b) Direction & Administration ,(c) Work concerned ,(d) Contingency,C,(10.2.3),,
 11. Pay to Permanent and temporary employees of the division is charged to ,(a) Work charges establishment ,(b) Direction & Administration ,(c) Work concerned ,(d) Contingency,B,(10.2.3_a),,
" 12. For all the labourers and workmen employed on Muster Rolls, Form CPWA 21 a labour report indicating the number of labourers and workmen employed is required to be sent the Sub Divisional Officer/Divisional Officer in Form ",(a) CPWA 21A ,(b) CPWA 29 ,(c) CPWA 30 ,(d) CPWA 31,C,(10.2.3_b),,
 13. Form CPWA 30 is required to be submitted to the Sub Divisional Officer/Divisional Officer as the case may be on ,(a) daily ,(b) weekly ,(c) fortnightly ,(d) monthly,A,(10.2.3_b),,
