 1. The share of municipal taxes paid by Government on behalf of licensees of Government buildings should be debited to the haed pending recovery ,(a) Expenditure incurred on Deposit Works in excess of deposits received ,"(b) Losses, retrenchments, errors, etc. ",(c) Other items ,(d) Retrenchments and losses of other kinds recoverable from Government Servants,C,
" 2. The head “Other items” under the MWA shall include the following (i) debits, the classification of which cannot be determined at once (ii) recoverable debits not pertaining to the accounts of a work (iii) recoverable outstanding appertaining to works, the accounts of which are closed (iv) The share of municipal taxes paid by Government on behalf of licensees of Government buildings. ","(a) (i), (ii) and (iii) ","(b) (ii), (iii) and (iv) ","(c) (i), (iii) and (iv) ",(d) All of the above,D,
 3. The detailed accounts of this Miscellaneous Works Advances should be kept in ,(a) CPWA 67 ,(b) CPWA 69 ,(c) CPWA 70 ,(d) CPWA 71,A,
" 4. When any charges are transferred from one job or operation to another, the transfer should be made by ",(a) plus and minus credit entries ,(b) plus and minus debit entries ,(c) plus debit entries ,(d) plus credit entries,B,
 5. The accounts to be kept in a workshop depend on the extent of the operations and the size of the shop. ,(a) True ,(b) False,,,A,
 6. Forms to be used and the procedure to be observed with regard to a workshop will be settled by the ,(a) Administrative Ministry/Administrator concerned in consultation with the office of the Chief Controller of Accounts. ,(b) Chief Controller of Accounts in consultation with the office of the Administrative Ministry/Administrator concerned ,(c) Divisional Officer in consultation with the Chief Controller of Accounts concerned ,(d) Divisional Officer in consultation with the PAO,A,
" 7. No work should be undertaken for municipalities or private parties before the whole estimated cost including all charges for supervision, profit etc has been paid to the Divisional Office. This can be relaxed by ",(a) DO/Superintendent of Workshop ,(b) SE ,(c) DG (Works)/CE ,(d) Admin. Min/Administrator,A,
" 8. Where capital accounts of a Workshop are kept and intended mainly for the needs of the irrigation Branch or the workshop being a quasi-commercial, the capital expenditure should be recorded under ",(a) 4059 ,(b) 4701 ,(c) 2059 ,(d) 2701,B,
" 9. Where capital accounts of a Workshop are kept and intended mainly for the needs of the irrigation Branch or the workshop being a quasi-commercial, receipts representing recoveries of capital expenditure will be taken as ",(a) revenue receipt ,(b) reduction of expenditure ,(c) contingent receipt ,(d) miscellaneous deposit,B,
" 10. Where capital accounts of a Workshop are kept and intended mainly for the needs of the irrigation Branch or the workshop being a quasi-commercial, revenue receipts shall be accounted as ",(a) minus debit 4701 ,(b) minus debit 2701 ,(c) credit 0701 ,(d) minus credit 0701,C,
