 1. The cash and stock accounts of the divisional office for a month are closed on ,(a) Last day of the month ,(b) Last working day of the month ,(c) Last day of the year ,(b) Last working day of the year,B,22.1.1
 2. The Transfer Entry Book for a month should be closed ,(a) By the end of the month ,(b) by the end of the year ,(c) Before the accounts of the works is closed ,(d) as soon as possible after the expiry of the month and before submission of monthly accounts to the PAO,D ,22.1.2
" 3. The transfer entry relating to the levy of percentages for establishment, tools and plant accounts, audit charges and pensionary charges is effected on a single order of the Divisional Officer embracing all Govt. and Non-Govt. works where these charges are applicable in Form ",(a) CAM 34 ,(b) CPWA 51 ,(c) CPWA 53 ,(d) CPWA 62,D ,Note_22.1.2
" 4. The cash and stock accounts of the entire division, as also all transfer transactions before incorporation in connected registers, schedules and the Monthly Account should be scrutinized by ",(a) Cashier ,(b) DA ,(c) DO ,(d) PAO,B ,22.1.3
" 5. Who should ensure that, as far as possible, the examination of all claims included in bills presented for payment direct at Pay and Accounts Office is made by the Divisional Accountant? ",(a) DO ,(b) SE ,(c) PAO ,(d) CCA,A ,Note 1_22.1.3
" 6. In all matters connected with the personal claims of Government servants, the Divisional Officer should obtain expert advice and help of the ",(a) DA ,(b) SE ,(c) PAO ,(d) CCA,A ,Note 2_22.1.3
" 7. In all cases of doubt, however, the advice of the Chief Controller of Accounts through ",(a) DA ,(b) SE ,(c) PAO ,(d) Chief Accounting Authority,C ,Note 2_22.1.3
" 8. The Divisional Accountant should examine the accounts returns of Sub- Divisional Officers to see:- (i) that they have been received in a complete state and all sums receivable are duly realized, and on realization remitted to Divisional cash Chest for proper accounting. (ii) that they have been submitted within the time frame of submission. (iii) That all bills which are required to be prepared/submitted by the S.D.O.are prepared in accordance with the rules applicable to each case and are covered by sanction and appropriation. (iv) that, on the basisof rates sanctioned by competent authorities, and of facts certified by authorized officers, the claims presented for payment are valid and in order. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) all of the above,C ,22.2.1
 9. Pick the incorrect one regarding the duties/functions of the DA ,(a) It is necessary that he should check personally the arithmetical accuracy of all bills and accounts as he is responsible that cent per cent check is exercised efficiently under his supervision. ,"(b) He should exercise a similar check from day to day, in regard to the transactions recorded direct in the cash and stock accounts of the divisional office. ","(c) He should affix his dated initials after the last entry of the day’s transaction in the divisional cash book/stock accounts, in token of check. ","(d) He is responsible that every order or sanction affecting expenditure to be accounted for in the Monthly Account, is noted at once in a suitable register other account record",A ,Note_22.2.1 to 22.2.4
 10. General sanctions to estimates and appropriations for works should be noted in the ,(a) Work Abstracts ,(b) Register of Works ,(c) Register of Sanctions ,(d) Allotment Register,B ,22.2.4
" 11. Sanctions to fixed charges of a recurring character, e.g., those relating to the entertainment of work-charged establishments should be entered ",(a) CPWA 57 ,(b) CPWA 58 ,(c) CPWA 59 ,(d) CPWA 58A,B ,22.2.4
" 12. Sanctions to special payments chargeable to the accounts of works, and other miscellaneous sanctions should be entered in ",(a) CPWA 57 ,(b) CPWA 58 ,(c) CPWA 59 ,(d) CPWA 58A,C ,22.2.4
" 13. State whether true or false Forms C.P.W.A 58 & 59 may also be used in respect of sanctions to contingent expenditure when this is brought to account in the Monthly Account, but separate pages of these registers should be set aside for this purpose. ",(a) True ,(b) False,,,B ,When not brought to account Note 1_22.2.4
 14. Sanctions to estimates for works should be entered in the Register of Works and a collective register of all sanctioned estimates be maintained in such form as may have been prescribed by ,(a) PAO ,(b) CCA ,(c) CGA ,(d) Government.,D ,Note 2_22.2.4
" 15. If against a single sanction, disbursing officer of two or more divisions have to operate simultaneously, the orders should be taken of ",(a) DO of the larger Division or Higher ,(b) Superintending Engineer or higher authority ,(c) DG (works) ,(d) PAO,B ,22.2.5
" 17. When expenditure within the competence of the DO is incurred under the orders of subordinate officers with his knowledge, the DA should at once brought it to the notice of the ",(a) DO ,(b) SE ,(c) DG (Works) ,(d) PAO,A ,22.2.6
 18. The works expenditure should be checked with the estimates to ensure that the ,(a) Expenditure does not exceed allotment ,(b) Charges incurred are in pursuance of the objects for which the estimate was intended. ,(c) Orders of the competent authority has been obtained for the expenditure ,(d) All of the above.,B ,22.2.7
" 19. State whether True or False The Divisional Accountant is responsible for checking the expenditure with the estimated quantity of work to be done, the sanctioned rate, and the sanctioned cost, so that he may bring to notice all deviations from the sanctioned estimate. ",(a) True ,(b) False,,,A ,22.2.7
" 20. When a recovery has been ordered to be made from a contractor or other person, which cannot be watched through a suspense or other account specially prescribed for the purpose, the order should be noted at once in a ",(a) Suspense Register CPWA 67 ,(b) Register of Recoveries CPWA 95 ,(c) Contractor Register CPWA 43 ,(d) Register of Works CPWA 40,B ,22.2.8
" 21. When a work is in progress, certain recoveries of expenditure e.g., sale proceeds of surplus materials and plant acquired specially for that work, or of materials received from dismantled structures shall be treated as ",(a) Revenue Receipt ,(b) Misc. deposit ,(c) reduction of the expenditure ,(d) Public Works Deposit,C ,22.2.9
" 22. True or false Without the express orders of the DA, gross expenditure authorized is not exceeded, or surplus receipts realized are not utilized towards additional expenditure. ",(a) True ,(b) False,,,B ,Its competent authority and not DA
" 23. Who should see that savings due to abandonment of parts of a work, as evidenced by the quantities of the work executed or otherwise, are not utilized towards unauthorized expenditure ",(a) SDO ,(b) DA ,(c) DO ,(d) SE,B ,Note_22.2.9
 23A. Vouchers relating to contingencies are not to be submitted to PAO along with Monthly Accounts which do not amount to ,(a) more than Rs. 25/- ,(b) More than Rs. 100/- ,(c) more than Rs. 500/- ,(d) More than Rs. 1000/-,D ,Note1_22.2.10
 24. Vouchers which are not to be submitted to PAO with Monthly Accounts shall be dealt in manner ,(a) Such vouchers should be destroyed ,(b) Such vouchers should be sent separately ,(c) Such voucher should be kept carefully for production to audit ,(d) Such voucher should be cancelled by means of perforating or endorsing a stamp and kept carefully for production to audit,D ,22.2.10
" 25. State whether true or false Vouchers relating to new supplies of tools and plant should be completed by noting on them the name of the month in the accounts of which the articles acquired were brought on to Form C.P.W.A 13, Tools and Plant Received Sheet. ",(a) True ,(b) False,,,A ,Note 3_22.2.10
" 26. Procedure for seeking further information, certificates etc. from sub-divisions by DA as a result of examination of Accounts and returns of sub-divisions is/may be prescribed by ",(a) DO ,(b) SE ,(c) PAO ,(d) CGA,A ,22.2.11
" 27. The remittances made into the accredited Bank as well as cheques drawn on them, by Public Works Division will be accounted for under the Sub-heads “Remittances into Bank” and “Public Works Cheques” respectively under the head ",(a) 8761 ,(b) 8762 ,(c) 8675 ,(d) 8782,D ,22.3.1
 28. The daily Payment and Receipt Scrolls are prepared by ,(a) DO ,(b) PAO ,(c) Accredited bank ,(d) Focal point branch,C ,22.3.2
 29. The daily Payment and Receipt Scrolls are prepared in ,(a) Duplicate ,(b) Triplicate ,(c) Quadruplicate ,(d) Quintuplicate,C ,22.3.2
 30. The daily Payment and Receipt Scrolls are prepared ,(a) Bank wise ,(b) Division wise ,(c) PAO wise ,(d) District wise,B ,22.3.2
 31. Pick the correct one disposal of Receipt and Payment Scrolls (i) First copy of scrolls and Receipt and payment Scrolls will be sent to designated Focal Point Branch of the Bank along with Paid Cheques/Challans (ii) Second copy of the above mentioned Bank Scrolls without Paid Cheques/Receipted Challans will be sent to the PAO of the division (iii) Third copy of the above mentioned Bank Scrolls without Paid Cheques/Receipted Challans will be sent to the Divisional Officer by the Dealing Branch and (iv) Fourth copy of the Scrolls shall be retained by the Dealing Branch for its own records. ,"(a) i, and ii ",(b) ii and iii ,(c) iii and iv ,(d) All of the above,C ,To Focal Point Branch in duplicate and no copy to PAO 22.3.2
 32. The Focal Point Branch of the accredited Bank presently is ,(a) RBI ,(b) SBI ,(c) Any nationalised bank ,(d) Any notified bank,B ,22.3.2
 33. The Focal Point Branch of the accredited Bank will prepare Division-wise “Main Scroll” in ,(a) Duplicate ,(b) Triplicate ,(c) Quadruplicate ,(d) Quintuplicate,B ,22.3.2
 34. The Focal Point Branch of the accredited Bank will transmit two copies of the “Main Scroll” along with original copy of the Scrolls duly supported with Paid Cheques/Receipted Challans received from the Dealing Branch to ,(a) DO ,(b) PAO of the Division ,(c) RBI Central Office Nagpur ,"(d) RBI Government Account Department, Mumbai",B ,22.3.2
 35. Main Scrolls is transmitted by Focal Point Branch to concerned on ,(a) Day to day basis ,(b) Weekly basis ,(c) Fortnightly basis ,(d) Monthly basis,A ,22.3.2
" 36. The Pay and Accounts Officer of the Division concerned, after verification of related documents viz the Paid Cheques/Receipted Challans will return the second copy of the “Main Scroll” duly certified without documents to Focal Point Branch ",(a) Within 24 hours ,(b) Within 48 hours ,(c) within 72 hours ,(d) within a week,A ,22.3.2
 37. Accounting by PAO for the adjustment of Payment Scroll: ,"(a) (-) Credit 8782, credit 8658 ","(b) (-) credit 8658, credit 8782 ","(c) Debit 8762, credit 8782 ","(d) Debit 8782, credit 8762",A ,22.3.3
" 38. On receipt of “Payment Put through Statement” from the Reserve Bank of India, the credit under Major Head “8658 – Suspense Accounts” will be cleared by the Principal Accounts Officer of the Ministry of Urban Development by ",(a) (-) Credit 8675 credit 8658 ,"(b) (-) Credit 8658, credit 8675 ",(c) Debit 8782 credit 8675 ,(d) Debit 8675 credit 8675,B ,22.3.3
 39. Accounting by PAO for the adjustment of Receipt Scroll: ,"(a) (-) Credit 8782, credit 8658 ","(b) Debit 8658, (-) credit 8782 ","(c) Debit 8762, credit 8782 ","(d) Debit 8782, credit 8762",B ,22.3.4
 40. On receipt of ““Receipt Put Through Statement from Reserve Bank of India the credit under Major Head “8658 – Suspense Accounts” will be cleared by the Principal Accounts Officer of the Ministry of Urban Development by ,(a) Debit 8675 (-) Debit 8658 ,"(b) Debit 8658, (-) Debit 8675 ",(c) Debit 8782 credit 8675 ,(d) Debit 8675 credit 8675,A ,22.3.4
" 41. Pick the correct one (i) On receipt of a copy of daily Receipt and Payment Scroll from bank, the Divisional Officer will effect reconciliation of the transactions indicated in the Receipt Scroll and Payment Scroll in Part I – Cash Remitted and Acknowledged” and Part II – Cheques issued and paid respectively in the Schedule of Reconciliation of Cheques and Remittances” in Form C.P.W.A 51. (ii) CPWA 51 with schedule of Reconciliation should be sent by the Divisional Officer along with Monthly Account to the Pay & Accounts Officer of his Division. . (iii) The Divisional Officer should also prepare and furnish list of cheques issued but not encashed and remittances made but not accounted for during the month as well as cheques issued and remittances made during the previous months accounted for in the bank scroll during the month on hand. (iv) P.A.O. of the Division on receipt of Form C.P.W.A 51 along with Monthly Account from the Divisional Officer will reconcile the figures of Bank Scrolls booked in his account with those reported by the Divisional Officer in CPWA Form ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D ,22.3.5
 42. Abstract Book is prepared in Form ,(a) CPWA 80 ,(b) CPWA 80A ,(c) CPWA 81 ,(d) CPWA 83,A ,22.4.1
 43. Abstract book is/may be written up ,(a) Before compilation of Monthly Accounts ,(b) After compilation of Monthly Accounts ,"(c) Before the actual compilation of the various schedules and schedule dockets, etc is undertaken ","(d) After the actual compilation of the various schedules and schedule dockets, etc has been completed.",C ,22.4.1
" 44. The Abstract Book, Form C.P.W.A 81 may be written up in accordance with the instructions printed on the standard Form from ","(a) Works Abstrac, Register of Works and Contractor’s ledger ","(b) The original Cash Book, Summaries of Stock Receipts and Indents and the Transfer Entry Book ",(c) Both a & b ,(d) None,B ,22.4.1
 45. State whether true or false The Abstract book will consolidate all the transactions of the division and will thereby facilitate the location of errors and omissions made in the compilation of the Monthly Accounts from the Schedules and also serves as an independent check over the accounts so compiled. ,(a) True ,(b) False,,,A ,22.4.1
 46. The Monthly Account shall be submitted to the Pay and Accounts Officer by ,(a) 5th of the succeeding month ,(b) 8th of the succeeding month ,(c) 10th of the succeeding month ,(d) 15th of the succeeding month,B ,22.4.1
 47. Schedule Dockets is prepared in Form ,(a) CPWA 59 ,(b) CPWA 60 ,(c) CPWA 61 ,(c) CPWA 62,C ,22.4.2
" 48. Pick the correct one Cash vouchers and transfer entry orders should be posted in Schedule Docket CPWA 61, those relating to (i) charges on works other than percentages charged for establishment, tools and plant, etc, (ii) charges on works including percentages charged for establishment, tools and plant, etc, (iii) other items of expenditure or disbursement for which a contingent bill is required (iv) other items of expenditure or disbursement for which a contingent bill is not required ","(a) i, and iii ",(b) i and iv ,(c) ii and iii ,(d) ii and iv,B ,22.4.2
" 49. At the end of the month, the schedule dockets should be completed in respect of Stock transactions by posting therein all the Stock debits and credits of the month from ",(a) Cash Book and Transfer entry orders ,(b) Summary of Indents and the Summary of Stock Receipt CPWA 10 and 9 respectively including those brought to the accounts through cash book and TEO ,(c) Summary of Indents and the Summary of Stock Receipt CPWA 10 and 9 respectively omitting those brought to the accounts through cash book and TEO ,(d) Goods Receipt Sheets and Indents.,C ,22.4.2
" 50. State whether True or False The total of the month’s stock transactions relating to each schedule docket should be entered therein as a single figure, plus or minus according as it is debit or credit, and if there are both debits and credits to be entered, the net result only should be posted. ",(a) True ,(b) False,,,A ,22.4.2
 51. The schedule dockets in case of works should then be totalled and reconciled with the ,(a) Work Estimate ,(b) Work Abstract ,(c) Register of Works ,(d) Contractor’s Ledger,B ,22.4.2
 52. The documents to be attached with Schedule Docket while submission to PAO ,"(a) All the vouchers including acknowledgement for stock supplied to contractors, ",(b) Transfer Entry Orders in CAM 34 ,(c) Survey Report and Sale Accounts in CPWA 18 and 19 respectively ,(d) All of the above,D ,22.4.2
