1. The check of works accounts is conducted in three stages; pick the incorrect one ,(a) Preliminary internal check by the Divisional Accountant in the Divisional Office ,(b) Test check by A.G (Audit) team in the Divisional Office ,(c) Checking of monthly accounts in Accountant General's Office ,(d) Checking of Divisional Reconciliation statement of expenditure and receipts with reference to Debt Head and Classified Abstracts/Summary Registers maintained in Works Accounts Wing of Accountant General (A&E) office.,B ,8.1,,
" 2. Pick the correct one in the context of Divisional Accountant’s responsibility for examining the Accounts Returns of Sub Divisional Officers to see (i) that they have been received in a complete state (ii) that they have been received on or before scheduled date of submission of accounts (iii) that the sums receivable are duly realised and on realisation credited to the proper head of account, and also to the proper personal account (if any) of the contractor, employee or other individual (iv) that the charges are covered by sanctions and allotments, and are supported by complete vouchers setting forth the claims and the acknowledgements of the payees legally entitled to receive the sum paid ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) all of the above,B ,8.2,,
" 3. Pick the correct one in the context of in addition to Divisional Accountant’s responsibility mentioned above for examining the Accounts Returns of Sub Divisional Officers to see (i) that all vouchers and accounts are arithmetically correct (ii) that they are in all respects properly prepared in accordance with rules (iii) that all charges are correctly classified, those which are debitable to the personal account of a contractor, employee or other individual being recorded as such in a prescribed account (iv) that on the basis of rates sanctioned by competent authority and of facts (e.g., quantities of work done, supplies made, etc, or service rendered) certified by authorised Government servants, the claims admitted for payment are valid and in order. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) all of the above,D ,8.2,,
 4. State whether true or false It is mandatory for the Divisional Accountant to check personally the arithmetical accuracy of all vouchers and accounts and therefore he is responsible to ensure that a cent per cent check is exercised efficiently. ,(a) True ,(b) False,,,B ,"Note below 8.2, responsible to ensure 100% check ",,
 5. The Divisional Accountant should exercise check from day to day upon ,(a) the transactions recorded direct in the accounts of the Divisional Office ,"(b) bills and vouchers of Sub Divisions, which are submitted to the Divisional Officer for approval before payment is made by the Sub Divisional Officer; in respect of charges this examination should be conducted before the payment is made. ",(c) Neither a or b ,(d) Both a & b,D ,8.3,,
" 6. Pick the correct one regarding the functions of the Divisional Accountant (i) The cash and stock accounts of the entire division as also all transfer transactions should be scrutinized by the Divisional Accountant before they are included in the Monthly Account (ii) He should see that every payment/refund is so recorded and a receipt for it so obtained that a second claim against Government on the same account is impossible (iii) He is to see that expenditure, which is within the competence of the Divisional Officer to sanction or regularise, is not incurred under the orders of subordinate disbursing officers without his knowledge. (iv) All such items of expenditure should at once be brought to the notice of the Superintendent Engineer and Chief Accounting Officer and their orders obtained and placed on record. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) all of the above,A ,8.2 to 8.6 in the notice of DO and not SE ,,
" 7. If the Divisional Officer is allowed a lump sum provision for expenditure on a group of works, and he has made out of it allotments for individual works, expenditure should be watched against ",(a) Individual allotment ,(b) Combined allotment ,(c) As mentioned in work estimates ,(d) a or b at the discretion of DO,A ,Note below 8.6 ,,
" 8. If against a single sanction, two or more disbursing officers have to operate simultaneously, the Divisional Accountant should see that orders imposing a definite limitation on the money transactions of each officer are obtained from ",(a) Chief Controller of Accounts ,(b) DG (Works) ,(c) SE ,(d) DO,D ,8.7,,
 9. If disbursing officers of two or more divisions are have to operate simultaneously on a work or project the orders should be obtained from ,(a) the Head of the circle or higher authority ,(b) Accounts officer or chief Accounting Officer ,(c) Senior-most DO of the concerned divisions ,(d) Government of India,A ,8.7,,
" 10. Pick the correct one regarding the functions of the DA (i) The Divisional Accountant should check works expenditure with the estimates to ensure that the charges incurred are in pursuance of the object for which the estimate was intended to provide. (ii) In the case of works the expenditure on which is recorded by Sub-Heads (that is, items of work such as brick-works, etc.) the Divisional Accountant is responsible for checking the expenditure on each Sub-Head with the estimated quantity of work to be done, the sanctioned rate, and the total sanctioned cost so that he may bring to notice all deviations from the sanctioned estimate. (iii) He should see that without the orders of Competent Authority the authorised gross expenditure on a work is not exceeded and that any surplus recoveries of expenditure are not utilised towards additional expenditure. (iv) He should also see that savings due to abandonment of parts of a work, as evidenced by the quantities of the work executed or otherwise, are not utilised towards an unauthorised object. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) all of the above,D ,8.8 & 8.9 ,,
" 11. The responsibilities of the DA include (i) The responsibility extends to the examination of all claims included in bills, presented direct at Treasuries by the Divisional Officer. (ii) He should see that the service books and leave accounts of subordinates are maintained in accordance with rule and that the admissibility of leave applied for by subordinates is verified before the competent authority decides upon their leave applications. (iii) In all cases of doubt, however, he should advise the Divisional Officer to consult the Superintendent Engineer. (iv) The Divisional Accountant is responsible for the arrangements for checking the computed tenders, i.e. for seeing that satisfactory and efficient arrangements are made for checking ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,B ,8.10 & 8.11 ,,
 12. State Government of which State has absolved the Divisional Accountant of his responsibility to examine all claims included in bills presented direct at Treasuries by the Divisional Officer and to see that the service books and leave accounts of subordinates are maintained in accordance with rule and that the admissibility of leave applied for by subordinates is verified before the competent authority decides upon their leave applications? ,(a) Government of Bihar ,(b) Government of West Bengal ,(c) Government of Maharashtra ,(d) Government of Tamil Nadu,C ,Note below 8.10 ,,
" 13. The responsibilities of the DA include (i) Conducting detailed check of muster rolls and petty vouchers which are not submitted to the Accountant General's office. (ii) Arrangements for checking the computed tenders, i.e. for seeing that satisfactory and efficient arrangements are made for checking (iii) Conducting personally a test check of the computed and checked tenders sufficient to satisfy himself reasonably that the checking work has been properly done; and (iv) Ensuring that the comparative statement correctly incorporates the totals as checked on the individual tenders. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) all of the above,D ,8.10-8.11.3 ,,
" 14. If the DA considers that any transaction or order affecting receipts or expenditure is such as would be challenged by the Accountant General if the preliminary internal check entrusted to the Divisional Accountant were applied by the former, it is his duty to bring this fact to the notice ",(a) Divisional Officer ,(b) Superintendent Engineer ,(c) Chief Accounting Officer ,(d) A.G/PAO,A ,8.12,,
 15. If the objection of the DA has been overruled and he is not satisfied with the decision of the Divisional Officer he should ,(a) Overrule the order and bring the matter into the notice of SE ,(b) Comply the orders and bring the matter into the notice of SE ,(c) Overrule the order by recording a brief note of the case in the Register of Divisional Accountant's Objections (Form 23) ,(d) Comply the orders and at the same time make a brief note of the case in the Register of Divisional Accountant's Objections (Form 23),D ,8.12,,
 16. An objection entered in the Register of Divisional Accountant's Objections (Form 23) should not be considered as finally disposed of until it has been reviewed by the ,(a) Superintendent Engineer ,(b) Chief Engineer/DG (Works) ,(c) Chief Controller of Accounts ,(d) Accountant General,D ,8.12,,
" 16A. The procedure to be observed regarding the examination of accounts and vouchers received from Sub-Divisional Officers and obtaining further information accounts, vouchers, certificates, etc., required to rectify relevant records of their offices to avoid the recurrence of any irregularity may be prescribed by the ",(a) Divisional Accountant ,(b) Divisional Officer ,(c) Chief Controller of Accounts ,(d) AG/PAO,B ,8.13,,
 17. The records connected with the results of the examination of the accounts and vouchers of Sub-Divisional Offices should be retained so as to be available for the inspection of ,(a) Superintendent Engineer ,(b) Chief Engineer/DG (Works) ,(c) Accountant General ,(d) Chief Controller of Accounts,C ,8.13,,
 18. The Divisional Accountant is required to inspect periodically the accounts records of the Sub Divisional Offices to check a percentage of the initial accounts under the orders of the ,(a) Divisional Officer ,(b) Superintendent Engineer ,(c) Accountant General ,(d) Chief Controller of Accounts,A ,8.14,,
" 19. State whether true or false The defects noticed during the inspection of the accounts records of Sub-Divisional Office by the DA should be reported to the Divisional Officer for orders as the Divisional Officer will be responsible, as far as possible, for explaining personally the defects of procedure and for imparting necessary instructions thereon to the Sub Divisional Officers and their staff. ",(a) True ,(b) False,,,B ,"8.14, DA will be responsible for the functions mentioned ",,
 20. Pick the incorrect one ,(a) The results of DA’s inspections of SD Office should be placed on record for the inspection of the Accountant General ,(b) The results of DA’s inspections of SD Office should be placed on record for the inspection of the Divisional Officer ,"(c) Serious financial irregularities should be reported at once for the information of that officer, even though set right under orders of competent authority. ","(d) All defalcations or losses of public money, stores or other property, which required report to the Accountant General, under the financial rules of the Government concerned should be immediately reported to him.",B ,8.14,,
 21. State whether true or false The quarterly reconciliation of works expenditure/receipts will be carried with reference to the Works Accounts Summary Register maintained for each Division which in turn will be got certified from the monthly classified abstracts of expenditure/receipts maintained in Works Miscellaneous Sections. ,(a) True ,(b) False,,,A ,8.15,,
" 22. The Works Accounts Department in the officer of Accountant General (A&E) should be divided into sections, each headed by a ",(a) Section Officer ,(b) Audit/Accounts Officer ,(c) Sr. Audit/Accounts Officer ,(d) Group Officer,A ,8.17,,
 23. The primary responsibility of checking and compiling the accounts of Public Works/Irrigation Divisions and other work connected therewith rests with the ,(a) A.G ,(b) Group Officer ,(c) AAO/AO/Sr.AO ,(d) Clerk/Accountant/Sr. Accountant,D ,8.17,,
 24. The work of accounting in the Works Accounts Departments shall commence on receipt of the Monthly Accounts ,(a) Immediately ,(b) Within 5 days of receipt ,(c) Within 7 days of receipt ,(d) Within 10 days of receipt,A ,8.18,,
" 25. Pick the correct regarding the work of checking of monthly account in Accountant General's office is made to see that (i) It is complete in all respects with supporting schedules and vouchers as described in the list of accounts from C.P.W.A. 81 (ii) all the schedules attached with the monthly account are in proper form (iii) figures of receipts and disbursement as shown in form C.P.W.A. 81 tally with the totals of the items concerned as appearing in various schedules, i.e. form C.P.W.A. 74, 76, 79, 77 etc. and also to see that these are correctly classified in the monthly account; (iv) the items of receipts and disbursements are arithmetically tallied and if they do not agree the difference be taken to ""Miscellaneous Public Works Advance"" or ""Deposit"" under intimation to the Divisional Office. ",(a) i and ii ,(b) ii & iv ,"(d) i, ii and iii ",(d) All of the above,B ,"8.18, for (i) CPWA 83 and (iii) CPWA 80 for 81 respectively ",,
