1. Departmental classified abstract is ,(a) collection of monthly transaction as whole relating to each civil department ,(b) collection of monthly transaction as whole relating to a major head of account coextensive with any particular department ,(c) collection of monthly transaction as whole relating to each civil department or a major head of account coextensive with any particular department ,(d) collection of monthly transaction as whole relating to each civil department or a major head of account not coextensive with any particular department,D ,
 2. Departmental classified abstract is prepared by ,(a) Concerned treasury ,(b) State Treasury ,(c) Accountant General ,(d) State Government,C ,
 3. Departmental classified abstracts should be maintained ,(a) Separate Departmental classified abstracts should be maintained for 'State' and UT' transactions ,(b) separate classified abstracts in respect of transactions on account of Central Pension occurred in the State/UT ,(c) Both A&B ,(d) None of the given,C ,
 4. Pick the correct ,(a) One Departmental Classified Abstract should ordinarily be maintained for each department or major head of account ,"(b) In the case of small departments or major heads under which the transactions are few, the transactions of two or more such departments or major heads, may be recorded in a single classified abstract at the discretion of State Government ",(c) Both A&B ,(d) None of the above,A ,
 5. Classified Abstracts ,"(a) are maintained separately for major heads relating to Debt, Deposit & Remittance ","(b) are not to be maintained separately for major heads relating to Debt, Deposit & Remittance ","(c) may or may not to be maintained separately for major heads relating to Debt, Deposit & Remittance as directed by the State Government ","(d) may or may not to be maintained separately for major heads relating to Debt, Deposit & Remittance as directed by the Accountant General.",B ,
 6. Transaction pertaining to DDR appearing in the Treasury Cash Accounts and List of Payments and in the Departmental and other abstracts shall be collected for the whole circle of account in ,(a) Abstract book ,(b) Detail book ,(c) Loan book ,(d) Suspense Book,B ,
 7. Recording in the Detail Book is made ,(a) Department wise ,(b) Treasury wise ,(c) Major head of account wise ,(d) All of the above,C ,
 8. Departmental Classified Abstract consists ,(a) four parts ,(b) five parts ,(c) six parts ,(d) seven parts,D ,
 9. Parts of Departmental Classified Abstract consists i. Details of Revenue and Details of Expenditure ii. Details of DDR receipt brought into accounts and Details of DDR disbursement brought into accounts iii. Details of recoveries from Payment vouchers iv. A proof side for receipt side and a proof side for expenditure side v. Details of lapsed deposit ,"(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, ii, iv and v ",(d) All of the above,A ,
" 10. Pick the correct regarding the Departmental Classified Abstract (i). A vertical column should be provided, in the prescribed order, for each detailed head opened under the major and minor heads relating to the abstract and a number of columns in their proper places for the total receipts of a treasury, etc., under each minor head (ii). In abstracts where transactions under more than one major head are included, there will be columns for major head totals also. (iii). Horizontally, a line should be provided in the abstract for each treasury (iv). There should be as many lines as the AG may deem necessary for entering receipts transferred through suspense slips from the Settlement Account and the abstracts of other Departments v. Finally a line for transfers adjusted through the Combined Transfer Ledger ","(a) i, ii, iii and iv ","(b) ii, iii, iv and v ","(c) i, ii, iv and v ",(d) All of the above.,D ,
 11. It helps to ensure that details of receipt and payment agree with the aggregate of the certified total of the treasury schedules of receipts and payments and of the suspense lips representing items transferred from other sections ,(a) Broadsheet ,(b) Proof Sheet ,(c) Trial Sheet ,(d) Detail Sheet,B ,
 12. Pick the incorrect one ,"(a) On receipt of the schedule and vouchers in the compilation group of the Treasury/Departmental Audit Sections, the Departmental Auditor, should compare the vouchers with the schedules, ascertain that none are missing and arrange them in the order money value ",(b) He should then proceed with the Compilation work and posting of the Departmental Classified Abstract. ,"(c) After the compilation for either schedule of payment is over, the Vouchers should be transferred to the Audit Group of the Treasury Departmental Audit Sections, Gazetted Audit Sections and other Audit Sections for audit. ",(d) None of the given,A ,
"13. In the case of heads of account where the transactions are limited and such direct posting is not attended with any risk or inconvenience, direct posting of the Consolidated Abstract without the intervention of Departmental Classified Abstracts may be allowed by ",(a) The Accounts Officer/Sr. Accounts officer in consultation with the Group Officer. ,(b) The Group Officer in consultation with the Accountant General ,(c) The Accountant General at his discretion ,(d) The Accountant General in with consultation of the CAG,C ,
 14. The amount of payments relating to each detailed head with the numbers of the vouchers pertaining thereto should be entered in a Compilation (not standardised) separately for each schedule except ,(a) Interest Head ,(b) Refund Head ,(c) Remittance Head ,(d) All of the above,B ,
 15. Pick the correct one ,"(a) The gross, and not the net amount of the voucher should be taken as the amount of the payment relating to the head concerned, even though certain charges on the voucher may have been placed under objection ",(b) when a recovery relating to an overpayment is made by short payment of an item debitable to the same detailed head the net amount should be taken ,(c) Both A&B ,(d) None of the given,C,
 16. To facilitate posting a guide letter or number or symbol may be assigned to ,(a) each major head under Sector ,(b) each minor head under major head ,(c) each detailed head under minor head ,(d) All of the above,C ,
 17. Deductions shown in payment vouchers as have not been initially credited by transfer to the receipt heads concerned in the treasury accounts should be recorded in ,(a) Part II Departmental Classified Abstract ,(b) Part III Departmental Classified Abstract ,(c) Part IV Departmental Classified Abstract ,(b) Part VII Departmental Classified Abstract,B ,
 18. Recoveries should not be treated as deduction ,(a) Recoveries which are creditable to any of the detailed heads under the major head to which the payments on a voucher relate ,"(b) Recoveries which are creditable to another major head, the Departmental Classified Abstract in respect of which is not separately maintained from the major head to which the payment on the voucher relates ",(c) Both A&B,(d) None of the above,C ,
" 19. Deduction shown in payment vouchers for subscriptions to Provident Funds, which have not been accounted for as receipts in treasury accounts should be recorded in an appendix in ",(a) AC I ,(b) AC II ,(c) AC III ,(d) AC IV,A ,
 20. The appendix with a certificate to the effect that the totals agree with the credits in the departmental abstract should then be passed on the ,(a) Book Section ,(b) Fund Section ,(c) Treasury Section ,(d) Audit Section,B ,
 21. Parts in which Appendix is sent to Fund Section ,(a) Four ,(b) Three ,(c) One ,(d) Two,D ,
 22. Parts in which Appendix is sent to Fund Section ,(a) the portion relating to the first schedule of payments being sent with a certificate of agreement after the compilation of the vouchers of that schedule ,"(b) the portion relating to the second schedule into which the total deductions of the first part also should be brought in order to give the monthly total, after completion of the departmental accounts. ",(c) Both A&B ,(d) None of the above,C ,
 23. Total of compilation book should agree ,"(a) deduction from the first schedule of payment the aggregate amount shown as deduction from vouchers for credit in Part three (3) to Provident Funds, etc. ",(b) deducting to the result the amount of payments on account of refunds of revenue ,(c) Both A&B ,(d) None of the above,A ,
" 24. When the entries against a treasury in the Compilation Book have been posted and proved, ","(a) the payments for the month at the treasury under each detailed head including ""Refunds"" should be brought together in the Compilation Book for the first schedule ","(b) the payments for the month at the treasury under each detailed head except ""Refunds"" should be brought together in the Compilation Book for the first schedule. ","(c) the payments for the month at the treasury under each detailed head including ""Refunds"" should be brought together in the Compilation Book for the second schedule ","(d) the payments for the month at the treasury under each detailed head except ""Refunds"" should be brought together in the Compilation Book for the second schedule",B ,
 25. The month's total payments as shown in the second schedule of payments should also be posted ,(a) in part (5) as a plus entry under the Remittance head 8782-Deptt. Adjusting of the Deptt. A/c ,(b) in part (5) as a Minus entry under the Remittance head 8782-Deptt. Adjusting of the Deptt. A/c ,(c) in part (5) as a plus entry under the suspense head 8658-Deptt. Adjusting of the Deptt. A/c ,(d) in part (5) as a Minus entry under the suspense head 8658-Deptt. Adjusting of the Deptt. A/c,D ,
 26. The total of Part 4 and Part 5 of abstract against each treasury will agree with the difference between the amount of a ,"(a) Recoveries from payment vouchers for credit to Provident Funds, etc. as posted in part one (1) ",(b) Payments at the treasury on account of refunds of revenue as posted in part three (3) ,(c) Both A&B ,(d) None of the given,D ,
