1. Pick the Incorrect one ,(a) The be the Chief Accounting Authority of Min/Dept. concerned is the secretary of the Ministry/Department ,(b) The Head of Accounting Organisation in the civil Min/Dept. is Pr. CCA/CCA/CA ,"(c) Responsible to prepare budget estimates, revised estimates etc. and their subsequent transmission to the budget division in the Ministry of Finance is CGA ",(d) None of the given,C ,
 2. Any addition to the list of cheque drawing DDOs included in the Scheme of Departmentalisation of Accounts of a Min/Dept. is however required to have the specific approval of ,(a) CGA ,(b) CCA ,(c) Financial Advisor ,(d) President on the advice of the CAG,A ,
 3. All receipts of the Min/Dept. shall also be finally accounted for in the books of the ,(a) Pr. Accts Officer ,(b) Pay & Accounts Officer ,(c) Chief Controller of Accounts ,(d) Accountant General,B ,
" 4. Under the departmentalized accounting system, the receipts and payments of each Min/Dept. of the GoI are handled by the RBI or the Public/Private Sector Bank/s nominated for the particular Min/Dept. by the ",(a) CGA on the advice of the CAG ,(b) CAG on the advice of the CGA ,(c) CGA on the advice of the RBI ,(d) RBI on the advice of the CGA,D ,
 5. The Section of the RBI that opens a bank account for Min/Dept. is ,"(a) Department of Government and Bank Account (Central Office), New Delhi ","(b) Department of Government and Bank Account (Central Office), Mumbai ","(c) Central Accounts Section, Nagpur ","(d) Government Accounts Department (Central Office), Nasik",B ,
" 6. In favour of any newly constituted PAO or the CDDO, as long as the account is to be opened in the accredited bank without any change involved in Focal Point Branch, the RBI, Department of Govt. and Bank Account (Central Office) Mumbai may be approached by ",(a) CGA ,(b) Pr. CCA/CCA ,(c) Financial Advisor ,(d) Any of the above,B ,
 7. Pick the correct one ,"(a) The Principal Accounts Officer will obtain supply of cheque books required for use by the PAOs from the Central Stamp Store, ISP, Nasik Road ",(b) The Principal Accounts Officer will obtain supply of cheque books required for use by the PAOs from the accredited bank concerned wherever so authorized by the CGA ,(c) Both A&B ,(d) None of the given,C ,
" 8. Where a Senior Most Asst/Jr. Accountant has been authorised to sign cheques for the specified period of the absence of the P.A.O, the PAO on his return will verify the bill passed or cheque drawn and renders a certificate to this effect to ",(a) Accountant General concerned ,(b) Pr. Account Officer ,(c) CGA ,"(d) CAS, RBI, Nagpur",B ,
" 9. When advice is issued to CAS, RBI for payment of loan and grants to State Govt. by the Pr. AO of Min/Dept., the head operated upon is ",(a) Dr. Final Head Cr 8658-Suspense RBI ,"(b) Dr. 8658-Suspense RBI, Cr. Final Head ","(c) Dr. 8658-Suspense RBI, Cr. 8675-RBI Deposit ","(d) Dr. 8675-RBI Deposit, Cr. 8658-Suspense RBI",A ,
" 10. All advices for payments of the type through issue of advices to CAS, RBI should be entered in a register in form ",(a) CAM 17 ,(b) CAM 17A ,(c) CAM 65 ,(d) CAM 65A,C ,
" 11. A separate proforma account called ""Departmentalised Ministries' Account in the General Ledger shall be maintained by ",(a) CGA ,(b) IA&AD ,(c) Link Cell of Public Sector bank ,"(d) CAS, RBI, Nagpur",D ,
" 12. The CAS, RBI, Nagpur shall furnish Min/Dept.-wise balance for each month to the ",(a) CGA ,(b) concerned Pr. CCA/CCA/CA ,(c) CAG ,(d) concerned Pay & Accounts Office,B ,
