1. Each item of receipt and payment occurring at a treasury shall be broadly classified in ,(a) single category ,(b) two categories ,(c) three categories ,(d) five categories,B ,
" 2. Each item of receipt and payment occurring at a treasury shall be broadly classified in two categories. One being Government wise-Central, UT or State government and other being department or such heads of receipts & expenditure wise as may be required by ",(a) Accountant General ,(b) State Government ,(c) Central Government ,(d) State Government in consultation with AG,A ,
 3. Transaction relating to which of the following shall be be treated as separate from other Central Civil Transactions. ,(a) Railways ,(b) Postal ,(c) Defence ,(d) All of the above,D ,
 4. Any transaction which cannot be allocated directly to any particular department or any of the prescribed head of classification shall be accounted for under ,(a) 8550-Unclassified Suspense ,(b) 8658- PAO Suspense ,(c) 8658- Unclassified Suspense ,(d) 8550-PAO Suspense,C ,
 5. The debits and credits booked to suspense head for Any transaction which cannot be allocated directly to any particular department or any of the prescribed head of classification will be cleared by adjustment under the appropriate head of account the by the ,(a) Accountant ,(b) Cashier ,(c) Treasury Officer ,(d) Accountant General,D ,
 6. Only some miscellaneous receipt and payment transactions relating to the Central Government (Civil) take place at State Treasuries due to ,(a) Emergence of Information and Technology ,(b) Departmentalisation of Accounts ,(c) Extension in nature of Govt. services ,(d) Privatisation of Govt. activities,B ,
 7. Transactions relating to the Central Government (Civil) taken place at State Treasuries shall be classified under ,(a) 8793 ,(b) 8658 ,(c) 8680 ,(d) 8443,B ,
" 8. In respect of payments, pertaining to Central Government Securities the debits shall be borne by ","(a) Pr. AO, Department of Expenditure ",(b) Pr. AO Department of Revenue ,"(c) Pr. AO, Department of Economic Affair ",(d) CGA,C ,
 9. In respect of Central (Civil) Pensions including Pension to High Court Judges and Freedom Fighters the debits will be raised against the ,"(a) PAO, Central Pension Processing Office ",(b) Pr. AO Home Affairs ,"(c) Pr. AO, Social Justice and Women Empowerment ","(d) Pr. AO, Department of Expenditure",A ,
 10. Transactions relating to other States is accounted for under Major Head 8793 when such transaction takes place at ,(a) a non-bank state treasury ,(b) a bank state treasury ,(c) whether a bank or non-bank treasury ,(d) Accountant General,C ,
 11. Transactions on behalf of a State Government originating in a Union Territory treasury shall be classified in the treasury accounts under ,(a) 8550 ,(b) 8793 ,(c) 8680 ,(d) 8658,D ,
 12. No transactions shall arise at treasuries pertaining to the Department of ,(a) Telecommunication ,(b) Railways ,(c) Postal ,(d) All of the above,A ,
 13. Transactions on account of payment of pensions on behalf of foreign Governments to their pensioners residing in India shall be classified under the Major Head ,(a) 8679- other than Government of Nepal ,(b) 8658 other than Government of Burma ,(c) 8679- other than Government of Burma ,(d) 8658 other than Government of Nepal,B ,
 14. Pick the correct one ,(a) Transactions on account of payment of pension to Burma Government Pensioners at the State Treasuries shall be classified under the Major Head 8679 ,"(b) Transactions on account of payment of pension to Burma Government Pensioners at the State Treasuries shall be settled by the AG from PAO, Ministry of Finance (Dept. of Eco. Affairs) ",(c) Both A&B ,(d) None of the given,A,
 15. Receipts and payments on account of the Reserve Bank originating in a State treasury in connection with Currency Chest shall be classified under ,(a) 8658 ,(b) 8670 ,(c) 8782 ,(d) 8999,C ,
