1. The Audit and Accounts Regulations has been issued in pursuance of ,(a) Section 21 of the DPC Act ,(b) Section 22 of the DPC Act ,(c) Section 23 of the DPC Act ,(d) Section 24 of the DPC Act,C,
2. The Audit and Accounts Regulations apply to ,(a) Officers and staff of the IA&AD ,"(b) All ministries and departments of the Union Government, State Governments and Union Territory Governments ","(c) Bodies, authorities and enterprises, to which the audit or accounts jurisdictions of the CAG of India extend ",(d) All of the given.,D,
3. The Audit Board is constituted by the CAG for performance audits of ,(a) Central Public Sector Undertakings ,(b) Government Companies ,(c) Ministries and Departments including autonomous bodies ,(d) All of the above,A,
4. Pick the incorrect one ,"(a) Audit Memorandum- a letter issued during the course of audit for eliciting information, confirmation of facts or any other matter considered necessary by the audit officer in conduct of audit ","(b) Statutory Audit Report- an audit report containing audit observations on the accounts of an authority, body or corporation whether or not required to be laid before the legislature ","(c) Audit note- a note issued by an audit office containing the results of audit conducted with reference to data, information or documents available in an audit or accounts office ","(d) Practice notes- the detailed instructions on audit or on accounting matters in consistent with the Regulations, standing orders and guidelines issued by the CAG.",B,
5. Submission of audit report by the CAG is governed by ,(a) Article 149 of the Constitution ,(b) Article 152 of the Constitution ,(c) Article 150 of the Constitution ,(d) Article 151 of the Constitution,D,
6. Who constitutes the Audit review Committee? ,(a) the Accountant General ,(b) the CAG ,(c) the Union Government ,(d) the State Government,A,
7. Audit review Committee is constituted for ,(a) review the implementation and working of Technical Guidance Support scheme ,"(b) advising the Accountant General on special and important audit topics pertaining to Central, State and UT governments ",(c) for finalisation of performance audits of State Public Sector Enterprises ,(d) All of the above,C,
"8. The broad objectives of audit are to ensure legality, regularity, economy, efficiency and effectiveness of financial management and public administration mainly through assessment as to ","(a) whether the financial statements are properly prepared, are complete in all respects and are presented with adequate disclosures ","(b) whether the provisions of the Constitution, the applicable laws, rules and regulations made thereunder and various orders and instructions issued by competent authority are being complied with ","(c) the extent to which an activity, programme or organisation operates economically, efficiently and effectively. ",(d) All of the above,D,
9. Audit has been categorised into three class. Pick the incorrect one ,(a) Compliance Audit ,(b) Financial Audit ,(c) Performance Audit ,(d) Supplementary Audit,D,
"10. The person in charge of any office or department, the accounts of which have to be inspected and audited by the Comptroller and Auditor General, shall afford all facilities for such inspection and comply with requests for information in as complete a form as possible and with all reasonable expedition under the provision of ",(a) Section 18 of DPC Acts ,(b) Section 19 of DPC Acts ,(c) Section 17 of DPC Acts ,(d) Section 15 of DPC Acts,A,
"11. Pick the correct one i. Auditors should ordinarily not become members of management committees and if advice is to be given, it should be conveyed as audit advice or recommendation and acknowledged clearly as such ii. Audit should be ready to advise the executive in such matters as accounting standards and policies, the form of financial statements and alternative ways of execution of policies to attain efficiency, effectiveness and economy. iii. There is no power of direction by the executive in relation to the performance of the audit mandate. iv. The CAG may, in special circumstances and if so required, utilise specialised skills from external sources in carrying out an audit or accounts task ","(a) i, ii and iii ","(b) i, ii and iv ","(c) i, iii and iv ",(d) All of the above,C,
12. Extent of audit means ,(a) the quantum of audit including the period ,(b) the units of the auditable entity ,(c) the extent of test check and the boundaries of audit enquiry to be covered in an audit. ,(d) All of the above,D,
"13. When circumstances so warrant, dispense with any part of detailed audit of any accounts or class of transactions and apply such limited check in relation to such accounts or transactions as he may determine under the provision of ",(a) Section 23 of DPC Act ,(b) Section 24 of DPC Act ,(c) Section 22 of DPC Act ,(d) Section 26 of DPC Act,B,
14. Audit will be conducted ,"(a) with reference to such accounts, vouchers and records as may be received in the audit office and/or in the accounts office and may include online data, information and documents of the auditable entity ",(b) in the office of the auditable entity or at the site where the relevant records for audit are available or at such other place as may be decided by Executive/Auditee unit. ,(c) Both a & b ,(d) None of the given,A,
"15. The CAG or any officer so authorised shall give due consideration to a request for special audit of a programme, project or organisation within the audit jurisdiction provided that every such request i. is made with the approval of the Cabinet/Chief Secretary to Government. ii. shall state the justification and reasons that necessitate a special audit, including the results of any preliminary inquiry, investigation or study that may have already been conducted; and iii. specify the period to be covered in the special audit. iv. The decision of the CAG or any officer so authorised in regard to the special audit shall be final. ","(a) i, ii and iii ","(b) i, ii and iv ","(c) ii, iii and iv ",(d) All of the above,C,
16. The norms which the auditors are expected to follow in conduct of audit and provide guidance to the auditor to help determine the auditing steps and procedures that should be applied in audit and constitute the criteria or the yardstick against which quality of audit results is evaluated ,(a) Audit norms ,(b) Audit Standards ,(c) Audit Manual ,(d) Accounting Standards,B,
17. The auditing standards include the i. Basic postulates ii. General standards iii. Field standards iv. Reporting standards ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, iii and iv ",(d) All of the above,D,
