1. The audit mandate of IA&AD is derived from the Article(s) ______ of the Constitution of India ,(A) 149 ,(B) 150 ,(C) 151 ,(D) 149 & 151,D,
"2. The CAG’s Regulations on Audit and Accounts, 2007 define compliance audit as- ","(A) an assessment as to whether the provisions of the Constitution of India, applicable laws, rules and regulations made there under and various orders and instructions issued by the competent authority are being complied with. ","(B) Compliance audit deals with the degree to which the audited entity follows rules, laws and regulations, policies, established codes, or agreed upon terms and conditions, etc. Compliance auditing may cover a wide range of subject matters. ","(C) Audit is not an end in itself, but an indispensable part of a regulatory system whose aim is to reveal deviations from accepted standards and violations of the principles of legality, efficiency, effectiveness and economy of financial management early enough to make it possible to take corrective action in individual cases, to make those accountable accept responsibility, to obtain compensation, or to take steps to prevent or at least render more difficult, such breaches. ",(D) All of the above.,A,"B-ISSAI 4100, C- Lima declaration"
"3. Public sector in relation to audit refers to the sector that is controlled by Central, State and Local Governments. Public sector entities include- ","(A) all Central and State Government Ministries, Departments, Directorates/ Commissionerates. ",(B) all other entities/bodies owned/controlled by the Central and/or State Governments. ,(C) Government companies and corporations. ,(D) All of the above,D,
4. Compliance audit is concerned with regularity and propriety audit. What is regularity? ,"(A) general principles of sound public sector financial management and ethical conduct have been adhered to, legality and competence are ensured ","(B) the subject matter of the audit adheres to formal criteria emanating from the relevant laws, regulations and agreements which are applicable to the auditable entity. ","(C) examination of the rules, regulations, orders and instructions for their consistency with each other. ",(D) All of the above,B,
5. Compliance audit is concerned with regularity and propriety audit. What is propriety? ,"(A) general principles of sound public sector financial management and ethical conduct have been adhered to, legality and competence are ensured ","(B) the subject matter of the audit adheres to formal criteria emanating from the relevant laws, regulations and agreements which are applicable to the auditable entity. ","(C) examination of the rules, regulations, orders and instructions for their consistency with each other. ",(D) All of the above,A,
6. Find the incorrect one- ,"(A) Compliance audit includes an examination of the rules, regulations, orders and instructions for their legality, adequacy, transparency, propriety and prudence and effectiveness. ","(B) Compliance audit includes every matter which, in the judgment of the auditor, appears to involve significant unnecessary, excessive, extravagant or wasteful expenditure of public money and resources only if it is not in compliance with the rules, regulations and orders. ","(C) It also includes audit of sanctions to expenditure, which is guided by the principles of legality, propriety, competence of the sanctioning authority, adherence to the criteria for sanction, availability of funds, determination of physical targets, objects of expenditure and the accounting procedure. ","(D) Besides verifying compliance by the auditable entities to the applicable regulatory framework, compliance audit is also expected to examine the regulatory framework for consistency and raise questions on grounds of propriety also.",B,despite compliance
7. Which is not a basic element of compliance audit? ,"(A) Three parties in the audit i.e. the auditor, the responsible party, intended user ",(B) Subject matter C Authorities and criteria to assess the subject matter ,(D) Scope of the audit,,D,
8. ______ are the benchmarks used to evaluate or measure the subject matter consistently and reasonably. ,(A) Criteria ,(B) Scope ,(C) Subject matter ,(D) Authorities,A,
"9. What is/are, typically the source of the criteria? ",(A) Legislation ,(B) Authority ,(C) CAG ,(D) Subject matter,B,
10. Who identifies criteria on the basis of the relevant authorities? ,(A) Government ,(B) HoD of auditee ,(C) Auditor ,(D) responsible party or intended users,C,
11. ________ is a measure of the quantity of audit evidence. ,(A) Sufficiency ,(B) Appropriateness ,(C) Completeness ,(D) Objectivity,A,
"12. ________ relates to the quality of evidence – its relevance, validity and reliability. ",(A) Sufficiency ,(B) Appropriateness ,(C) Completeness ,(D) Objectivity,B,
13. The quantity of evidence required depends on- ,(A) the audit risk ,(B) the quality of such evidence ,(C) both of the above ,(D) None of the above,C,
14. Which one is incorrect? ,"(A) The higher the quality, lesser the evidence that may be required ","(B) The greater the risk, more the evidence that may be required ","(C) A matter can be judged material if knowledge of it would be likely to influence the decisions of the intended users. ; Auditors should prepare a report based on the principles of completeness, objectivity, timeliness and a contradictory process",(D) Determining materiality is a matter of professional judgement and does not depend on the auditor’s interpretation of the users’ needs.,D,depends upon
15. The principle of ______ requires the auditor to apply professional judgement and scepticism in order to ensure that all reports are factually correct and that findings or conclusions are presented in a relevant and balanced manner. ,(A) completeness ,(B) objectivity ,(C) timeliness ,(D) a contradictory process,B,
16. The principle of __________ implies checking the accuracy of facts with the auditable entity and incorporating responses from responsible officials as appropriate. ,(A) completeness ,(B) objectivity ,(C) timeliness ,(D) a contradictory process,D,
"17. While the various departments/sectors are accountable for policy formulation and implementation, the organisational hierarchies within each Department /sector are typically organised as Directorates/Commissionerates, zones, divisions, circles, ranges etc., and further down to the last mile implementing agencies. All these units together implement the Government policy and expend public money or collect public revenues and can be called as the- ",(A) audit universe ,(B) audit unit ,(C) auditable entity ,(D) any of the above [SAS Mains 2018],A,
18. Audit universe is required to be broken down into ______ for the purpose of planning and scheduling audits. A top down and risk based approach to identification of it intends to place the Department/Sector as the centre piece of the audit focus and provide a scientific mechanism of defining it. ,(A) implementing agency ,(B) audit unit ,(C) auditable entity ,(D) sub-Divisional unit,B,
"19. An Audit Unit is defined as a unit, which has following attributes- ",(A) substantial devolution of administrative and financial powers ,(B) functional autonomy ; operational significance with reference to achievement of objectives of the apex auditable entity ,(C) only one of the above ,(D). at least one of the above,D,
