1. Who is the statutory auditor with respect to accounts of the Government Companies?,(a) CAG,(b) Board of Management,(c) Chartered Accountant appointed by the CAG,(d) Chartered Accountant appointed by the Board of Management,C,
 2. Financial Statement of an autonomous body includesi. Trial Balance ii. Trading and Profit Accountiii. Income and Expenditure Accountiv. Balance Sheet ,(a) iii and iv ,"(b) ii, iii and iv","(c) i, iii and iv ",(d) All of the above,A,
 3. Financial statements include Appropriation and Finance Accounts pertaining toi. Central Governmentii. State Governmentiii. Union Territoriesiv. Externally Aided Project ,(a) All of the above,"(b) ii, iii and iv","(c) i, ii and iv ","(d) i, ii and iii",D,
" 4. Audit of all the expenditure from Consolidated Fund, Contingency Fund and Public Accounts is governed by which Section of the DPC Act, 1971? ",(a) Section 11 ,(b) Section 13,(c) Section 15 ,(d) Section 16,B,
 5. The audit of the accounts of authorities and bodies receiving financial assistance in the form of Grant-in-aid/loans from Government is carried out in accordance with the provision of ,(a) Section 13 and 16 of DPC Act ,(b) Section 14 and 15 of DPC Act,(c) Section 17 and 18 of DPC Act ,(d) Section 19 and 20 of DPC Act,B,
 6. Which section of the DPC Act deals with the audit of receipt of the Government?,(a) Section 13 ,(b) Section 15,(c) Section 16 ,(d) Section 19,C,
 7. Pick the correct one i. Financial Attest Audit is primarily concerned with expression of audit opinion on a set of financial statement ii. FAA includes Examination and evaluation of financial records and expression of opinion on Financial Statements iii. FAA includes audit of financial system and transactions including evaluation of compliance with applicable statutes and regulations which affect the accuracy and completeness of accounting records. iv.FAA includes audit of internal control and internal audit functions that assist in safeguarding assets and resources and assures the accuracy and completeness of accounting records.,"(a) i, ii and iii ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above.,D,
" 8. Which type of audit seeks to address the issues of risks to regularity, propriety and financial conrol?",(a) Transaction Audit,(b) Financial Audit,(c) Performance Audit,(d) All of the above.,A,
" 9. i. The opinion on financial statements provides a positive annual assurance on the financial statements to the Parliament or Legislature. ii. Transaction Audit conducted by the IA&AD is not linked to a specific assurance on an individual set of financial statements in a particular year.iii. Transaction Audit does not result in a formal audit opinion on financial statements but rather in reports either to management or Parliament or Legislature iv. Transaction Audit focuses on the Government Department or its units rather than on the financial statementsv. Financial Attest Audit does not cover all the units of Government Departments every year, but seeks to cover them over a period of time","(a) ii, iii, iv and v ","(b) i, iii, iv and v ","(c) i, ii, iii and iv ",(d) All of the above.,C,
" 10. State whether true or false:  Transaction Audit seeks to cover risks of significant irregularity, which may not be material for the purpose of qualifying audit opinion on the financial statements",(a) True,(b) False,,,A,
