"1. In respect of statutory corporations of which the CAG is the sole auditor, the AG concerned issues ",(a) Annual Audit Report ,(b) Separate Audit Report ,(c) Management Letter ,(d) Summary of Comments,B,
2. The Accounts and Entitlement functions and the Audit functions are discharged by separate Accountants General w.e.f ,(a) 1st March 1984 ,(b) 1st April 1984 ,(c) 1st April 1982 ,(d) 1st March 1983,A,
"3. Some important source documents to be checked in Central Audit are i. Contingent Vouchers, List of payments, Monthly accounts of Public Works and Forest Divisions and Schedules and Schedule Dockets accompanying monthly accounts. ii. Contract agreements and Sanctions to expenditure, Certificates of payments and Proforma invoices iii. Previous years’ audit finding and their replies iv. Financial Rules and Orders affecting expenditure and other transactions issued by Government. v. Establishment bills and other bills relating to entitlements of government servants, such as travelling allowance, reimbursement of expenses on medical treatment, advances, etc ","(a) i, ii, iii and iv ","(b) i, ii, iii and v ","(c) i, ii, iv and v ",(d) All of the above,C,
4. Central audit is conducted ,(a) every month ,(b) every quarter ,(c) every six month ,(d) annually,A,
"5. i. Central Audit will be carried out by Central Audit Parties of the Audit Office in the Accounts and Entitlement office. ii. Central Audit Support Sections in the Audit Offices will coordinate and pursue the work of the Central Audit Parties and perform all support functions, such as preparation of audit programmes, audit of sanctions, etc., and discharge follow-up responsibilities like maintenance of objection books, selection of potential material for Audit Reports, etc. iii. Generally, an Audit Officer will be in charge of each Central Audit Support Section, while an Assistant Audit Officer will be responsible for two Central Audit Parties. iv. With a view to ensuring control over unauthorised and excess expenditure and to enabling the State Administration to exercise adequate control over their Annual budget, the Monthly Appropriation Accounts and Finance Accounts prepared by the Accountant General (A&E) should also be checked by the Central Audit Supporting Section. ","(a) ii, iii and iv ","(b) I, iii and iv ","(c) i, ii and iii ",(d) All of the above,D,
6. Central Audit of vouchers pertaining to a month should be conducted ,(a) by 7th of the following month ,(b) by 10th of the following month ,(c) by 15th of the following month ,(d) as soon as the monthly accounts are closed and the posting of the vouchers in the registers prescribed is completed by the Accounts and Entitlement office,D,
7. Any departure from general instruction about the time schedule of the conduct of central audit is permissible only in special circumstances and with the sanction of ,(a) Group Officer in charge of the Central Audit Support Section ,(b) the Accountant General (A & E) ,(c) the Accountant General (Audit) ,(d) Both AG (A&E) and AG (Audit),C,
"8. As an exception, audit of which of the following need not be kept in abeyance till such posting is completed? ",(a) Contract Agreements ,(b) vouchers that are required to be posted in Works Registers ,(c) Establishment bills and other bills relating to entitlements of government servants ,(d) All of the above.,B,
9. State whether true or false The vouchers are to be taken from the office of the Accountant General (A&E) to the office of the Accountant General (Audit) for the purpose of Central Audit ,(a) True ,(b) False,,,B,
10. Pick the incorrect one ,"(a) Member of the Central Audit Party, including the Assistant Audit Officer, will be collectively responsible for the duties entrusted to the party. ","(b) Normally, Auditors should be able to finalise audit memos on their own, however, they may seek the guidance of the Assistant Audit Officer on important or doubtful questions. ","(c) The Assistant Audit Officer will ensure that all members of the Central Audit Party perform their duties promptly, regularly and efficiently. ","(d) Besides selecting, on the spot, the vouchers and records to be audited and reviewed, the Assistant Audit Officer will be responsible for the audit as a whole, guiding the staff under him and always keeping himself posted with the progress of audit.",A,
"11. Will should determine the extent of independence to be allowed to each member of the party with reference to his experience, qualities and capacity to act independently? ",(a) the Accountant General ,(b) the Group Officer ,(c) the Audit Officer ,(d) The Assistant Audit officer,D,
12. Final audit memos will be sent to the Central Audit Support Section after having been vetted by ,(a) the Group Officer ,(b) the Accountant General ,(c) The Assistant Audit officer ,(d) the Audit Officer,C,
"13. Verification of voucher in support of payment to ensure that i. The vouchers should be in the prescribed form, in original and duly acknowledged by the payees in token of receipt. ii. Vouchers should be numbered with reference to the Schedule of List of Payments, Schedule Dockets or other accounts, as the case may be. iii. The vouchers should bear a pay order signed by the Treasury Officer where the vouchers are encashed at treasuries, or by the concerned disbursing officer in other cases. iv. No bills pertaining to pay or any allowance not claimed within one year of its becoming due or such other period as may be prescribed in this behalf should have been admitted for payment without the sanction of the Accountant General (A & E) in cases where the rules of the Government so prescribe. ","(a) ii, iii and iv ","(b) i, iii and iv ","(c) i, ii and iv ",(d) All of the above.,D,
14. What is NIL payment voucher? ,(a) Detailed contingent bill submitted against settlement of Abstract Contingent Bill ,(b) Payments of money by transfer from the Consolidated Fund to the Public Account ,(c) Payments of money by transfer from the Consolidated Fund to the Contingency Fund ,(d) Payments of money by transfer from the Public Account to the Consolidated Fund,B,
15. Report on the scrutiny of NIL payment voucher is sent every month to ,(a) Report Section ,(b) State Government ,(c) CAG HQ ,(d) Government Accounts Section,A,
"16. If a particular voucher due for audit could not be audited either due to its non-receipt, or of its supporting documents, it should be recorded in a suitable register and watched for subsequent audit. Review the pending items in the register is done ",(a) every month by the Branch Officer and the Group Officer ,(b) every month by the Branch Officer and every quarter by the Group Officer. ,(c) every month by the Branch Officer and every six month by the Group Officer. ,(d) every quarter by the Branch Officer and annually by the Group Officer.,B,
"17. Pick the correct one in respect of certificate of payment in lieu of vouchers i. Cases where certificates of payments are received in lieu of lost vouchers or payees’ receipts should be audited in detail, as a special case, in the same manner as the original vouchers, if they have been selected for audit. ii. Acceptance of certificates of payments in lieu of wanting paid vouchers will be done, in accordance with the monetary limits prescribed, by the Branch Officer or Group Officer in the Accounts and Entitlement office after exercising the primary accounting checks in the same manner as in the case of original vouchers. iii. Particulars of certificates of payments so accepted will be recorded in a register maintained for the purpose. iv. Unusual features or malafides related to the non-production of original vouchers noticed in the course of audit of these certificates should be brought to the notice of the Accountant General (Audit) for further investigation, if considered necessary. ","(a) i, ii and iii ","(b) i, iii and iv ","(c) ii, iii and iv ",(d) All of the above.,C,
"18. Who will make arrangements for the receipt, scrutiny and processing of sanctions and maintenance of files/folders in a regular and systematic manner in the Central Audit Support Sections? ",(a) Assistant Audit Officer ,(b) Group Officer ,(c) Audit Officer ,(d) The Accountant General (Audit),D,
19. The Central Audit Support Sections shall communicate objections arising out of audit of sanctions to ,(a) the AG (A &E) with copies to concerned departments ,(b) the departments concerned with copies to the AG (A&E) ,(c) the State Government with copies to concerned departments ,(d) None of the given.,B,
