1. Which one is not correct regarding Performance Audit? ,(A) These guidelines are prescriptive in nature. ,"(B) These are intended to supersede the professional judgement of the Accountant General, relevant to the individual sectors of entity operations and within each sector, to the individual subjects. ",(C) The Accountant General is expected to make situation or subject specific adjustments to the provisions set out in these guidelines. ,"(D) However, Accountants General will be expected to document the rationale of all significant departures from the guidelines and obtain authorisation from the competent authority.",B,not intended to
"2. Performance audit is an independent assessment or examination of the extent to which an organisation, programme or scheme operates economically, efficiently and effectively. Which Regulation of Regulations on Audit and Accounts, 2007 is quoted above? ",(A) 48 ,(B) 58 ,(C) 68 ,(D) 78 [SAS Mains 2018],C,
3. Which is not among the 3 Es in Performance Audit? ,(A) economy ,(B) enthusiasm ,(C) efficiency ,(D) effectiveness,B,
"4. Minimising the cost of resources used by acquiring them in due time, appropriate quantity and quality and at the best price is _____ ",(A) economy ,(B) efficiency ,(C) effectiveness ,(D) None of the above,A,
"5. What determines the relationship between resources employed and outputs delivered; in terms of quantity, quality and timing? ",(A) economy ,(B) efficiency ,(C) effectiveness ,(D) None of the above,B,
6. _________ is meeting the objectives set and achieving the intended results. ,(A) economy ,(B) efficiency ,(C) effectiveness ,(D) None of the above,C,
7. Find the incorrect. ,(A) Effectiveness is essentially a goal-attainment concept. ,"(B) When focusing on effectiveness, it is important to distinguish between the immediate outputs or products and the ultimate impacts or outcomes. ",(C) Outcomes will often be influenced by external factors and may require short-term rather than long term assessment. ,"(D) Performance Audit assess and establish with evidence whether the observed direct or indirect social and economic impacts of a policy are due to the policy or to other causes. ;  Performance Audit assess whether the programme complements, duplicates, overlaps or counteracts other related programmes.",C,long-term rather than short-term assessment
"8. By imposing the question- ‘Are things being done in the right way?’, performance auditing is mainly concerned with aspects of- ",(A) economy ,(B) efficiency ,(C) effectiveness ,(D) A or B,D,
"9. By imposing the question- ‘Are the right things being done?’, performance auditing is mainly concerned with aspects of- ",(A) economy ,(B) efficiency ,(C) effectiveness ,(D) A or B,C,
10. Which one is not correct? ,(A) The performance auditor needs to examine whether the means chosen represent the most or at least a reasonable economical use of public funds. ,"(B) It questions the intentions and decisions of the legislature, but examines whether any shortcomings in the laws and regulations or their way of implementation have prevented the specified objectives from being achieved ","(C) The performance auditor is not normally expected to provide an overall opinion on the achievement of economy, efficiency and effectiveness on the level of the audited entity in the same way as the opinion on financial statements. ","(D) Performance auditing is a means to an end and not an end by itself. ;  Performance audit should be aimed at adding value to the Management by way of reliable, objective and independent information, highlighting the shortcomings in programme planning, implementation, information systems affecting the outputs and outcome specifically and quality of expenditure or management generally.",B,does not question
11. Audit objectives could be- ,(A) descriptive (How are the things?) ,(B) normative (are things as they ought to be?) ,(C) analytical (why are things not as they ought to be?) ,(D) All of the above,D,
12. Performance auditing generally follows one of three approaches- ,(A) system-oriented approach ,(B) result-oriented approach ,(C) problem-oriented approach ,(D) All of the above,D,
"13 What examines the proper functioning of management systems, e.g. financial management systems? ",(A) system-oriented approach ,(B) result-oriented approach ,(C) problem-oriented approach ,(D) All of the above,A,
14. Which assesses whether outcome or output objectives have been achieved as intended or programmes and services are operating as intended? ,(A) system-oriented approach ,(B) result-oriented approach ,(C) problem-oriented approach ,(D) All of the above,B,
