"1. According to the UN, Public Private Partnerships which aim at financing, designing, implementing and operating public sector facilities and services will have three main characteristics, except- ",(A) Long term (sometimes up to 30 years) service provisions ,(B) The transfer of risks to the private sector ,(C) Different forms of long-term contracts drawn up between legal entities and public authorities ,(D) long-term arrangements in which the governments purchases services under a contract either directly or by subsidizing supplies to consumers,D,World Bank definition
2. Which one is not correct? ,(A) The concept of PPPs is of recent origin. ,"(B) It started with the initiative of the Conservative Government in the United Kingdom under Prime Minister Margaret Thatcher, who actively promoted what is known as ‘Private Finance Initiative’ (PFI). ",(C) The idea was to make private contractors meet the cost of constructions awarded to them in return for the public authorities agreeing to rent back the finished projects to provide public services. ,"(D) Like PFIs, PPPs are projects jointly undertaken by governments, public sector bodies and entities with private sector partners to provide infrastructure services of the required / improved quality to the public and consumers at large and involves balanced sharing of the risks and benefits.",D,Unlike PFIs
3. PPPs will have the following ingredients. Find the wrong one-- ,(A) government departments or agencies and bodies and entities under them on the one part and selected private sector parties on the other will enter into valid and legal contracts ,"(B) the public sector will, while transferring the responsibility to design, construct and/or operate the project to the private sector, transfers the overall responsibility to provide the public service ",(C) the private sector will bring in the required finance either fully or substantially to complete the project and to operate it ,"(D) with the public sector providing right to revenue likely guarantees to financiers or viability gap funding / annuity in appropriate cases  (E). the public sector will assign the right to collect revenues arising from the project to the private sector for a defined period based on demand projections, or pay grants or annuity and/ or agree to share any surplus, subject to a balanced sharing of the risks and gains",B,retains the overall responsibility to provide the public service
"4. Broadly, PPPs could be categorized into two categories. Find the correct one- I. Institutionalized PPPs II. Contractual PPPs III. Government Sector PPPs IV. Private Sector PPPs ",(A) I & II ,(B) I & III ,(C) II & III ,(D) III & IV,A,
5. Which one is not correct about PPPs? ,(A) Institutional PPPs are usually a joint venture (JV) between public and private sector stakeholders to carry out PPP projects by sharing the risks and to provide public services on a long term basis. ,(B) The Noida Toll Bridge Company (NTBC) and the Bangalore International Airport Limited (BIAL) are examples of Contractual PPPs. ,"(C) Contractual PPPs fall under the concession model, in which case a facility is given by the public sector unit concerned to a private sector partner which usually designs, constructs and operates the PPP project for a given period of time. ",(D) Under both the categories the users pay for the facility availed and such charges accrue to the JV or the private sector partner.,B,Examples of Institutionalized PPPs
"6. Which is not correct about Build, Operate and Transfer (BOT) model of PPP? ","(A) Under this category, the private partner is responsible to design, build, operate (during the contracted period) and transfer back the facility to the public sector. ",(B) The private sector partner is expected to bring the finance for the project and take the responsibility to construct and maintain it. ,(C) The public sector will either pay a rent for using the facility or allow it to collect revenue from the users. ,(D) The national highway projects contracted out by NHAI under PPP mode is an example. E. None of the above,D,
"7. Which is not correct about Lease, Operate and Transfer (LOT) model of PPP? ","(A) A facility, which already exists and is under operation, is entrusted to the private sector partner for efficient operation, subject to the terms and conditions decided by mutual agreement. ",(B) The contract will be for a given but sufficiently long period and the asset will be transferred back to the government at the end of the contract. ,"(C) Leasing a school building or a hospital to the private sector along with the staff and all facilities by entrusting the management and control, subject to pre-determined conditions could come under this category. ",(D) None of the above,D,
"8. Which one is a variation of the BOT model, except that the ownership of the newly built facility will rest with the private party during the period of contract. This will result in the transfer of most of the risks related to planning, design, construction and operation of the project to the private partner. ","(A) Build, Own, Operate (BOO) ","(B) Build, Own, Operate and Transfer (BOOT) ","(C) Design, Build, Finance and Operate (DBFO) ","(D) Design, Build, Finance, Operate and Maintain (DBFOM)",A,
"9. In which PPP model, the facility / project built under PPP will be transferred back to the government department or agency at the end of the contract period, generally at the residual value and after the private partner recovers its investment and reasonable return agreed to as per the contract? ","(A) Build, Own, Operate (BOO) ","(B) Build, Own, Operate and Transfer (BOOT) ","(C) Design, Build, Finance and Operate (DBFO) ","(D) Design, Build, Finance, Operate and Maintain (DBFOM)",B,
"10. In which PPP model, the private party assumes the entire responsibility for the design, construct, finance, operate and maintain the project for the period of concession? ","(A) Build, Own, Operate (BOO) ","(B) Build, Own, Operate and Transfer (BOOT) ","(C) Lease, Operate and Transfer (LOT) ","(D) Design, Build, Finance, Operate and Maintain (DBFOM)",D,
"11. The right including the exclusive right, licence and authority granted to the private partner or a consortium or Joint Venture Corporation(JVC) formed by the parties to the Agreement, by the Government or a public sector partner under the relevant Agreement to construct, operate, and maintain the project for a mutually agreed period ( concession period) commencing from an appointed date and to receive grant, annuity at pre-determined levels and or to collect user charges, tariff or toll as may be for providing services from the project is called- ",(A) Contractual PPP Agreement ,(B) operations concession (OC) ,(C) Concession ,(D) Shareholder Agreement,C,
"12. The PPP agreements which authorize the private partner to recover its investments and expected returns on investments through concessions granted for a certain period, computed on the basis of demand projections and growth, are called- ",(A) Contractual PPP Agreement ,(B) Operations Concession (OC) ,(C) Concession ,(D) Shareholder Agreement,B,
"13. In PPP model, the public sector (department or agency) which is responsible to provide the service to the public and collect revenue by way of user charges, toll, tariff etc., assigns its legal or statutory right to the private partner in return for the latter undertaking the responsibility to implement the project and maintain the required quality? The concession may be by collecting tolls and user charges or by the public sector making periodical payments of annuities or monthly / quarterly/ half-yearly charges on certain assumed basis, like shadow tolls etc. ","(A) Build, Own, Operate (BOO) ","(B) Build, Own, Operate and Transfer (BOOT) ","(C) Design, Build, Finance and Operate (DBFO) ",(D) Operations Concession (OC),D,
14. Which PPP arrangement commonly followed in our country? ,(A) Joint Venture (JV) ,"(B) Build, Operate and Transfer (BOT) ","(C) Build, Own, Operate and Transfer (BOOT) ",(D) Operations Concession (OC),A,
15. Which one is correct about Joint Ventures (JV)? ,(A) The private sector body is encouraged to form a joint venture company (JVC) along with the participating public sector agency with the latter holding only minority shares. ,"(B) The private sector body will be responsible for the design, construction and management of the operations targeted for the PPP and will also bring in most of the investment requirements. The public sector partner’s contribution will be by way of fixed assets at a pre-determined value, whether it is land, buildings or facilities and /or it may contribute to the shareholding capital. ",(C) It may also provide assurances and guarantees required by the private partner to raise funds and to ensure smooth construction and operation. The public service for which the joint venture is established will be provided by the entity on certain pre-set conditions and subject to the required quality parameters and specifications. ,(D). All of the above,D,
16. What distinguishes each type of PPP model from one another? ,(A) the degree of risk borne by the private sector partner ,(B) responsibility borne by the private sector partner ,(C) mode of funding ,(D) A & B,D,
"17. True or False : The responsibility and accountability to deliver the goods and services efficiently remains with the public sector in PPP, On the other hand, in privatization, not only the ownership is transferred to the private sector, but the accountability is also shifted totally to the purchaser. ",(A)True,(B) False,,,A,
18. The highest authority which lays down the PPP policy and procedures and considers and approves individual PPP projects is- ,(A) Committee on Infrastructure (CoI) ,(B) Public Private Partnership Appraisal Committe (PPPAC) ,(C) Empowered Committee ,(D) Min. of Finance (MoF),A,
19. Who is the chairman of CoI? ,(A) Prime Minister ,(B) Finance Minister ,(C) Deputy Chairman of the Planning Commission ,(D) Ministers in charge of the respective infrastructure Ministry,A,
20. Committee on Infrastructure (CoI) includes as members- ,(A) Prime Minister and Finance Minister ,(B) Deputy Chairman of the Planning Commission and Ministers in charge of the respective infrastructure Ministry ; ,(C) two members of the Planning Commission ,(D)  All of the above,D,
"21. The institutional to carry out comprehensive and meticulous due diligence to address the risks attached to PPP project proposals and purportedly addresses the need to secure ‘good value in terms of performance standards, user concerns, public revenue and contingent liabilities’- ",(A) Committee on Infrastructure (CoI) ,(B) Public Private Partnership Appraisal Committee (PPPAC) ,(C) Empowered Committee ,(D) Public Private Partnership Appraisal Unit (PPPAU),B,
22. Members of PPPAC are- ,"(A) Secretary, Department of Economic Affairs – Chairperson. ","(B) Secretary, Planning Commission and Secretary, Department of Expenditure. ","(C) Secretary, Department of Legal affairs and Secretary, Department sponsoring the Proposal ",(D) All of the above,D,
23. The PPPAC will be serviced by a Special Cell set up for the purpose in the- ,(A) Department of Expenditure (DoE) ,(B) Department of Economic Affairs (DEA) ,(C) Planning Commission ,(D) respective infrastructure Ministry,B,
