"1. The financial powers of the Government, which have not been delegated to a subordinate authority, shall vest in the ",(a) Head of the Department ,(b) Head of the accounting organisation of a Ministry/Department ,(c) Parliament ,(d) Ministry of Finance,D,Rule 23 GFR 2017.,
2. Annual Financial Statement or the ï¿½Budget contains ,(a) Estimated receipts and expenditure of the Central Government for ensuing financial year. ,(b) Actual receipts and expenditure of the Central Government for ensuing financial year. ,(c) Estimated and actual receipts and expenditure of the Central Government for ensuing financial year. ,(d) Estimated and actual receipts and expenditure of the Central Government for ensuing 3 financial year.,A,Rule 43(1) GFR 2017,
3. The numerical digits that a government transaction consists of ,(a) 13 ,(b) 11 ,(c) 15 ,(d) 9,C,Rule 78 GFR 2017,
4. Pick the correct one ,"(a) A device intended to facilitate the Designated Officer thereof to credit receipts into and effect withdrawals directly from the account, subject to an overall check being exercised by the bank is called Personal Deposit Account ","(b) Personal Deposit Account is located is in Public Debt, Loans and Advances Section of Division II of Consolidated Fund ",(c) Both A&B ,(d) None of the given,A,Rule 96 & 97 GFR 2017. PDA is located in Public Account,
5. Estimates for works containing the detailed specifications and quantities of various items should be prepared on the basis of ,(a) Priced Vocabulary of Stores ,(b) Issue Rate ,(c) Market Rate ,(d) Schedule of Rates,D,Rule 136 (1) (iv) GFR 2017,
"6. Where it is not feasible for Ministry/Department to formulate detailed specifications or identify specific characteristics for the procurement, without receiving technical inputs from bidders, bidding system adopted is ",(a) Two bids system ,(b) Two Stage-bidding system ,(c) Multi-Stage bidding system ,(d) Composite bidding system,B,Rule 164 (a) (i) GFR 2017,
7. The Ministry or Department should issue advertisement on Central Public Procurement Portal and its own website where the estimate cost of non-consulting service is ,(a) above ? 10 lakh ,(b) ? 10 lakh and above ,(c) above ? 25 lakh ,(d) ? 25 lakh and above,A,Rule 201 (ii) GFR 2017,
"8. While disposing of the surplus goods, value and prices that should be worked out is/are ","(a) the Original Value, the Book Value and the Guiding price ","(b) the Book Value, the Guiding price and the Reserved Price ","(c) the Original Value, the Guiding price and the Reserved Price ","(d) the Original Value, the Book Vale, the Guiding price and the Reserved Price",B,Rule 217 (iii) GFR 2017,
"9. The various classes of contracts and assurances of property, which may be executed by different authorities, are issued by ",(a) the Ministry of Finance ,(b) the Pubic Account Committee ,(c) the Ministry of Law ,(d) the Ministry of Finance and Ministry of Law,C,Note 1 below Rule 224 (2) GFR 2017,
10. Voted expenditure has been referred to in Article ,(a) 112 (2) ,(b) 113 (2) ,(c) 112 (3) ,(d) 113 (3),B,Rule 50 (1) GFR 2017. Charged expenditure under Article 112 (3),
11. Pick the correct one," (a) All PAO shall maintain a registers showing expenses by Heads of Account (GFR 5), physically or electronically for allocation under each minor or sub-head of account with which they are concerned ",(b) A copy of GFR 5 is submitted to HoD/Controlling officer by 3rd of the following month ,(c) Both A&B ,(d) None of the given,B,Rule 57 (4) (ii) & (iii) GFR 2017. GFR is maintained by DDO,
12. Central Government may entrust function to State Government under Article ,(a) Article 258 (1) ,(b) Article 248 (1) ,(c) Article 268 (1) ,(d) Article 238 (1),A,Rule 116 GFR 2017,
"13. For purpose of approval and sanctions, a group of works which forms one project, shall be considered ",(a) each work as separate one ,(b) as one work ,(c) If the group of works is major work all the works shall be treated as separate one ,(d) . If the group of works is minor work all the works shall be treated as single one.,B,Rule 137 GFR 2017,
14. The certificate in prescribed form that to be provided by the Ministry/Department before procuring the goods in case of Single Tender enquiry is called ,(a) Trade Certificate ,(b) Exclusive Dealership Certificate ,(c) Proprietary Article Certificate ,(d) Single Article Certificate,C,Note below Rule 166 GFR 2017,
15. Pick the correct one ,(a) Complete physical verification for libraries having more than 20000 volumes and up-to 50000 volumes shall be conducted at-least once in 3 years. ,(b) Sample physical verification for libraries having more than 50000 volumes shall be conducted at-least once in 3 years. ,(c) Neither A nor B ,(d) Both A&B,D,Rule 215 (i) GFR 2017,
16. Pr. CCA/CCA/CA functions under the overall supervision and control of the ,(a) CGA ,(b) CAG ,(c) Financial Advisor concerned ,(d) Secretary concerned,C,Para 1.2.1 CAM,
