"1. Where a fresh cheque is to be issued against an alleged to be lost one, a non-payment certificate to obtained from ",(a) Bank ,(b) PAO ,(c) Both A&B ,(d) RBI,B,Rule 48 (3) RP 1983
2. The cash memoranda need not be stamped or bear the supplier's acknowledgement submitted in support of the claims for reimbursement of the cost of special medicines purchased from the market under the Medical Attendance Rules. ,(a) True ,(b) False,,,A,Note below Rule 58 RP 1983
"3. In the event of culpable negligence on the part of AO/Controlling Officer, ",(a) recovery from them may be considered ,(b) recovery from them may not be considered,(c) recovery from them may be considered with a fine,(d) first time only warning may be given,B,Rule 61 RP 1983
4. Treasury bills can only be paid on maturity at ,(a) the office of the any branch of bank which issued ,(b) the office of the bank from which they were issued ,(c) the office of the any bank included in the 2nd Schedule of RBI Act ,(d) . the office of the any bank included in the 2nd Schedule of RBI Act and at any treasury.,B,Rule 168 RP 1983
5. Pick the incorrect one ,(a) GAR 32-Bill for contingent charges requiring counter signature before payment ,(b) GAR 13- Wages of members of the work-charged establishment ,(c) GAR 34-Bills for grants-in-aid or contributions ,(d) GAR 28-Adjustment bill towards advance payment on account of purchase of store and its settlement,D,Rule 126 (2) RP 1983. Advance payment on GAR 30
6. GFR 2017 came into force w.e.f. ,(a) April 2017 ,(b) February 2017 ,(c) April 2018 ,(d) January 2017,B,"Rule 1 GFR 2017. It came into force at once, so the date of signature of CGA has been taken into consideration"
"7. Where a doubt arises as to the interpretation of any of the provisions of GFR, the matter shall be referred to ",(a) Ministry of Finance ,(b) CAG ,(c) President ,(d) Parliament,A,Rule 5 GFR 2017
8. The forms for Annual Financial Statement (Budget) and Demand for Grant shall be prescribed by ,(a) respective Ministry/Department in consultation with the Financial Advisor ,(b) CGA in consultation with the CGA ,(c) President ,(d) Ministry of Finance,D,Rule 52 (1) GFR 2017
9. Pick the incorrect ,"(a) Non-consulting service-Types of service that involves physical, measurable deliverables /outcomes, where performance standards can be clearly identified and consistently applied, other than goods or work ","(b) consulting service- Type of service that involves primarily non-physical project-specific, intellectual and procedural processes where outcomes/deliverables would vary from one consultant to another ","(c) The Budget Division, Department of Economic Affairs shall issue sanctions for actual release of the disbursement for each State and a copy of such sanction shall be endorsed to the Finance Department of State Government concerned ",(d) None of the given,C,"Rule 197,177 & 268 GFR 2017. Plan Finance Division of Department of Expenditure issues sanctions for actual release of the disbursement for each State"
10. The valid birth certificate in cases where the prescribed educational qualification of a Govt. Servant is below the matriculation are ,(a) Municipal Birth Certificate or Certificate from the recognised school last attended ,(b) Municipal Birth Certificate or Certificate from a Gazetted Officer ,(c) Certificate from the recognised school last attended or Certificate from a Gazetted Officer ,(d) Municipal Birth Certificate or Certificate from the recognised school last attended or Certificate from a Gazetted Officer,A,Rule 287 GFR 2017
11. Pick the correct one ,(a) LTC claim of a government servant shall fall due for payment on first day of the month following the month in which return journey was performed ,(b) When LTC advance drawn by the Government Servant and does not prefer claim within the prescribed period advance is recovered and allowed to submit his/her claim treating as no advance is drawn failing which claim will be forfeited ,(c) Both A&B ,(d) None of the given,B,Rule 292 GFR 2017. Claim falls due for payment on the date succeeding the date of completion of return journey.
"12. In cases where a period of leave is followed by transfer, any portion of leave salary which was not drawn at the old station, may be drawn at the ",(a) old station ,(b) new station ,(c) either new station or old station ,(d) both the station,B,Rule 87 (1) RP 1983
"13. The amount drawn for the payee shall be refunded by short drawing in a bill, where payment drawn for payee cannot be made within ",(a) the course of the month ,(b) the quarter ,(c) the half-year ,(d) the course of the financial year,A,Rule 92 (2) RP 1983
14. The last payment of pay or allowances in respect of a Govt. servant who finally quits service or who is placed under suspension may be made only after satisfaction of ,(a) Accounts Officer ,(b) Head of the Department ,(c) Audit officer ,(d) Head of the Office,D,Rule 93 RP 1983
15. Pick the correct one ,(a) Payment for purchase of service postage stamps shall be made in cash out of Imprest Advance up- to ? 2000/- only ,"(b) When expenditure for which a lump sum is granted under a single special sanction, is continued over more than 1 month, the second and subsequent months' bills shall bear a note of how much has been spent up to that date, against the sanction. ",(c) Neither A nor B ,(d) Both A&B,B,Rule 123 & 115 (2) RP 1983
