"1. Selling Price per unit ? 10, Variable Cost per unit ? 6, Fixed Costs ? 24,000. Calculate sales to earn profit of ? 2 per unit[D1] ",(a) 12000 units ,(b) 10000 units ,(c) 15000 units,(d) 16000 units,A
"2. When total fixed cost - ? 4500, total variable cost- ? 7500, total sales- ? 15000 and Sales (units)-5000, calculate margin of safety ",(a) ? 9000 ,(b) ? 6000 ,(c) ? 10000,(d) ? 8000,B
"3. The sales of a company are @ ? 200 per unit-? 20,00,000, Variable cost-12,00,000, Fixed cost-6,00,000, The capacity of the factory-15000 unit. Calculate BEP ",(a) 6000 ,(b) 6500 ,(c) 7500,(d) 8000,C
" 3A. Part of production units which do not confirm to the standards of quality but can be rectified with additional application of materials, labor and / or processing and made it into saleable condition either as firsts or seconds depending upon the characteristics of the product is ",(a) scrap ,(b) waste ,(c) normal,(d) defective,D
"4. (i). Monthly demand of Zed : 7,500 units (ii). Cost of placing an order : ? 500 (iii). Re-order period : 5 to 8 weeks (iv). Cost per unit : ? 60 (v). Carrying cost % p.a. : 10% (vi). Normal usage : 500 units per week (vii). Minimum usage : 250 units per week Calculate Re-order quantity ",(a) 400 units ,(b) 2082 units ,(c) 1646 units,(d) 1250 units,B
"5. The costs incurred on the maintenance of material in the stores and includes clerical handling, obsolescence, loss on holding stock, pilferage, etc. are ",(a) Average Costs ,(b) Ordering Costs ,(c) Carrying costs,(d) Marginal costs,C
"6. Cost of goods sold = ? 1,20,000, Gross Loss ¼ of sales. What is the amount of sales? ","(a) ? 1,92,000 ","(b) ? 50,000 ","(c) ? 72,000","(d) ? 96,000",D
7. ABC analysis is an inventory control technique in which: ,(a) Inventory levels are maintained ,"(b) Inventory is classified into A, B and C category with A being the highest quantity lowest value. ","(c) Inventory is classified into A, B and C category with A being the lowest quantity highest value",(d) Either b or c,C
"8. Calculate the value of closing stock from the following according to LIFO method: 1st January, 2019: Opening balance: 50 units @ ? 4 Receipts: (i) 5th January, 2014; 100 unit @ ? 5 (ii) 12th January, 2014: 200 units @ ? 4.50 Issue: (i) 2nd January, 2014: 30 units (ii) 18th January, 2014: 150 units ",(a) ? 765 ,(b) ? 805 ,(c) ? 786,(d) ? 700,B
"9. Calculate the earnings of workers A, Band C under Straight Piece Rate System and Merrick's Piece Rate System from the following particulars: Normal Rate per Hour ? 5.40 Standard Time per Unit 1 Minute Output per day is as follows: Worker A - 390 Units Worker B - 450 Units Worker C - 600 Units Working hours per day are 8. ","(a) A? 35.10, B-? 44.55, C-? 64.80 ","(b) A-? 35.10, B-? 40.5, C-? 54 ","(c) A? 40.5, B-? 54, C-? 64.80 ","(d) A-? 40.5, B-? 44.55 C-? 54",A
10. Concealed idle time means ,(a) Time lost between gate and place of work ,"(b) Which arise due to break downs, scarcity, non-availability of raw materials. ",(c) Which arise due to manipulation of the job booking,(d) All of the above,C
11. Use of common unit of measurement and common format of reporting promotes[D2] ,(a) Comparability ,(b) Understandability ,(c) Relevance,(d) Reliability,A
"12. The management of a firm is remarkably incompetent, but the firms’ accountants cannot take this into account while preparing book of accounts because of the concept of ",(a) Money Measurement Concept ,(b) Revenue Recognition concept ,(c) Conservatism Concept,(d) Accrual Concept,A
"13. The concept states that if straight line method of depreciation is used in one year, then it should also be used in the next year ",(a) Consistency ,(b) Going Concern ,(c) Objectivity,(d) Revenue Recognition,A
14. Recording expenses and revenues in the same period in which they occur ,(a) Accounting Period Principle ,(b) Principle of Money Measurement ,(c) Matching Principle,(d) Consistency Principle,C
15. The business transactions are recorded date wise to create proper record for all transactions. This is part of which of the following ,(a) Realization Concept ,(b) Materiality Concept ,(c) Historical Record Concept,(d) Accounting Period Concept,C
16. Under Business-Entity concept a business is a separate entity from ,(a) owner ,(b) creditor ,(c) lender,(d) All of the above,A
17. Which of the following is an example of Capital Expenditure?, (a) Insurance Premium, (b) Taxes and Legal expenses ,(c) Discount allowed,(d) Customs duty on Import of Machinery,D
18. Closing stock is generally valued at, (a) Cost Price ,(b) Market Price ,(c) Cost price or Market price whichever is higher,(d) Cost price or Market price whichever is lower,D
19. The concept of conservatism will have the effect of, (a) Overstatement of Assets, (b) Understatement of Assets ,(c) Overstatement of Liabilities,(d) Understatement of Liabilities ,B
"20. If goods worth ? 1,750 returned to a supplier is wrongly entered in sales return book as ? 1,570, then ","(a) Net Profit will decrease by ? 3,140 ","(b) Gross Profit will increase by ? 3,320","(c) Gross Profit will decrease by ? 3,500","(d) Gross Profit will decrease by ? 3,320",D
21. Expenses of the following nature are treated as a Revenue expenses except[D3] ,(a) Expenses for day to day running of the business ,(b) Putting the new asset in working condition,(c) Depreciation,(d) Purchase of raw material,B
22. Debit side of Bank Pass book corresponds to – ,(a) Credit side of Cash Book ,(b) Debit side of Cash Book ,(c) Debit side of Trial Balance,(d) Credit side of Balance Sheet,A
23. Difference in Bank Balance as per Pass Book and Cash Book may not arise on account of ,(a) Cheque issued but not presented ,(b) Cheque issued but dishonoured,(c) Cheque deposited and credited by bank,(d) All of a . and b . above,C
24. Cost of goods sold include i. Opening Stock ii. Carriage inward iii. carriage outward iv. Wages & Salary ,"(a) i, ii and iv ","(b) i, ii and iii ","(c) ii, iii and iv",(d) All of the above,A
25. Which of the following statements is not correct? ,(a) Provision for bad debts appears as a liability on the Balance Sheet ,(b) The provision for bad debts is owed to the proprietor,(c) Bad debts could be less than the provision for bad debts,(d) Bad debts could exceed the provision for bad debts,B
"26. On scrutiny of a firm‘s books of accounts, it was observed that the following errors have occurred in the previous years but have not yet been rectified. i. Depreciation for 2011-2012- ? 7,000 understated ii. Accrued expenses as at March 31, 2013 - ? 10,000 understated The impact of this on the reported net income for the year ending March 31, 2013 is ","(a) ? 7,000 Overstated ","(b) ? 10,000 Overstated","(c) ? 17,000 Understated","(d) ? 17,000 Overstated",B
27. Which of the following statements is/are true? (i) Drawings Account is a Nominal Account (ii) Capital Account is a Real Account (iii) Sales Account is a Nominal Account (iv) Outstanding salaries account is a Nominal Account (v) Patents Account is a Personal Account ,(a) Only (i) above ,(b) Only (iii) above,(c) Both (ii) and (iii) above,"(d) (ii) ,(iv) and (v)above",B
28. The periodical total of discount column on receipts side of a Triple Column Cash Book is recorded to the ,(a) Credit side of Discount Account ,(b) Credit side of provision for Discount Account,(c) Debit side of Discount Account,(d) Credit side of Debtor‘s Account,C
"29. On a given date, the cash book reports a bank overdraft of ? 9850. Cheques amounting ? 15250 are yet to be presented and cheques amounting ? 21820 are awaiting credit. The balance as per pass book is ",(a) ? 3280 credit ,(b) ? 3280 debit ,(c) ? 16420 debit,(d) ? 16420 credit,A
30. As per cash book bank balance is ? 4250 without recording a credit transfer amounting ? 7200 from a customer and a standing payment order amounting ? 4500. Deposit awaiting clearance were ? 22400 and the value of cheques are yet to be presented on the given date was ? 9480. The balance as bank statement will be ,(a) ? 5970 overdraft ,(b) ? 11370 overdraft ,(c) ? 19870 overdraft,(d) ? 19870,C
31. Which of the following statements is true with regard to written down value method of depreciation[D4]? i. The rate at which the asset is written off reduces year after year ii. The amount of depreciation provided reduces from year to year iii. The rate of depreciation as well as the amount of depreciation reduce year after year iv. The value of the asset gets reduced to zero over a period of time ,(a) Only (i) above ,(b) Only (ii) above,(c) Both (i) and (ii) above,"(d) (i),(ii) and (iii) above",B
32. Which of the following entries is correct in respect of reserve for discounts on accounts payable? ,(a) Debit P&L A/c and Credit Reserve for Discount on Accounts Payable A/c ,(b) Debit Accounts Payable A/c and Credit P&L A/c,(c) Debit Reserve for Discount on Accounts Payable A/c and Credit P&L A/c,(d) Debit Reserve for Discount on Accounts Payable A/c and credit Accounts Payable A/c,C
33. Which of these is an appropriation of profit ,(a) Provision for payment of bonus ,(b) Provision for depreciation ;,(c) Provision for dividend,(d) Provision for doubtful debts,C
"34. As per the Companies Act, 1956 which of these are allowed to create secret reserves in their books of account ",(a) Banking Companies ,(b) Insurance Companies,(c) Electricity Companies,(d) All the three,D
"35. ABC Industries Ltd. purchased a new Machinery on 1.1.2008 for ? 2,75,000 and spent ? 25,000 on its installation. The Machine is subject to 10% depreciation on the original cost. The company sold the Machinery on 31.12.2012 for ? 1,45,000. Find the accumulated depreciation on the Machine as on 31.12.2012 ","(a) ? 1,25,000 ","(b) ? 1,35,000 ","(c) ? 1,05,000","(d) ? 1,50,000",D
"36. Consider the following data and identify the amount which will be deducted from Sundry Debtors in Balance Sheet. Particulars ? Amount Bad debts (from trial balance) 1,600 Provision for doubtful debts (old. 2,000 Current year‘s provision (new) 800 ",(a) ? 400 ,(b) ? 800,"(c) ? 2,000","(d) ? 2,400",B
"37. Standard Hours allowed to produce 40 units - 8 hours, Standard wage Rate ? 20 per hour, X, Y and Z completed the task in 10 hours, 8 hours and 6 hours respectively. Earning under Gantt Task and Bonus System[D5] ","(a) X-200, Y-192 and Z-192 ","(b) X-132, Y-160 and Z-144 ","(c) X-132, Y-192 and Z-200","(d) X-160, Y-192 and Z-200",A
