1. The manner in which the Accountant General qualifies his opinion depends on ,(a) which of the groups the qualification falls into: uncertainty or disagreement ,(b) the strength of the qualification ,(c) Both a & b,(d) None of the given,C
"2. i. If the AG concludes that there is material misstatement in the financial statements, then he should request the auditee entity to make appropriate disclosures in or adjustments to the financial statements. Ii. Where they do not agree to make appropriate disclosures in or adjustments to the financial statements, then the Accountant General should propose a qualified opinion. iii. If the Accountant General concludes that there is material irregularity then he should propose a qualified opinion, if the irregularity is not capable of correction by management. iv. Sometimes, the Accountant General may conclude that material misstatement or irregularity might be present, but he is unable to quantify it. This would usually occur due to a limitation on the scope of work. In such a situation, he may propose a disclaimer of opinion. ","(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv",(d) All of the above.,D
"3. Where detection risk is 25%, the confidence/assurance from substantive test would be ",(a) 75% ,(b) 25% ,(c) 87.5%,(d) 95%,A
4. Off-site audit is ,(a) audit of third party to arrive at conclusion of auditee entity ,(b) audit of books of accounts of an auditee entity for more than six years preceding to current year. ,(c) audit of books of accounts of an auditee entity for a block of years,(d) audit of books of accounts of an auditee entity from vouchers and data available in audit office without visiting the auditee entity.,D
5. Pick the correct one (182) i. Quality assurance is ‘product-centric’ while quality control is ‘process-centric’ ii. Quality assurance system concerns all steps and techniques that the auditors must follow to assure good quality audit while quality control system attempts to make sure that the results of audit are what were expected. iii. The quality assurance is for the entire life cycle of the audit while quality control measures apply to individual stages or products. iv. Quality assurance system is put in place before the work is undertaken or done while quality control is applied during and after the work is completed. ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv",(d) All of the above.,B
6. Pick the correct one regarding reasonable audit evidence ,(a) Reasonable audit evidence is information that is economical in that the cost of gathering it is commensurate with the result that the auditor is trying to achieve. ,"(b) Generally, audit evidence is persuasive rather than conclusive and, for this reason, the auditor should seek evidence from different sources or of a different nature to support the same audit objective. ",(c) None of the given,(d) Both a and b ,D
7. Account Area Lead Schedule pertaining to financial attest audit is ,(a) reviewed by the Audit officer in charge of certification of financial statement and approved by the Group Officer concerned ,(b) reviewed and approved by the Group Officer in charge of certification of financial statement ,(c) reviewed by the Group Officer in charge of certification of financial statement and approved by the Accountant General,(d) reviewed by the Audit Officer/Group Officer in charge of certification of financial statement and approved by the Accountant General,D
8. Management representations are usually sought for the reasons except ,(a) where knowledge of the facts pertaining to a matter is confined to management alone ,(b) to acknowledge management's responsibility for the regularity of expenditure ,(c) to acknowledge management's responsibility for the preparation of the financial statements.,(d) None of the above,D
9. Pick the incorrect one ,(a) Supervision is a day-to-day control to ensure that the audit proceeds satisfactorily and that any problems are immediately attended to. ,(b) Review can take place in stages during the progress of work and after its completion. ,"(c) According to the field standards in the Auditing Standards of the CAG, the work of the audit staff at each level and audit phase should be properly supervised during the audit, and a senior member of the audit staff should review documented work.",(d) None of the given,D
10. The objective of Financial Audit has been categorised into ,(a) The primary objective of financial audit ,(b) The primary objectives of financial audit and objectives which might be set by the CAG or Statute ,(c) The primary objective of financial audit and the general audit objective of any financial audit.,"(d) . The primary objectives of financial audit, objectives which might be set by the CAG or Statute and the general audit objective of any financial audit",D
11. Pick the correct one ,(a) When deciding on a figure to use as materiality the auditor should be guided by two questions firstly how great is Parliament’s / Legislature’s and other users’ interest likely to be and secondly what are they most likely to be concerned about? ,"(b) The level of interest in the account dictates the sensitivity of the account, more interest in the account results in less error being tolerated ",(c) Both a & b,(d) None of the given.,C
