"1. Interest payment for loans obtained from autonomous institutions like the LIC, NABARD etc. are managed by the ",(a) Public Debt Office (RBI) ,(b) Accountant General (A&E) ,(c) Finance Ministry,(d) Departmental officers,D,,,
2. The Comptroller and Auditor General has been relieved from the responsibility for the preparation of Finance Accounts of the ,"(a) Union Government, State Government of Goa and the Union Territory Government Pondicherry ","(b) Union Government, State of Jammu & Kashmir and Union Territory of Pondicherry ","(c) Union Government, State Government of Goa, State Government of Jammu and Kashmir and the Union Territory Government Pondicherry","(d) Union Government, State Government of Goa, the Union Territory Government Pondicherry and the Union Territory Government Andaman and Nicobar",A,,,
3. The minor head “Writes off from heads of account closing to balance” is located under the major head ,(a) 8680- Miscellaneous Government Account ,(b) 8658- Suspense Account ,(c) 8675 Reserve Bank Deposits ,(d) 8443-Civil Deposit,A,,,
4. The temporary capitalisation of the expenditure may be authorised ,(a) the CCA on the advice of CGA ,(b) the CGA on the advice of the CCA ,(c) CAG on the advice of the CGA,(d) CGA on the advice of the CAG,D,,,
5. The Government of India and State Governments have decided that ordinarily expenditure of a capital nature will not be debited to a capital head outside the Revenue Account except ,"(a) in the case of new works, where the cost individually exceeds Rs. 10,000 or where the individual cost is below this limit but the works form part of the scheme having a continuity of purpose, time and space and the cost of the scheme as a whole exceeds Rs. 1,00,000. ","(b) in the case of new works, where the cost individually exceeds Rs. 50,000 or where the individual cost is below this limit but the works form part of the scheme having a continuity of purpose, time and space and the cost of the scheme as a whole exceeds Rs. 2,00,000. ","(c) in the case of new works, where the cost individually exceeds Rs. 1,00,000 or where the individual cost is below this limit but the works form part of the scheme having a continuity of purpose, time and space and the cost of the scheme as a whole exceeds Rs. 5,00,000.","(d) in the case of new works, where the cost individually exceeds Rs. 2,00,000 or where the individual cost is below this limit but the works form part of the scheme having a continuity of purpose, time and space and the cost of the scheme as a whole exceeds Rs. 10,00,000.",C,,,
6. Pick the correct one ,"(a) As per existing instructions issued by Ministry of Finance (Department of Economic Affairs), Statement of Expenditure pertaining to Externally Aided Project should reach the Accountant General (Audit) by 31st July following the close of financial year ","(b) Implementing agency of Externally Aided Project of is to obtain, reconciled and verified Statement of Expenditure from Finance Department of the concerned State. ",(c) Both A&B,(d) None of the given,A,,,
"7. In terms of the EIA Notification, on commissioning of the projects, the project entities are required to submit ",(a) monthly reports of compliance with the conditions stipulated in the environmental clearances. ,(b) half-yearly reports of compliance with the conditions stipulated in the environmental clearances. ,(c) quarterly reports of compliance with the conditions stipulated in the environmental clearances. ,(d) yearly reports of compliance with the conditions stipulated in the environmental clearances.,B,,,
8. The main stages of System Audit are i. organisational analysis ii. analysis of system of authorisation and recording iii. analysis of system of accounting iv. examination of the system of internal control v. evaluation of the standards of quality and performance ,"(a) i, ii, iii and iv ","(b) i, ii, iii and v ","(c) ii, iii, iv and v",(d) All of the above,D,,,
9. Pick the correct stages of checking of works transactions i. Preliminary internal check by the Divisional Accountant in the Divisional Office. ii. Check in the Office of the Accountant General (A&E) and Pay and Accounts Offices. iii. Central Audit in the Office of the Accountant General (Audit). iv. Test Audit during periodical inspection of the Divisional Office ,"(a) i, ii and iii ","(b) ii, iii and iv ","(c) i, ii and iv",(d) All of the above.,D,,,
"10. All orders of Government waiving recoveries due without further action that have been accepted by Audit should be recorded in a register. The Accountant General should review the register at such intervals as may be considered appropriate by him; this should, however, be done at least ",(a) annually ,(b) half-yearly ,(c) quarterly,(d) monthly,A,,,
