papercode,bookname,chapter,quizefile,displayfield
PC16,Acct. Code III,Chapter 01,pointers_pc21_ac_v3_ch01,Acct. Code III: Chapter 01
PC16,Acct. Code III,Chapter 02,pointers_pc21_ac_v3_ch02,Acct. Code III: Chapter 02
PC16,Acct. Code III,Ch. 03 Sec. 01,pointers_pc21_ac_v3_ch03sc01,Acct. Code III: Ch. 03 Sec. 01
PC16,Acct. Code III,Ch. 03 Sec. 02,pointers_pc21_ac_v3_ch03sc02,Acct. Code III: Ch. 03 Sec. 02
PC16,Acct. Code III,Ch. 03 Sec. 03,pointers_pc21_ac_v3_ch03sc03,Acct. Code III: Ch. 03 Sec. 03
PC16,Acct. Code III,Ch. 03 Sec. 04,pointers_pc21_ac_v3_ch03sc04,Acct. Code III: Ch. 03 Sec. 04
PC16,Acct. Code III,Ch. 03 Sec. 05,pointers_pc21_ac_v3_ch03sc05,Acct. Code III: Ch. 03 Sec. 05
PC16,Acct. Code III,Ch. 03 Sec. 06,pointers_pc21_ac_v3_ch03sc06,Acct. Code III: Ch. 03 Sec. 06
PC16,Acct. Code III,Ch. 03 Sec. 07,pointers_pc21_ac_v3_ch03sc07,Acct. Code III: Ch. 03 Sec. 07
PC16,Acct. Code III,Ch. 03 Sec. 08,pointers_pc21_ac_v3_ch03sc08,Acct. Code III: Ch. 03 Sec. 08
PC16,Acct. Code III,Ch. 03 Sec. 09,pointers_pc21_ac_v3_ch03sc09,Acct. Code III: Ch. 03 Sec. 09
PC16,Acct. Code III,Ch. 03 Sec. 10,pointers_pc21_ac_v3_ch03sc10,Acct. Code III: Ch. 03 Sec. 10
PC16,Acct. Code III,Chapter 04,pointers_pc21_ac_v3_ch04,Acct. Code III: Chapter 04
PC16,CPWA Code,Ch-02,pointers_pc16_cpwa_ch02,CPWA Code: Ch-02
PC16,CPWA Code,Ch-04,pointers_pc16_cpwa_ch04,CPWA Code: Ch-04
PC16,CPWA Code,Ch-05,pointers_pc16_cpwa_ch05,CPWA Code: Ch-05
PC16,CPWA Code,Ch-06,pointers_pc16_cpwa_ch06,CPWA Code: Ch-06
PC16,CPWA Code,Ch-07,pointers_pc16_cpwa_ch07,CPWA Code: Ch-07
PC16,CPWA Code,Ch-08,pointers_pc16_cpwa_ch08,CPWA Code: Ch-08
PC16,CPWA Code,Ch-09,pointers_pc16_cpwa_ch09,CPWA Code: Ch-09
PC16,CPWA Code,Ch-10,pointers_pc16_cpwa_ch10,CPWA Code: Ch-10
PC16,CPWA Code,Ch-11,pointers_pc16_cpwa_ch11,CPWA Code: Ch-11
PC16,CPWA Code,Ch-12,pointers_pc16_cpwa_ch12,CPWA Code: Ch-12
PC16,CPWA Code,Ch-13,pointers_pc16_cpwa_ch13,CPWA Code: Ch-13
PC16,CPWA Code,Ch-15,pointers_pc16_cpwa_ch15,CPWA Code: Ch-15
PC16,CPWA Code,Ch-16,pointers_pc16_cpwa_ch16,CPWA Code: Ch-16
PC16,CPWA Code,Ch-17,pointers_pc16_cpwa_ch17,CPWA Code: Ch-17
PC16,CPWA Code,Additional,pointers_pc16_cpwa_additional,CPWA Code: Additional
PC16,CPWA Code,Appendix,pointers_pc16_cpwa_app,CPWA Code: Appendix
PC16,CPWD Man,All,pointers_pc16_cpwdman_all,CPWD Man: All
PC16,MSO(A&E)-I,Ch-08,pointers_pc16_msoae1_ch08,MSO(A&E)-I: Ch-08
PC16,MSO(A&E)-I,Ch-09,pointers_pc16_msoae1_ch09,MSO(A&E)-I: Ch-09
